,Geography,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),18 years and over,21 years and over,65 years and over,One race,Two or more races,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Hispanic or Latino (of any race),Not Hispanic or Latino,Total housing units_x,YEAR,Total households,Households with one or more people under 18 years,Households with one or more people 65 years and over,Average household size,Males 15 years and over,"Never married, Males 15 years and over","Now married, except separated, Males 15 years and over","Separated, Males 15 years and over","Widowed, Males 15 years and over","Divorced, Males 15 years and over",Females 15 years and over,"Never married, Females 15 years and over","Now married, except separated, Females 15 years and over","Separated, Females 15 years and over","Widowed, Females 15 years and over","Divorced, Females 15 years and over",Population 3 years and over enrolled in school,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Native,Foreign born,Language other than English,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Civilian employed population 16 years and over,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Median family income (dollars),Mean family income (dollars),Per capita income (dollars),Civilian noninstitutionalized population,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage,Total housing units_y,Occupied housing units,Vacant housing units,Homeowner vacancy rate,Rental vacancy rate,Median rooms,"Median (dollars), Value",Owner-occupied units,Housing units with a mortgage,Housing units without a mortgage,"Median (dollars), Rent",No rent paid
0,0400000US01,Alabama,4777326,2317520,2459806,305091,309360,318484,337159,340808,607797,619112,686672,310336,279202,374441,211411,77453,37.8,3647097,3433673,663305,4710487,66839,3379235,1285740,57219,66512,2901,56469,182268,4595058,2172647,2012,1837576,597337,475330,2.54,1841356,584355,957174,39467,52899,207461,2003035,517693,937087,61290,222434,264531,1220805,3166424,187882,363148,991406,691686,227301,448117,256884,4610592,166734,230806,3779457,2265008,2248665,2017887,230778,16343,1514449,2017887,643951,332351,507206,218389,315990,54326,70237,23587,4693822,4039446,3112613,1524117,654376,2172647,1837576,335071,2.5,9.0,5.7,122300,1289324,776946,512378,691,63064
1,0400000US01,Alabama,4817678,2336020,2481658,299571,304412,321104,327579,347110,618482,610792,675347,322017,292003,401417,217634,80210,38.2,3699760,3491373,699261,4741250,76428,3393927,1304167,58134,72528,3737,65898,191838,4625840,2190638,2013,1838683,592093,486161,2.55,1854423,596005,952726,40229,54972,210491,2016442,530755,932261,61058,222995,269373,1222995,3193338,180671,358529,991730,703243,236473,458393,264299,4631045,168232,235741,3806434,2259344,2244093,2002163,241930,15251,1547090,2002163,652201,335865,494371,209494,310232,54362,70661,23680,4716915,4061521,3093955,1568842,655394,2178116,1838683,339433,2.5,8.9,5.7,122500,1281604,762450,519154,705,62178
2,0400000US01,Alabama,4799277,2328592,2470685,301925,306456,320031,332287,345240,612596,615375,681953,316960,285880,387589,214771,78214,38.1,3675910,3463812,680574,4727132,72145,3388895,1294437,57376,69176,3345,62114,188294,4610983,2178116,2014,1842174,585393,497517,2.55,1863744,603407,950855,39418,56153,213911,2028847,540860,932449,60148,222066,273324,1215753,3217902,174324,350044,999761,708087,243873,465268,276545,4651201,166477,235709,3828799,2253005,2239169,2010453,228716,13836,1575794,2010453,661335,339569,489899,203989,315661,54724,71423,23936,4735953,4095677,3097222,1607735,640276,2190638,1842174,348464,2.6,9.0,5.7,123800,1274196,751234,522962,715,62842
3,0400000US01,Alabama,4841164,2346193,2494971,292771,305707,313980,324809,342489,626564,606216,656639,332234,297361,434510,225663,82221,38.6,3735975,3530912,742394,4755752,85412,3400118,1320276,58977,77731,4858,69651,193503,4647661,2209335,2015,1848325,581680,511256,2.55,1872257,613105,950508,38073,57128,213443,2039158,550811,933161,59843,221378,273965,1206014,3239351,166885,343006,1005295,711180,251335,478812,282838,4663396,167224,235540,3846845,2242401,2229422,2022325,207097,12979,1604444,2022325,673400,339082,488066,200200,321577,55341,71994,24091,4749786,4148627,3122837,1648163,601159,2199329,1848325,351004,2.5,9.0,5.7,125500,1269145,738618,530527,717,63906
4,0400000US01,Alabama,4830620,2341093,2489527,295054,305714,318437,324020,348044,621592,609415,665372,326349,297297,416983,220721,81622,38.4,3718646,3514202,719326,4748974,81646,3396662,1312584,58251,75634,5186,69042,193492,4637128,2199329,2016,1851061,572325,525341,2.55,1881213,621892,948574,37310,58482,214955,2047493,559931,932449,58487,222097,274529,1193757,3261408,162018,334018,1009593,714201,258502,492382,290694,4675660,165504,233260,3864302,2238654,2226504,2042025,184479,12150,1625648,2042025,685523,339793,489112,199303,328294,56828,74189,24736,4761291,4208373,3162223,1687781,552918,2209335,1851061,358274,2.4,9.4,5.7,128500,1267824,730637,537187,728,65161
5,0400000US01,Alabama,4864680,2355799,2508881,292125,302174,312093,323914,334416,632660,599382,641069,334011,309004,463057,237339,83436,38.9,3765887,3562514,783832,4773061,91619,3398104,1334893,61432,84654,5147,77847,203146,4661534,2244462,2017,1856695,570218,537969,2.55,1886515,628329,949388,36824,58937,213037,2054847,569429,935829,57234,221520,270835,1188682,3276637,154405,326654,1012551,712204,267245,503930,299648,4682845,167926,234385,3876136,2233209,2220900,2055509,165391,12309,1642927,2055509,700328,341617,487118,197982,328464,59115,77153,25746,4770692,4258663,3189772,1720966,512029,2231126,1856695,374431,2.2,10.0,5.7,132100,1273217,727973,545244,747,63897
6,0400000US01,Alabama,4850771,2350806,2499965,292163,303938,313308,324606,340119,628088,601634,648384,332906,303593,448837,230226,82969,38.7,3748089,3544111,762032,4761937,88834,3395851,1328088,60147,80895,4817,75331,198375,4652396,2231126,2018,1860269,564312,551550,2.55,1893493,632616,951361,36227,59210,214079,2064795,576604,940795,56955,219294,271147,1182234,3299958,149392,320651,1020172,713655,273493,515443,307152,4696569,168111,236982,3894696,2237164,2224606,2076708,147898,12558,1657532,2076708,715206,339706,458464,200403,362929,62030,80678,26846,4785040,4307566,3221648,1745707,477474,2244462,1860269,384193,2.1,10.2,5.7,137200,1275223,722643,552580,772,64395
7,0400000US01,Alabama,4876250,2359355,2516895,293187,301064,310456,322486,328180,637947,596388,632659,333209,315793,476681,243851,84349,39.0,3779874,3577760,804881,4784030,92220,3402366,1340976,61168,86490,5243,78390,208626,4667624,2255026,2019,1867893,560887,565454,2.55,1898154,640190,947981,35262,58975,215746,2073389,583063,943874,54055,219058,273339,1175774,3320877,142999,315923,1022839,711028,282316,529178,316594,4703303,172947,244561,3907144,2242785,2229479,2097384,132095,13306,1664359,2097384,732741,342936,453834,199991,367882,64430,83896,27928,4797215,4339389,3236113,1768628,457826,2255026,1867893,387133,1.8,10.0,5.7,142700,1284748,721628,563120,792,63231
8,0400000US01,Alabama,4893186,2365734,2527452,293932,294776,315204,321308,323960,641867,595256,625832,331903,321714,491041,247768,88625,39.2,3800274,3595726,827434,4773864,119322,3411460,1349127,61655,89031,5155,103224,212951,4680235,2270398,2020,1888504,558887,585366,2.53,1904931,641178,955814,34487,59528,213924,2084343,587097,958041,50883,216976,271346,1168551,3344006,133650,305297,1014342,721609,292064,546674,330370,4725133,168053,243094,3926842,2259980,2245329,2119986,125343,14651,1666862,2119986,756013,341826,456424,201224,364499,66772,86610,28934,4813429,4357884,3250867,1780971,455545,2270398,1888504,381894,1.6,9.6,5.8,149600,1306505,727377,579128,811,61002
9,0400000US01,Alabama,4997675,2429703,2567972,295632,301814,329794,329732,326900,647247,615110,633931,337355,335733,511902,248809,83716,39.3,3875294,3666945,844427,4842360,155315,3479535,1381411,68630,93041,5832,135130,224659,4773016,2278526,2021,1902983,560352,596471,2.57,1955630,667583,965720,35744,61944,224639,2114805,610200,956929,51162,216689,279825,1193988,3413803,129972,300075,1041209,728823,303299,563628,346797,4824246,173429,249620,4005499,2313616,2298013,2173597,124416,15603,1691883,2173597,785092,348756,457988,207916,373845,70878,91751,30458,4920010,4442707,3297281,1822388,477303,2278526,1902983,375543,1.4,9.3,5.8,157100,1320571,731317,589254,852,59177
