GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "05000","Arkansas",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",40420512,41691445,43517969,46098065,48514921,51105070,53634354,54782305,54278590,55262058,56897144,59193230,60533586,62550239,64672312,66185888,68590300,70984385,73855213,75938320,81444600
 "05000","Arkansas",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",1159857,1184171,1204987,1235310,1260590,1258952,1508878,1330529,1306575,1322285,1375302,1371583,1397547,1477233,1461616,1502005,1619025,1605396,1692398,1718567,1727223
 "05000","Arkansas",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",120497,128115,139579,143286,152621,165864,181401,182055,185306,179596,191227,197828,192483,209234,215333,232274,246637,262876,281692,297509,329268
 "05000","Arkansas",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",9662,8908,(D),(D),9601,(D),7540,(D),(D),9290,(D),9309,7928,8990,(D),9420,9494,(D),(D),(D),(D)
 "05000","Arkansas",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",5063,8184,8185,7586,8825,14527,13441,13435,13401,10194,10053,11332,10819,11638,11467,14423,14538,16538,15973,9379,18995
 "05000","Arkansas",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",350,347,365,414,395,453,507,895,877,808,1622,1391,1353,1672,1348,1196,1201,1004,826,1015,1762
 "05000","Arkansas",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",3652,4325,4792,4358,5360,5467,8698,10172,12228,4680,10301,3027,3086,3005,3186,3163,4603,6036,5858,5925,4226
 "05000","Arkansas",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",1895,2765,2339,2302,2765,3368,3857,4522,6079,6396,8142,13360,14062,14571,13097,14730,14679,16325,17898,28663,27850
 "05000","Arkansas",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",19723,20051,21530,22786,24787,(D),(D),29359,25614,26573,27837,38751,43149,47225,52559,(D),(D),65152,68713,69437,76061
 "05000","Arkansas",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",40317,38883,48880,51117,58391,63230,74614,73273,77166,78321,77553,63593,62298,61680,63645,69482,77153,80243,88151,91217,94589
