GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "04000","Arizona",6,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",95472466,98039073,102675281,111120467,121760389,134543769,142577595,143866346,135114755,134591370,139656750,145256969,150424710,156586017,164007982,170779508,181210982,193306566,204507397,214254633,232614472
 "04000","Arizona",6,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",3921675,4006324,4001917,4055934,4099314,4402585,4606040,4573325,4323081,4191324,4368156,4438409,4438731,4386562,4707004,4727728,4972706,5360110,5608953,5731126,6385691
 "04000","Arizona",6,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",585094,584204,579650,620260,679199,801709,888301,880981,726068,687159,668318,713042,709864,747814,786384,839838,893393,1004566,1075800,1120186,1227380
 "04000","Arizona",6,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",28195,26133,24507,35569,32849,38185,41835,44775,44689,46941,46146,45264,39319,39936,42441,48659,52656,54317,63331,69639,53578
 "04000","Arizona",6,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",11141,22854,20305,19828,23528,30302,34458,38287,42866,41657,40448,52664,53067,58780,63179,65950,64867,67119,75099,48168,73907
 "04000","Arizona",6,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",3835,3519,3362,5044,5048,4975,5710,6531,5202,5508,7000,5859,6308,5701,5819,7190,7811,8261,10629,11436,16369
 "04000","Arizona",6,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",48910,39634,36738,35841,41677,50676,62677,64096,72958,78401,47447,44372,49468,46121,56331,54935,46468,59997,67036,69553,64758
 "04000","Arizona",6,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",25155,35061,28164,29732,33373,38754,44159,44401,46210,46025,50960,67381,66171,69438,58964,67819,69466,76679,76014,98257,96975
 "04000","Arizona",6,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",68774,74199,68146,70992,77649,91804,86643,84133,68583,65175,68853,78599,85631,92374,100751,108804,110363,125379,133296,122772,137103
 "04000","Arizona",6,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",191325,164314,167372,169645,196560,232074,264177,250643,174423,145338,157392,161466,167461,172415,179134,195094,216352,234597,258462,275168,279250
 "04000","Arizona",6,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",41598,45223,50263,53479,73250,97463,110485,112169,56766,49230,40971,35521,40124,30237,32937,32301,37578,46014,46904,66841,67337
 "04000","Arizona",6,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",24463,23730,25916,29124,28695,36699,44385,37740,24957,18763,17701,24168,19357,28772,37588,37468,42702,57135,59394,60504,83175
 "04000","Arizona",6,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",5595,3908,4346,4271,3515,4308,4756,4586,4564,4046,3761,5280,4338,4889,3843,3647,4061,5545,7339,10391,12070
 "04000","Arizona",6,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",36934,32336,34687,35837,39491,43711,43614,44412,31871,32692,28852,29821,24306,33608,33797,35172,36563,42466,48298,52620,72859
 "04000","Arizona",6,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",7425,6504,7446,8853,10652,13266,17313,19088,19529,23289,26735,27420,29266,32381,35291,39892,42854,48628,54859,56121,58181
 "04000","Arizona",6,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",56585,59454,57408,53041,48163,49114,48764,46932,38120,35527,32741,33970,27216,36198,37024,40580,46272,53201,52014,47766,61199
