GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06000","California",8,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",786814500,793772381,827186197,881872473,927201899,980608045,1030056025,1042035077,989323272,1009063857,1057687430,1114716207,1161843112,1229729969,1318183539,1377077793,1461052557,1540903413,1624788555,1675463394,1848273248
 "06000","California",8,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",48368990,47408343,49135655,51475949,51412625,53814842,59319965,60529422,57023374,59162574,63072335,65896782,73082832,77924029,85233768,88514871,96397387,101872767,107580569,109484875,125054121
 "06000","California",8,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",10839314,10880534,12265127,12595582,12765348,13943515,14698116,15231371,13948275,13972064,14723156,15538380,15819548,17382276,18775271,19756185,20896277,22879341,25538785,26227619,25040335
 "06000","California",8,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",1012091,764305,1047330,1245546,1271804,1155447,1098980,1190708,1018131,1004787,1137077,1123735,1090158,1022800,1071329,1297301,1298738,1301421,1467897,1590708,1387562
 "06000","California",8,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",162675,286470,290565,239058,256031,301274,285458,276922,276405,262529,241572,285542,401585,500961,494129,561165,641465,833558,896195,679832,991531
 "06000","California",8,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",432515,431081,463009,508284,501181,516008,551193,614812,623139,634026,703286,679005,754390,868173,1006338,1097927,1112122,1293107,1395567,1387540,1571039
 "06000","California",8,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",4064651,4295613,5184559,5251929,4911615,5462258,5686407,6067276,5878936,6066509,6168696,6092702,6335754,6475827,7193759,7271549,7888794,8601337,10212757,10650098,8052708
 "06000","California",8,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",231114,333845,292999,293255,330847,377117,430278,461464,489140,457621,479189,645112,640533,662546,562829,628682,610235,665870,670350,854813,797166
 "06000","California",8,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",1095269,1027448,1088756,1075638,1170999,1271533,1381016,1408643,1239790,1219406,1383945,1513279,1529907,1637899,1734588,1919788,1957021,1966584,2004233,1907218,2069666
 "06000","California",8,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",1395346,1314990,1418464,1464372,1649896,1879062,2110920,2022316,1599481,1490048,1597353,1683095,1793137,1997755,2185941,2345698,2497115,2709155,2947694,3057077,3061824
 "06000","California",8,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",335155,332130,352414,339678,380814,440404,472443,475465,380902,349257,364397,391805,409024,427030,428958,483997,492031,544085,572665,711124,648115
 "06000","California",8,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",194819,183003,210867,230546,257939,321358,358032,326438,231735,200444,205105,285350,230405,375560,434560,470340,484928,589113,624281,614849,778033
 "06000","California",8,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",164127,153948,150951,171993,170880,170124,173422,188257,137415,124603,145600,180148,142767,184947,150512,144719,182703,198090,246807,355074,560880
 "06000","California",8,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",608012,562773,564062,565583,583161,697596,705112,687037,515883,510051,529748,741292,557902,855196,938810,973905,983423,1041736,1135496,1150234,1355064
 "06000","California",8,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",232052,185617,194959,216511,252172,281268,320072,344334,313933,358756,405434,473088,504931,585977,661464,706872,837493,928655,1079116,1184843,1335504
 "06000","California",8,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",573355,600955,535345,461965,433001,414638,421055,410680,390695,391661,426294,494873,512619,679323,696730,716892,719833,861564,817277,687236,871329
 "06000","California",8,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",49499,61414,73486,96723,116198,116447,129631,104989,105675,110903,133634,175556,145416,186999,205681,198682,221794,267293,278951,257377,292056
 "06000","California",8,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",166534,171703,189401,217505,239445,254173,268256,301740,337077,359199,371640,328435,320735,360854,360765,399018,459610,553350,621644,529425,667967
 "06000","California",8,SAACArtsComp,150,"...","  Education services ","Thousands of dollars",122102,175239,207960,216996,239363,284807,305839,350290,409939,432265,430184,445363,450286,560430,648876,539650,508973,524424,567854,610172,599891
 "06000","California",8,SAACArtsComp,200,"..."," Supporting arts and cultural production ","Thousands of dollars",36319074,35315229,35670901,37639853,37354836,38543149,43236710,43938022,41793000,43991999,47140892,49192702,56116901,59327541,65133449,67375985,74107407,77564292,80564906,81809833,98340071
 "06000","California",8,SAACArtsComp,211,"...","  Rental and leasing ","Thousands of dollars",284918,330324,261567,256604,248588,306468,300474,260294,235156,207359,196939,213996,199727,201238,229227,208252,201261,206834,215371,152568,166438
 "06000","California",8,SAACArtsComp,212,"...","  Grantmaking and giving services ","Thousands of dollars",49938,57944,65725,62287,69841,82234,107894,97438,100575,89179,108231,86912,100011,102464,119189,114525,127184,128414,148070,117621,116214
 "06000","California",8,SAACArtsComp,213,"...","  Unions ","Thousands of dollars",81735,69250,82249,97429,77829,88307,79096,91836,101890,99421,105702,101938,109794,113946,121672,130226,130557,139100,147180,149167,162364
 "06000","California",8,SAACArtsComp,214,"...","  Government ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),7892325,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "06000","California",8,SAACArtsComp,215,"...","  Other support services ","Thousands of dollars",36072,29714,24874,28646,30593,31456,34880,29644,22491,22754,17924,17540,19290,19217,21274,22398,25961,28206,30345,14403,19979
 "06000","California",8,SAACArtsComp,221,"...","  Publishing ","Thousands of dollars",5006113,4406008,4558074,4634159,4569881,4850991,5391825,5252565,4915053,5212004,5683538,5957125,6369735,6899479,8593593,8641749,10318225,11611691,12785956,13976435,16847649
 "06000","California",8,SAACArtsComp,222,"...","  Motion pictures ","Thousands of dollars",12079919,12229660,12629047,14133969,13962522,14152506,14367113,14633487,14279470,15059108,15330185,15547209,14711009,15847337,16983072,17756085,17458630,17688520,18332020,16369484,19904698
 "06000","California",8,SAACArtsComp,223,"...","  Sound recording ","Thousands of dollars",576955,439670,404576,439506,381561,391131,522972,548562,522872,492191,511916,593214,430167,522676,582896,551467,550308,635866,752756,774901,1042329
 "06000","California",8,SAACArtsComp,224,"...","  Broadcasting ","Thousands of dollars",1979729,1990520,2109347,2406674,2501720,2606954,3399997,3560545,3588671,3826253,4043780,4580363,5610355,5772999,5760963,5937720,6118104,6127778,6020755,5939265,6309991
 "06000","California",8,SAACArtsComp,225,"...","  Other information services ","Thousands of dollars",1107726,531457,540517,599750,856472,1093031,3282725,3358559,3432625,3874751,5065693,6134772,11706053,12340871,14078942,15260186,18788438,21121056,21944771,25127161,32425283
