GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",107318748,106615223,108711180,113967500,120585917,127880318,135448863,140430219,136627878,138290289,143017950,150775638,156891003,167896980,176531807,181931834,193208314,205570095,219317074,224380721,244067284
 "08000","Colorado",7,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",6349151,5849764,5836534,5544448,5531567,5746416,6002323,5964107,5786695,5966016,6052307,6269765,6556276,7015411,7235559,7514282,7681183,8156007,8743023,8930719,9722193
 "08000","Colorado",7,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",776623,730656,733229,756995,808067,911425,1015284,1012315,889097,826007,834889,971876,1038277,1170117,1271049,1378099,(D),(D),(D),(D),(D)
 "08000","Colorado",7,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",61900,54601,47151,63797,61215,53599,56072,55737,56067,55942,61101,60955,58012,58751,57581,66683,69175,70430,70510,83544,67317
 "08000","Colorado",7,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",18073,30927,32519,26405,32194,40578,40872,47712,48743,42733,46596,59817,105531,113840,118003,114096,114083,117688,133666,91367,136008
 "08000","Colorado",7,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",19268,4568,4165,4096,3525,3487,3567,3587,1968,2833,2843,3075,3988,3394,4506,4696,5191,6373,7784,8208,11924
 "08000","Colorado",7,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",53881,48489,57961,54782,53946,67257,77078,74446,66002,63733,62438,61878,68232,75030,97479,103984,110631,129111,138383,144822,127148
 "08000","Colorado",7,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",29186,39423,32052,32698,37515,45784,54604,57323,61279,58488,61467,82945,81659,85481,74018,83439,83547,92242,93344,121841,124986
 "08000","Colorado",7,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",91197,80021,76880,81832,92251,106375,123126,130269,118703,119320,121909,136597,150448,161002,170521,187738,182871,183482,194712,179889,218146
 "08000","Colorado",7,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",212431,190226,188405,198276,223150,262725,307097,284810,221316,182778,178475,198503,221001,243609,279195,306559,337879,376890,407483,416486,448251
 "08000","Colorado",7,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",58233,57972,55867,57640,63061,69707,69369,70581,53869,43693,38590,39834,46340,49711,52776,58322,70597,77650,79853,108446,113124
 "08000","Colorado",7,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",37045,34289,36517,40693,45267,57012,66043,58867,38899,31450,30792,43877,36038,58608,66199,69289,71235,89751,98246,108827,139719
 "08000","Colorado",7,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",6063,4631,15349,12653,5595,5329,6585,6155,5624,5119,7778,11966,8825,11506,10434,11062,13235,13291,14144,15920,17257
