GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",294964058,307838925,325574945,350897450,381025245,403981900,417604952,414981360,393053837,398058543,405722010,422205532,438602158,460872363,490169960,513329987,542089020,574614903,606441020,617595644,691076819
 "12000","Florida",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",12101488,12573856,12965555,13476831,13725580,14036295,14114974,13583828,12809881,13141491,13169390,13388219,13533550,14517866,15258275,16257347,16826126,17198604,17851965,17859152,19855158
 "12000","Florida",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",2019618,2036904,2137207,2310739,2498875,2804875,3057744,2855067,2418252,2310968,2316750,2591303,2597744,2989194,3256931,3499455,3597771,3938148,4202021,4287524,4587392
 "12000","Florida",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",279498,206627,219769,293208,247517,263209,241824,268403,261447,276736,296993,273204,280543,292386,310246,355637,327831,330814,370359,417769,292879
 "12000","Florida",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",89453,152431,148229,126056,137898,155911,164302,182495,186684,179201,178479,200909,194622,220484,249697,236132,246651,258752,292023,211575,346261
 "12000","Florida",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",32287,18083,22051,32539,46580,40699,42415,52838,48489,41255,61405,70629,56131,73848,77239,76417,70619,76340,99122,98653,130325
 "12000","Florida",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",102222,118056,118325,156411,195736,215630,373239,265597,221373,243918,200164,224627,243650,273067,358894,423319,397240,471168,490913,468688,299114
 "12000","Florida",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",70840,101483,94457,94178,110764,127326,141762,146935,147938,136224,139127,195378,196960,199726,174366,196247,193164,215721,214479,273188,274666
 "12000","Florida",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",306312,264034,276228,321274,333131,363588,400363,389574,318113,304270,305529,345347,367364,400119,406479,434598,457095,479151,511169,482484,559667
 "12000","Florida",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",420636,406475,455069,467724,551970,641622,677985,606787,425147,358940,363868,381948,419049,472006,540022,570464,612935,677560,727289,778672,836151
 "12000","Florida",5,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",126272,131665,139641,156621,162805,194571,205747,168110,130099,116667,120877,122662,128005,147954,158779,172513,198469,202371,205309,282583,249973
 "12000","Florida",5,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",140952,144422,166563,168630,185053,208837,221777,195361,129668,111078,102595,142171,111673,176593,211450,223385,235119,284514,300705,318243,405127
 "12000","Florida",5,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",21508,27853,25188,27971,29404,34347,37175,31542,23416,21243,22482,24084,18363,24610,17750,16305,17582,19191,25607,22580,25700
 "12000","Florida",5,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",92962,102768,108494,112513,124942,133855,133946,128410,97324,96838,99047,138777,114711,165863,188921,206961,197920,215911,236225,239265,308874
 "12000","Florida",5,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",33721,30636,34084,38336,44929,48065,55879,58943,56980,63515,69687,72033,76732,85090,94057,104798,119707,137730,149872,163964,193677
 "12000","Florida",5,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",186740,209897,197475,172310,173282,194435,182154,174104,176107,159715,141487,184866,159097,224211,231157,229931,253709,276307,273594,243783,346137
 "12000","Florida",5,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",13123,10638,14767,18976,16839,32992,15706,16570,14326,14771,16258,22492,16550,26858,32139,36897,40398,41954,43458,41559,46328
 "12000","Florida",5,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",47567,39686,43255,49124,58749,61283,64015,71483,73647,76903,72096,67994,83434,71226,74735,79239,86788,100410,108636,95594,128951
 "12000","Florida",5,SAACArtsComp,150,"...","  Education services ","Thousands of dollars",55525,72151,73613,74865,79275,88505,99454,97914,107493,109694,126655,124181,130860,135154,131001,136615,142544,150254,153261,148925,143564
 "12000","Florida",5,SAACArtsComp,200,"..."," Supporting arts and cultural production ","Thousands of dollars",9612565,10049584,10343426,10660955,10687018,10676777,10480417,10169845,9860972,10337614,10364257,10327831,10466114,11032886,11459747,12190371,12657918,12671997,13039089,12980789,14568761
 "12000","Florida",5,SAACArtsComp,211,"...","  Rental and leasing ","Thousands of dollars",90513,114894,100068,109846,91602,111346,108073,103489,83117,77033,71662,71111,63970,63241,69512,75193,72541,82713,92795,73492,73406
 "12000","Florida",5,SAACArtsComp,212,"...","  Grantmaking and giving services ","Thousands of dollars",8716,10001,12733,11806,13360,15396,18762,16336,17442,15010,16970,12599,15156,16429,20517,20617,21679,21846,23013,20478,21166
 "12000","Florida",5,SAACArtsComp,213,"...","  Unions ","Thousands of dollars",19822,16115,19409,22538,23032,26413,23654,25523,25304,23289,24268,22762,24756,24763,26434,27591,29529,31707,35007,36673,40182
 "12000","Florida",5,SAACArtsComp,214,"...","  Government ","Thousands of dollars",3808020,4083704,3863121,3689274,3418979,3186821,(D),3001302,3099364,3177623,(D),(D),3090003,3119334,3177863,3281309,3339359,3459189,3655280,3682397,(D)
 "12000","Florida",5,SAACArtsComp,215,"...","  Other support services ","Thousands of dollars",25005,20977,25633,30698,30786,38756,46449,45330,34129,29420,27794,27561,27364,28764,29697,37364,41621,51304,51688,22133,39173
 "12000","Florida",5,SAACArtsComp,221,"...","  Publishing ","Thousands of dollars",988150,991023,1120586,1121224,1191017,1296254,1387886,1296375,1151230,1113682,1152609,1146141,(D),(D),1420137,(D),1566910,1587209,1702668,1751777,2423991
 "12000","Florida",5,SAACArtsComp,222,"...","  Motion pictures ","Thousands of dollars",466003,431271,468044,471285,543353,515964,587954,574791,475989,402540,439783,491392,483108,564555,610569,683424,727995,742928,745250,612522,750543
