GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13000","Georgia",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",174497339,177196957,183538367,193514707,204364777,216196971,226829431,228848955,221326055,223540347,231854834,240124418,248959871,262348736,276596810,288133649,301484809,315573637,330026341,334700076,364929327
 "13000","Georgia",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",7507662,7507408,7401993,7574969,7573495,7688780,8135629,8081911,7801726,7784509,8091346,8494094,8690228,9381767,10291904,10772313,11502779,11610825,12026588,11589556,13783141
 "13000","Georgia",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",1156351,1159567,1156116,1185185,1315885,1483819,1630823,1600017,1431994,1328929,1375513,1550332,1494829,1664515,1812346,1978271,2080056,2251815,2345014,2317250,2537605
 "13000","Georgia",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",148040,95350,51464,56600,57882,52882,48800,48842,51807,56592,74852,68111,63151,63056,63903,75561,87055,90736,94683,114316,105183
 "13000","Georgia",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",86475,169335,124733,126785,162724,211816,221229,240608,252766,219877,191290,193804,172752,145977,160530,189793,192152,205457,216431,63562,105883
 "13000","Georgia",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",4277,3700,4757,6067,5587,5730,6817,7359,6627,14069,16884,20592,25469,28746,17964,18116,22797,27206,29882,28698,33134
 "13000","Georgia",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",36133,36594,52638,61868,77969,77706,94699,87211,76183,69520,71035,68171,86746,108026,143859,143595,149711,208908,146679,154166,122624
 "13000","Georgia",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",23337,34514,31982,35093,41150,52444,62880,64456,62506,58176,60246,75853,73179,77083,64965,73955,71975,79966,83056,108052,107460
 "13000","Georgia",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",183133,171765,188924,205861,234533,265854,297472,299164,283311,275301,305871,363769,336289,359276,381463,415525,445711,442678,494975,554655,601971
 "13000","Georgia",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",280642,260663,275362,258683,280906,332651,397086,375644,271145,229124,247860,258230,286912,320733,363129,384266,410394,445193,470782,474616,491192
