GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",295076317,299161819,304624247,318583993,332830346,351228121,368757822,375398217,358765123,362556743,377634981,392115388,400386980,413293789,432247060,438058982,453364634,472806305,485463822,483776397,517591821
 "17000","Illinois",3,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",13032924,13173624,12817432,12450959,12435052,12527630,12872220,13146706,12269780,12010212,12557209,13145729,13297998,13621782,14063357,14370002,15211924,15581422,16067991,15548120,17287215
 "17000","Illinois",3,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",2476716,2497665,2399695,2429290,2547124,2715504,2893880,2949516,2638225,2463410,2568723,2863316,2868707,3156467,3192707,(D),(D),(D),(D),(D),(D)
 "17000","Illinois",3,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",182849,160091,158063,193893,207934,200131,186248,203811,203560,207567,221315,220545,214477,221290,209527,240408,234996,225982,236885,267399,206956
 "17000","Illinois",3,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",38682,53260,51175,38597,44508,46740,51554,54414,49012,42622,47299,70370,77890,79321,79080,84214,133521,145628,146063,84837,134557
 "17000","Illinois",3,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",15214,14135,16306,18255,18931,21661,24098,24560,21815,23974,25172,25420,24004,24600,26919,29178,32735,27648,31002,34793,39003
 "17000","Illinois",3,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",176617,237166,187365,164358,130955,135134,158532,136390,128832,133099,135484,117179,137041,137676,138169,139810,144452,174272,180012,156962,165720
 "17000","Illinois",3,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",122838,170054,139761,137688,155295,176495,200926,210942,223114,199187,201351,272115,263868,263122,218567,239489,231801,250347,241339,311745,281310
 "17000","Illinois",3,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",507654,476463,487241,516572,550979,591396,632846,641286,561039,541671,579077,635540,685791,730149,757438,803690,845772,877957,905064,842672,919715
 "17000","Illinois",3,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",548134,495358,511525,494005,531871,596063,663821,662117,550112,498829,540555,560296,574835,608229,636001,647482,694447,749370,780795,767627,782784
 "17000","Illinois",3,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",132701,133193,129086,125564,126398,129955,119278,113789,98516,88747,83086,83377,88211,89653,82457,92076,103377,106906,105093,145016,130857
 "17000","Illinois",3,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",45127,42291,46324,49889,56304,69287,73948,68825,49770,39799,45127,60131,48815,78768,88923,93798,102402,125598,129110,127769,150517
