GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",52791415,53674260,54813764,57759869,60088681,63778827,68128782,71283047,68617019,69942555,72437740,74787710,77426124,80321423,83010751,83344350,85225588,88759212,92016041,93372688,98028031
 "20000","Kansas",4,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",2286375,2363457,2389839,2444350,2404827,2442778,2574530,2619278,2498827,2438999,2470408,2446310,2483951,2633919,2629393,2609062,2611338,2629350,2706350,2675686,2744898
 "20000","Kansas",4,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",215368,225493,242357,249410,260889,261592,286765,293980,286340,272159,269008,291436,278324,309330,321166,322063,324061,348667,357172,352108,380297
 "20000","Kansas",4,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",13713,12678,10702,13688,13159,11112,11309,12260,13162,14109,15062,14234,12141,14129,14373,15604,14970,15514,15084,12663,(D)
 "20000","Kansas",4,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",5440,7477,9234,8407,7800,10517,10000,10191,12285,12266,13881,16567,17187,15415,14619,14915,14486,17456,19384,12681,23444
 "20000","Kansas",4,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",1758,1664,1833,7954,2362,1953,1473,2016,2032,2339,2792,2123,1509,1528,1707,1980,1999,1881,1939,1715,1532
 "20000","Kansas",4,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",6045,5639,6076,3248,6521,8358,11099,11432,11254,7733,6140,6094,4830,4891,6033,6518,6194,7110,7819,9045,6902
 "20000","Kansas",4,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",5814,8032,6873,7150,7546,8209,8930,9529,10094,9269,9625,12610,12832,13480,(D),12440,12420,13227,(D),(D),17192
 "20000","Kansas",4,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",40307,40043,38202,45568,50056,52335,59196,56946,49411,45012,49519,55667,56393,56777,52671,52730,53910,53994,53708,49485,48550
 "20000","Kansas",4,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",62428,61951,66128,66204,74211,79165,91559,91958,85828,79061,76975,77264,83145,90035,93475,94261,93475,100904,107490,110624,112145
 "20000","Kansas",4,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",7313,7868,9751,8327,10534,12032,11943,11990,14737,13113,5553,3658,3515,4092,4634,3782,4184,3719,4842,6816,6036
 "20000","Kansas",4,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",3601,3976,4504,6277,6504,7447,8420,7591,5756,6080,8348,11864,5275,8654,8438,8263,7748,10284,15910,16927,18986
 "20000","Kansas",4,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",2185,2102,2481,1859,1944,1546,1766,1547,812,2348,4445,7385,5586,9799,11046,6385,7899,9064,10556,10631,14732
 "20000","Kansas",4,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",13183,13780,14029,14475,14008,14327,14803,13512,10908,10339,10996,15839,14394,21349,25322,26037,27247,31728,21723,20777,24693
 "20000","Kansas",4,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",5256,4509,4315,5541,6183,6845,7325,8449,8049,8729,9445,9694,9729,10694,(D),(D),(D),(D),20482,22204,22712
