GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",72132080,74714749,77701698,81392146,84499651,89792170,96455219,102573229,101730241,104417536,106202977,109787924,112975589,118222600,120107941,118595665,121147257,126401676,128900416,125896885,131596063
 "22000","Louisiana",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",1817345,1894753,1933121,2031301,1984284,2015364,2211207,2314274,2235451,2382507,2393781,2527708,2625456,2743948,2960493,2758925,2747002,2998793,3118251,2790294,3039195
 "22000","Louisiana",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",240719,250373,267439,294463,281373,287783,325185,341971,346292,373871,(D),386131,404472,454721,446195,442814,469156,516104,(D),(D),564017
 "22000","Louisiana",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",21011,18047,13330,16909,13226,13153,12790,(D),14894,13242,16270,(D),13762,15952,14849,15814,17005,17762,19893,20114,22888
 "22000","Louisiana",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",6086,11551,14134,22898,20305,21270,28640,33033,36211,35321,29387,39362,40883,45354,42707,48010,42902,47604,48454,25877,40204
 "22000","Louisiana",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",1294,1651,1909,1207,1123,1483,1692,1648,1357,1417,1833,1107,1104,1242,1550,976,1434,1902,2557,2518,3081
 "22000","Louisiana",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",11001,7756,8856,8684,13198,7396,8648,5618,10501,47142,44528,21978,33869,48135,47041,40652,40345,52554,75844,54232,50202
 "22000","Louisiana",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",18178,26215,23180,26169,26171,24055,31082,36405,39965,39093,42270,55280,57043,58611,(D),(D),(D),(D),56203,63716,(D)
 "22000","Louisiana",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",30313,30355,32364,37428,37235,39077,44947,42373,37331,36498,38023,45291,48970,49136,57165,54869,63606,61616,68313,65379,65298
 "22000","Louisiana",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",55810,53631,67538,75511,75986,92201,107922,115810,99782,93879,94932,88316,93650,99376,99706,93683,100250,109749,105856,111134,124596
 "22000","Louisiana",5,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",21278,25820,31261,31255,25551,19622,14876,14842,21717,20601,18055,21241,20541,19848,20023,20943,17579,13843,12259,17629,15764
 "22000","Louisiana",5,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",2818,2775,3081,3755,3935,4455,5546,6118,5135,5200,5123,13418,12193,15832,13772,10480,10796,13298,13049,14026,17115
 "22000","Louisiana",5,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",1153,819,736,584,924,829,817,836,669,392,430,565,314,538,484,860,590,902,1283,1254,1705
 "22000","Louisiana",5,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",10239,7803,6846,6659,6003,5983,7035,7841,8039,7688,8320,10852,8732,10785,12135,12482,15828,14969,15209,16186,20083
 "22000","Louisiana",5,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",2986,2871,3246,4223,5272,5966,6924,6132,6110,6444,6795,7715,7548,7982,8994,10459,12057,12212,13572,13959,14940
 "22000","Louisiana",5,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",31990,33301,31837,29341,24923,24477,25428,(D),27516,24735,(D),(D),17700,23314,(D),(D),(D),(D),(D),(D),(D)
 "22000","Louisiana",5,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",4875,4282,4634,4829,4202,4626,1981,2373,3119,2775,2459,3414,4198,8138,8002,6436,5647,5778,7306,7014,6713
 "22000","Louisiana",5,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",4560,3801,4924,5983,6129,5948,6618,8540,10076,11416,10993,10652,10891,12666,13781,14456,16131,18380,20426,19298,25256
 "22000","Louisiana",5,SAACArtsComp,150,"...","  Education services ","Thousands of dollars",17127,19693,19564,19028,17189,17241,20238,21527,23869,28030,27837,29849,33075,37811,36943,37293,48022,61445,60954,61199,56663
 "22000","Louisiana",5,SAACArtsComp,200,"..."," Supporting arts and cultural production ","Thousands of dollars",1465498,1530363,1553605,1623867,1586932,1606812,1755811,1837754,1758376,1885585,1904124,2025498,2105012,2166910,2388472,2193352,2160104,2363406,2449104,2160641,2352488
 "22000","Louisiana",5,SAACArtsComp,211,"...","  Rental and leasing ","Thousands of dollars",48008,61137,52511,52387,48560,61213,61196,59809,52006,48587,49869,55055,60010,54055,53133,52667,49626,50663,59141,42628,42120
 "22000","Louisiana",5,SAACArtsComp,212,"...","  Grantmaking and giving services ","Thousands of dollars",1165,1472,1985,2034,2423,2918,3782,4081,4552,3740,4799,3221,3686,3739,4315,4106,4251,4316,4824,4927,4513
 "22000","Louisiana",5,SAACArtsComp,213,"...","  Unions ","Thousands of dollars",3538,3185,3331,3448,3339,3428,3203,3625,4028,3813,3971,3984,4457,4410,4640,4427,4466,4773,4781,4704,5220
 "22000","Louisiana",5,SAACArtsComp,214,"...","  Government ","Thousands of dollars",665177,709704,710719,727537,676838,654192,691878,727234,737149,775127,783974,770969,809151,852127,833952,842823,899855,952734,975839,965886,940801
 "22000","Louisiana",5,SAACArtsComp,215,"...","  Other support services ","Thousands of dollars",694,506,658,588,625,623,545,565,431,340,426,528,440,442,508,432,539,617,635,199,207
 "22000","Louisiana",5,SAACArtsComp,221,"...","  Publishing ","Thousands of dollars",109431,110055,118046,118353,115582,(D),120820,117725,104066,97643,91484,98302,100018,96506,97840,91732,88579,94495,95699,85982,100590
 "22000","Louisiana",5,SAACArtsComp,222,"...","  Motion pictures ","Thousands of dollars",34381,38437,49136,74095,106008,100054,160167,181545,151541,221924,220148,249894,303083,326832,381352,239602,225215,301532,324297,188073,330962
 "22000","Louisiana",5,SAACArtsComp,223,"...","  Sound recording ","Thousands of dollars",2712,2312,2516,(D),(D),(D),2383,2323,2451,2750,3102,5819,6043,6891,5156,4649,3914,3262,2726,(D),2775
 "22000","Louisiana",5,SAACArtsComp,224,"...","  Broadcasting ","Thousands of dollars",(D),(D),(D),(D),260962,262287,273374,300790,310511,318236,323989,354264,345622,363920,377997,377571,377686,374421,354941,345158,366444
 "22000","Louisiana",5,SAACArtsComp,225,"...","  Other information services ","Thousands of dollars",10454,7276,7670,8243,9981,12569,8961,11653,10883,12249,12993,13993,13575,13204,13106,12990,11715,11557,11722,14904,20853
 "22000","Louisiana",5,SAACArtsComp,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",40902,39651,47492,59604,60818,64837,70655,83380,49976,41119,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "22000","Louisiana",5,SAACArtsComp,232,"...","  Printed goods manufacturing ","Thousands of dollars",(D),(D),(D),18982,18020,18734,23203,24075,23391,23392,25931,26339,27193,27547,25608,25072,27175,25495,24122,19872,18156
 "22000","Louisiana",5,SAACArtsComp,233,"...","  Musical instruments manufacturing ","Thousands of dollars",646,(D),(D),918,(D),1102,1348,1086,1432,747,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0
 "22000","Louisiana",5,SAACArtsComp,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",3088,4579,3922,4192,4164,3306,5620,6203,7238,6741,7811,8708,9344,9127,11403,12621,12199,11321,12198,10357,9798
 "22000","Louisiana",5,SAACArtsComp,236,"...","  Other goods manufacturing ","Thousands of dollars",16998,17679,19367,20368,18490,19887,24955,20645,17367,19643,18646,16917,15139,16106,19348,18268,22479,21031,22846,21123,(D)
 "22000","Louisiana",5,SAACArtsComp,240,"...","  Construction ","Thousands of dollars",103799,86700,86345,65645,47448,70004,73839,62977,67380,87407,75183,108816,75676,60041,195329,135530,44712,96436,122245,57574,66253
