GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "29000","Missouri",4,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",111750283,114800162,118207655,123177827,128913282,135292940,141064024,146965914,141992181,142637545,144656571,150263533,154859475,159467098,167155560,170132681,176865333,184876162,191993709,194211569,205450039
 "29000","Missouri",4,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",4257320,4487534,4394310,4412795,4401072,4573022,4974198,4991190,4633421,4411317,4356314,4455257,4444972,4531279,4787374,4897687,5115095,5404817,5694463,5562505,5990377
 "29000","Missouri",4,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",835616,809326,812784,822435,842596,884946,955050,984245,902405,844866,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "29000","Missouri",4,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",109669,87162,76407,88655,89105,85526,85940,89329,91516,88479,90313,88259,80840,79003,79033,90788,90191,89962,92206,110826,94645
 "29000","Missouri",4,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",25243,39062,40445,38370,37191,41711,44556,51773,54766,51766,46360,55396,57655,59605,55669,59120,61985,68037,71587,43741,79816
 "29000","Missouri",4,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",5346,5977,6782,7883,6457,7919,5371,5593,4969,6337,6057,11361,11018,7514,3797,4133,3403,3929,6180,5041,5323
 "29000","Missouri",4,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",27311,25294,26563,28097,33018,29233,34810,29835,23880,22114,21744,20759,23898,26355,30074,33068,32809,38670,42582,51112,42451
 "29000","Missouri",4,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",26555,39746,32884,37580,40776,49156,58778,61717,63311,54527,54209,74096,71556,73138,65080,70605,70135,77183,74584,103066,105471
 "29000","Missouri",4,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",124980,117436,123017,133429,140604,148431,156043,156732,132027,133245,132544,142371,147289,162260,169542,180040,192623,199220,209617,209043,225654
 "29000","Missouri",4,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",202347,195432,204460,199007,205872,227805,271708,287815,238737,205545,207661,217122,234260,240741,259802,271283,288302,308706,313974,315433,317235
 "29000","Missouri",4,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",12733,11446,9431,9211,9520,13470,13786,13727,12716,12948,9536,10897,12119,12911,14223,18245,20974,22136,21563,27550,25045
