GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",160371299,162957779,168340289,178493489,188859252,201920367,214653542,219438233,211454924,216515016,222527671,232370554,237874021,250729957,263210296,271666094,285175686,300856939,315914599,324788105,355321213
 "37000","North Carolina",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",5455215,5513176,5475326,5469729,5357817,5575191,5751913,5964336,5779957,5917902,6148505,6443476,6741930,7278979,7672967,7751332,8071813,8510447,8870227,9071571,10475216
 "37000","North Carolina",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",829148,826392,832533,854760,890251,995855,1105400,1098292,1010640,977693,1009914,1145454,1175046,1297825,1371241,1368595,1484590,1668917,1744629,1764600,2125960
 "37000","North Carolina",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",67302,50829,41837,46840,35625,32712,33413,35096,35832,40005,44667,42167,39140,41960,38861,41504,40873,40319,41138,51563,46512
 "37000","North Carolina",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",24666,39601,32168,32630,30183,33946,38462,45610,50209,47418,47901,63604,65062,74302,83348,95478,101942,105777,121763,54245,100467
 "37000","North Carolina",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",4056,6449,5124,4313,6186,7154,6871,6088,6189,7690,8921,12211,14498,15945,20383,23011,23007,25991,30040,21370,32004
 "37000","North Carolina",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",49493,25638,31423,30085,34432,41848,57474,55254,65166,67472,74727,96063,111268,96773,105274,67166,74295,66657,74447,78650,65834
 "37000","North Carolina",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",27653,43489,37363,39510,42876,50999,62698,65606,65449,61950,(D),(D),(D),(D),71591,80948,78949,104321,105991,117570,138189
 "37000","North Carolina",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",77984,76289,84910,91134,103422,116366,122857,123638,101379,97079,100273,115989,119959,131447,141092,172367,194685,210958,226779,219580,241195
 "37000","North Carolina",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",192049,184456,196108,194491,215031,245082,284799,295145,238322,206144,209873,209437,222160,232238,251660,273472,299055,328974,346206,353441,382478
