GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",10800632,11243291,11851397,12698581,13362673,14270655,15246423,16457968,16935982,18302336,20889002,24364828,26290932,29122389,28612127,26855278,27557744,28796387,29942200,28983843,29952998
 "38000","North Dakota",4,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",431343,468270,494537,503665,502958,522894,493001,502127,552581,563493,602327,671874,675279,712318,772525,781171,791746,793398,803161,815396,893170
 "38000","North Dakota",4,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",41297,44756,45154,46163,46244,48897,48852,50337,50503,47117,48813,57689,60797,70536,74279,74741,75551,81567,88717,94206,103065
 "38000","North Dakota",4,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",2546,2152,1992,2801,2561,(D),(D),2197,2129,2219,2464,2402,2469,2583,2492,2909,2722,3212,3387,5136,4349
 "38000","North Dakota",4,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",1124,2784,3669,3690,3200,3222,3328,4095,5545,5163,5152,5880,6377,6396,5936,7256,6664,7060,9199,6946,10857
 "38000","North Dakota",4,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),38,17,(D),(D),(D),(D),133,140,(D)
 "38000","North Dakota",4,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2426,2636,4308,4515,5220,6033,6240,6343,(D)
 "38000","North Dakota",4,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",2027,3210,2695,2988,3185,3309,(D),(D),2875,2474,2461,3508,3731,4056,3295,3193,3153,3433,3378,4542,4588
 "38000","North Dakota",4,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",5754,5881,6173,(D),(D),8241,9019,8603,8191,8065,8616,9565,10657,10977,11569,(D),12022,(D),12685,13049,(D)
 "38000","North Dakota",4,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",9404,8916,9264,9585,9744,10703,11998,12517,11548,10621,12535,15417,17235,21244,22880,21644,22181,23695,25469,27150,27285
 "38000","North Dakota",4,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",(D),(D),584,608,308,(D),(D),(D),(D),(D),(D),425,(D),(D),(D),(D),(D),(D),(D),4037,3492
 "38000","North Dakota",4,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",75,46,101,217,(D),(D),937,784,(D),(D),(D),(D),(D),(D),847,708,991,989,1011,1065,1405
 "38000","North Dakota",4,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",0,0,0,0,(D),(D),0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D)
