GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",232928753,236376893,243817873,254216833,261423525,271998704,279956993,282505550,268507989,273379547,285009950,296568458,306252073,318105609,329698028,336868158,349079821,361452235,374012068,376189555,399111054
 "39000","Ohio",3,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",8076686,8214876,8320635,8581735,8597041,8781342,9028269,9026345,8399558,8365901,8668392,9005710,9256643,9566817,9691035,9904066,10077432,10179981,10372875,10097443,10956557
 "39000","Ohio",3,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",1306515,1354784,1390836,1421783,1473779,1548404,1652529,1673328,1569439,1508250,1567119,1760879,1708289,1972627,(D),(D),(D),(D),(D),2301540,(D)
 "39000","Ohio",3,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",105327,92799,84899,110395,105438,100579,97727,92827,91917,95860,103230,97061,90389,96123,96160,107815,109446,110089,116058,(D),124078
 "39000","Ohio",3,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",104323,174710,174335,158902,173676,154308,166528,178338,183213,158925,131684,160653,163433,209191,220047,251096,250377,246447,248982,172538,273174
 "39000","Ohio",3,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",5464,5578,6468,2787,3025,19139,16249,17229,17369,18258,19993,16126,5739,5995,5991,6617,6225,6819,8776,8475,8903
 "39000","Ohio",3,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",39973,35973,42736,34802,33055,31384,32679,32033,29874,28644,36216,28858,38935,52781,69589,75470,77052,72253,83569,61675,56542
 "39000","Ohio",3,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",86863,125369,106694,103158,111137,119624,131265,133708,139079,125502,130601,176338,170818,183476,159625,172516,165902,179422,176867,227684,217268
 "39000","Ohio",3,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",169401,161749,171087,179191,192605,205310,213459,219069,194246,186720,194642,205926,205713,206090,210820,226577,230954,225413,229585,222479,254463
 "39000","Ohio",3,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",283700,268449,292349,286598,292987,318871,348440,337681,293608,273740,286635,292631,312382,326056,338952,355631,366918,392081,416806,427652,434825
 "39000","Ohio",3,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",17443,15327,18247,14921,14958,16982,18731,18644,17582,14759,18348,21544,24305,23725,19654,21977,27314,26740,28696,36435,32656
 "39000","Ohio",3,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",24460,22389,25708,26488,29268,35112,40535,39467,28960,27387,31638,44827,36461,48669,55920,62506,63948,77858,80609,79728,76488
 "39000","Ohio",3,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",37383,35396,30363,27587,30407,(D),37346,36173,35528,42900,46118,68124,83187,155930,128298,119361,140389,149053,166081,177621,178085
 "39000","Ohio",3,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",113631,106901,111988,116422,121288,132613,132288,136106,116054,118855,128832,174033,134982,181834,187522,179372,179611,186387,197447,195170,217135
 "39000","Ohio",3,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",35053,32380,35338,37066,41143,49061,58729,62156,60732,65548,68313,64625,65014,67627,71403,75584,81925,86561,91603,95580,106122
 "39000","Ohio",3,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",177812,176755,159948,138010,129526,128110,116887,114567,113383,103539,89857,116126,95796,116808,(D),(D),(D),(D),(D),(D),(D)
 "39000","Ohio",3,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",2754,3240,3113,36056,32525,(D),68790,69966,54367,55456,84806,88762,78778,87532,80309,90175,88130,98565,99877,95449,119416
 "39000","Ohio",3,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",28383,23209,35984,43589,45472,46612,45550,50733,56284,56002,53892,49529,51070,57899,61592,65228,71132,80027,88856,74654,95346
 "39000","Ohio",3,SAACArtsComp,150,"...","  Education services ","Thousands of dollars",74544,74561,91580,105812,117270,120546,127328,134629,137243,136155,142313,155717,151288,152889,151977,156442,153989,152767,157432,162913,163609
 "39000","Ohio",3,SAACArtsComp,200,"..."," Supporting arts and cultural production ","Thousands of dollars",6381049,6465361,6544278,6770061,6726700,6832669,6962247,6946436,6450549,6505811,6747030,6905203,7210584,7241387,7346405,7445175,7574249,7583302,7673130,7425559,8041571
 "39000","Ohio",3,SAACArtsComp,211,"...","  Rental and leasing ","Thousands of dollars",64312,76895,58910,57832,57966,67518,60518,54167,48651,41207,32500,29730,27937,29974,31956,30055,25789,26908,25459,20339,21340
 "39000","Ohio",3,SAACArtsComp,212,"...","  Grantmaking and giving services ","Thousands of dollars",7395,8112,9610,9127,9897,12454,14876,13441,13303,11825,13406,10719,12349,13432,16035,15393,16288,15769,17370,14816,14738
 "39000","Ohio",3,SAACArtsComp,213,"...","  Unions ","Thousands of dollars",25921,21560,23486,27054,25169,26336,23317,25789,27195,24972,26200,24489,25932,25781,26369,27462,28448,30073,31249,31443,33568
 "39000","Ohio",3,SAACArtsComp,214,"...","  Government ","Thousands of dollars",2334471,2402826,2488112,2557726,2616685,2619444,2636996,2684915,2522204,2528179,2548817,2713556,2826179,2911119,2928693,2987683,3080993,3170505,(D),3248675,3353173
 "39000","Ohio",3,SAACArtsComp,215,"...","  Other support services ","Thousands of dollars",4047,2832,2865,3458,2975,3305,3067,2932,2212,1935,1727,1609,1434,1530,2184,1920,2121,2274,2327,1248,2203
 "39000","Ohio",3,SAACArtsComp,221,"...","  Publishing ","Thousands of dollars",824731,826689,894164,884139,865192,881058,935400,945687,885554,885750,899691,911652,957967,913338,953531,913324,(D),(D),(D),866465,1009873
 "39000","Ohio",3,SAACArtsComp,222,"...","  Motion pictures ","Thousands of dollars",155629,142567,146596,136589,132326,133404,135388,129341,128946,118060,121580,125240,134611,150972,159366,152691,159256,164006,184711,104965,155085
 "39000","Ohio",3,SAACArtsComp,223,"...","  Sound recording ","Thousands of dollars",8998,7633,11032,13933,12598,12455,12317,16017,14886,12925,12200,14141,13857,14738,(D),(D),14346,14817,15179,12395,15415
 "39000","Ohio",3,SAACArtsComp,224,"...","  Broadcasting ","Thousands of dollars",660494,706269,734181,789088,776546,781616,859841,874686,886081,906719,940447,973095,1008143,1015813,1037840,1045562,975988,963326,934623,927807,976496
 "39000","Ohio",3,SAACArtsComp,225,"...","  Other information services ","Thousands of dollars",269123,233422,269616,301958,365956,433383,271014,267132,249583,247477,264174,268922,271874,281093,287336,280783,294840,296440,318505,322098,389640
 "39000","Ohio",3,SAACArtsComp,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",23454,16548,19422,22461,22699,27744,23781,29347,14053,10171,8679,13168,12121,15311,18672,14029,15376,18231,23684,17688,21590
 "39000","Ohio",3,SAACArtsComp,232,"...","  Printed goods manufacturing ","Thousands of dollars",260394,218990,213347,234019,235400,235756,288395,291351,244229,225207,207053,202049,203335,202534,198103,200151,212954,207685,204158,175166,179056
