GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",54860527,55925516,57540869,60663604,64105974,69904325,73537666,77530008,75587669,77915831,82384723,86856894,90043353,94011908,95820508,94108184,97087878,101972694,105586715,104383506,109272857
 "40000","Oklahoma",6,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",1595834,1688363,1652496,1735801,1755009,1811446,1913723,1989713,1920950,2058060,2077836,2096606,2168837,2278621,2181153,2239323,2345001,2235973,2384998,2384273,2418011
 "40000","Oklahoma",6,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",213794,219845,221243,227439,236690,242827,260026,263536,253457,241299,251382,(D),280822,334643,332193,361421,383291,385588,411160,425793,461576
 "40000","Oklahoma",6,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",17253,13128,13919,16471,14767,13510,14112,15285,17770,18690,22314,31021,25728,48565,41936,51005,52326,46451,49911,48198,57993
 "40000","Oklahoma",6,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",2715,5866,5653,4159,4847,6456,8263,8456,8054,9496,10729,11622,9700,10212,10033,9856,9647,(D),12437,8579,17446
 "40000","Oklahoma",6,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",1119,948,1125,1419,1466,896,841,835,881,1279,2289,2202,2999,3509,3943,4253,2861,3264,3379,4037,5086
 "40000","Oklahoma",6,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",7177,6786,8422,8706,7828,8313,9417,9350,8714,7775,9656,8009,10325,10168,12801,13602,28174,34661,35068,39940,27809
 "40000","Oklahoma",6,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",6082,9636,8644,9697,10207,12126,13887,15139,15638,(D),(D),25571,27346,30022,(D),31115,30973,32999,(D),48535,45464
 "40000","Oklahoma",6,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",28018,28035,28373,30614,31976,34776,36580,34891,30592,30382,28973,33354,33475,36622,36430,40994,36045,37163,45847,(D),(D)
 "40000","Oklahoma",6,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",61333,59989,67352,68635,75692,77580,86086,85768,77032,70901,75643,80631,82436,87247,90500,94445,102962,107400,106912,109576,112946
