GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",70046660,70461315,72623807,76721851,81238224,86997813,91543376,92952275,88732590,89648788,92986208,97663944,100989113,106099154,113185733,118785724,125854044,133483943,140568152,144391042,156785246
 "41000","Oregon",8,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",3258642,3211159,3160805,3098728,3088833,3208368,3422844,3495149,3335447,3255460,3375638,3507534,3578104,3796552,3987277,4139887,4427500,4666141,4886145,4853487,5344044
 "41000","Oregon",8,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",390864,391648,408913,423573,453693,511538,564450,581203,519277,511243,529059,608197,605644,700521,766889,833912,890722,972318,(D),1021026,(D)
 "41000","Oregon",8,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",43101,37249,35659,45906,49535,50499,48651,51283,51953,56555,62289,63085,56765,58290,59750,69078,71843,70911,73516,85450,58796
 "41000","Oregon",8,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",18445,25406,26046,19792,19826,25013,25463,28149,27363,27367,23831,23787,23678,24485,25238,28025,29841,30963,33269,20845,40502
 "41000","Oregon",8,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",888,699,987,1223,1151,1132,1250,1897,2379,2293,2889,2101,2319,3584,3313,3927,5232,5658,9141,8201,10919
 "41000","Oregon",8,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",14998,14265,16143,16449,18774,23156,22358,22770,23657,24297,22427,20922,26212,31078,35814,38582,43024,57352,60073,56793,46956
 "41000","Oregon",8,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",18908,26204,22195,22541,24499,27774,31557,32862,32349,30146,32167,43682,43063,42605,36764,40475,39745,44058,44910,(D),50340
 "41000","Oregon",8,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",61897,52972,54890,60465,64927,74816,82928,86563,78954,77521,82665,95884,102239,114051,123748,135473,138516,152328,160038,157601,169517
 "41000","Oregon",8,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",102534,96686,103234,106529,125808,148617,178779,172482,130987,120431,125790,127703,141732,160242,186246,203970,216508,236275,255722,253540,267043
