GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "47000","Tennessee",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",105056967,108231085,112878057,119752045,124916467,131124401,137342318,139974454,133235914,136357590,141697511,150610141,153543245,159306158,167754929,173874741,181806368,191356098,199516109,204082401,224205459
 "47000","Tennessee",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",4140280,4231325,4445007,4578937,4793561,5063094,5005410,5114152,4623588,4629444,4772903,4934182,4998531,5275064,5613392,5722408,6062122,6189644,6506899,6205803,7241976
 "47000","Tennessee",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",814047,826966,878641,913925,972728,1108920,1114682,1162461,(D),1056307,1122704,1198712,1194650,1383015,1623266,(D),(D),(D),(D),1642365,1862958
 "47000","Tennessee",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",181781,138886,157711,208879,227433,280419,250220,259814,236666,286779,328204,319386,310766,316762,460432,390535,448487,478575,427353,(D),(D)
 "47000","Tennessee",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",22670,34709,42620,32749,31625,37625,39028,43627,49546,47212,49472,56906,57830,67587,72400,81761,84667,105850,111733,69635,111606
 "47000","Tennessee",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",23272,24100,32199,35477,37696,42271,46443,56849,45779,43712,54997,60535,65581,63493,80266,89686,96892,115461,132222,115389,136590
 "47000","Tennessee",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",27897,58712,69230,62854,76222,107363,86848,102300,108987,100115,102347,121580,144834,237448,323651,282817,297319,265981,329268,209783,230479
 "47000","Tennessee",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",33621,46665,41819,43765,50360,56952,62341,64115,68205,65343,67571,91985,94309,97202,87638,95665,96274,104910,105451,128857,131481
 "47000","Tennessee",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",63931,63474,68148,71859,75455,81189,92529,91015,79422,76386,75147,87641,87694,99966,106364,116792,121470,131057,145197,142136,159115
 "47000","Tennessee",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",173675,156536,160571,164265,182064,203488,228277,223079,179035,161296,183222,168520,179977,195620,172894,185536,202431,221630,237280,244647,255966
