GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",424073471,426499949,438092567,460511020,491616581,535976614,577146452,604305944,590906759,609819175,643136335,686630155,717225129,765703996,800577415,812554017,849920564,902069179,952602285,957473809,1034399677
 "48000","Texas",6,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",14386798,14580658,14345412,14887746,15209990,16511626,17708054,17826117,17306165,17626346,18490634,18851571,19664048,20721408,21689131,22659955,24185086,26074619,26788367,26843073,29502137
 "48000","Texas",6,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",2306785,2314066,2318754,2400909,2521502,2856379,3113467,3238254,3042690,2892098,2942026,3251252,3308879,3841591,3978828,4248199,4466842,4831775,5174961,5393269,5829021
 "48000","Texas",6,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",202614,166125,158711,191041,184567,173137,169026,171129,214478,235997,238728,220289,222014,236277,228398,263887,272429,262330,279440,352972,280716
 "48000","Texas",6,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",107256,182024,181683,170783,205058,257521,242262,270065,293788,245277,216748,156151,154012,154122,151300,168556,152861,163510,185218,140345,204522
 "48000","Texas",6,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",14216,16067,17171,20711,19159,21044,21924,25595,26798,26473,30413,31083,32647,39630,44930,53510,53620,65960,79465,87887,103634
 "48000","Texas",6,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",96568,102474,98111,110464,100077,123046,141330,155383,144525,142684,186521,200933,212880,285750,307329,314241,332798,391566,451328,427631,346600
 "48000","Texas",6,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",86654,124270,103932,113677,130787,148506,167641,178550,192238,190880,191131,259046,256781,268581,236858,264054,257161,274790,278504,359094,355674
 "48000","Texas",6,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",388508,372160,363241,385115,408431,445011,476214,472002,421000,409972,410174,443945,467304,504405,508075,538843,553159,575641,620186,655759,787814
 "48000","Texas",6,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",632134,583958,610340,616090,669703,820697,958216,981104,812250,718614,744409,821648,898116,1021637,1081217,1141019,1208696,1258036,1345937,1373606,1443898
 "48000","Texas",6,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",89201,97564,100783,108842,118221,130529,145294,152231,129588,121921,115042,111640,129675,143821,157692,151207,169518,179697,196051,261131,242178
 "48000","Texas",6,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",87475,84057,99313,109246,113282,138646,161312,161351,134417,123981,129575,201349,154778,226795,242945,260238,299870,346397,347573,330998,398397
 "48000","Texas",6,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",33577,16706,17486,20116,15905,17607,23603,20466,19860,19501,24396,41552,33814,47771,44582,39831,41970,45648,47454,49108,49267
 "48000","Texas",6,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",112477,105523,106242,109902,109713,118086,124478,135100,122748,122466,120657,160075,133437,193391,212104,233256,234850,264791,291618,307340,359468
 "48000","Texas",6,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",66387,54778,54469,60317,71547,85465,97920,104555,99774,112393,126602,157158,175056,196031,221401,240816,272044,314477,344684,364077,442032
 "48000","Texas",6,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",259709,261937,233339,210118,193584,189300,187125,193527,188198,172724,141494,182482,158626,206230,207864,214973,228241,244509,230091,193090,276500
 "48000","Texas",6,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",6534,7340,8898,9899,10405,10059,11168,10049,7696,7848,9646,11868,16524,21926,20298,18450,22933,26503,28190,27102,33915
 "48000","Texas",6,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",58479,50865,70129,63499,69053,69627,67444,78323,88435,95567,102750,98847,103535,120341,124526,129423,145355,173238,183856,151789,197594
 "48000","Texas",6,SAACArtsComp,150,"...","  Education services ","Thousands of dollars",64996,88219,94907,101089,102009,108097,118510,128824,146897,145802,153738,153186,159679,174883,189308,215894,221337,244682,265366,311339,306813
 "48000","Texas",6,SAACArtsComp,200,"..."," Supporting arts and cultural production ","Thousands of dollars",11375100,11561915,11340280,11780882,11938900,12859556,13730932,13707750,13418695,13936006,14725971,14793896,15545858,16012214,16791770,17487563,18796462,20289096,20621992,20508351,22610992
 "48000","Texas",6,SAACArtsComp,211,"...","  Rental and leasing ","Thousands of dollars",167445,203243,151876,175661,120388,139437,137339,137143,116896,108881,105853,110947,109117,122930,129969,126137,128577,152409,153459,120023,120113
 "48000","Texas",6,SAACArtsComp,212,"...","  Grantmaking and giving services ","Thousands of dollars",8593,10087,12283,12983,14698,19395,21920,19013,20329,17252,21586,17330,20814,21666,25789,24298,25965,25548,30108,25032,26499
 "48000","Texas",6,SAACArtsComp,213,"...","  Unions ","Thousands of dollars",22106,18027,20850,24237,23793,28791,25595,29171,32748,31339,33152,33075,36420,38461,40825,41824,43607,45198,46226,47479,50052
