GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",166940057,170796899,180821636,195046404,207827722,217628822,229355617,235869956,236466616,241654499,247353660,254584149,259346006,266063922,278184841,284784560,296061230,307212500,320017237,328612819,350845624
 "51000","Virginia",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",6117034,5962015,6233469,6805082,6846313,6974698,7312313,7463573,7133251,7115823,7264437,7437794,7683452,8208128,8195009,7987556,8240101,8847604,9022408,8860221,9640831
 "51000","Virginia",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",867761,897239,929360,1009346,1061833,1165227,1272817,1291873,1210501,1149652,1153719,1290120,1263552,1320938,1375594,1428061,1492421,1606484,1691958,1723011,1931737
 "51000","Virginia",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",56893,64638,56753,71819,70585,84896,80315,86112,90492,97234,82623,93972,76197,70626,67569,78749,68300,85349,80620,85909,76480
 "51000","Virginia",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",10920,20908,20011,20986,22708,24599,25398,32760,37558,41745,47536,54666,49347,46412,58378,62888,60608,64067,80820,78891,156714
 "51000","Virginia",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",16185,15519,16326,18834,20548,20906,20725,23950,20634,19824,23705,22451,24850,24495,29181,33820,32613,34331,40097,35363,31520
 "51000","Virginia",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",43297,40171,44266,46967,48247,51763,60709,47218,43856,44697,37323,38991,63980,48965,76089,72962,87913,103850,122554,116030,101784
 "51000","Virginia",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",70051,99716,85252,84312,92495,103992,116438,120109,119527,107052,107897,140973,140177,141571,119423,129245,118995,116665,114093,145495,144745
 "51000","Virginia",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",131599,127852,138817,153497,165057,175747,199707,203735,178474,180624,180451,198940,205971,216183,223523,230670,231808,243252,251017,242914,262074
 "51000","Virginia",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",211921,203559,229484,246757,268176,310086,349237,346299,304137,254499,274269,277971,277809,284475,291369,298663,323861,346157,353207,340382,371848
 "51000","Virginia",5,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",33252,34480,34980,34034,32332,36199,36444,30763,25718,25891,27324,32451,33682,35628,34898,37179,44880,45494,44867,62094,64471
 "51000","Virginia",5,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",28219,28162,33096,35085,35431,39967,46672,48370,34160,28373,25797,32867,22560,31848,36153,38596,41856,48598,57681,59811,64418
 "51000","Virginia",5,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",4118,3874,3871,4686,7177,8549,9832,8359,6789,7008,8729,13384,12866,15251,8678,7357,6879,6909,6840,6241,6852
 "51000","Virginia",5,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",46437,44950,45422,51669,55761,55140,61223,62881,52670,48947,46571,63954,50712,70250,78084,78113,87296,96777,97507,111854,162449
 "51000","Virginia",5,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",73100,67936,74447,84682,88225,93598,98664,106358,110695,112293,121550,134287,130380,129939,142207,152972,161522,178593,190208,201124,219888
 "51000","Virginia",5,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",76104,83882,76280,72977,67843,66987,67371,65174,67904,60658,50448,62201,51085,65647,67114,67301,71598,78625,75947,66386,89069
 "51000","Virginia",5,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",736,953,1163,1285,1714,1656,2934,3413,2828,3544,4014,6315,5421,7271,7649,7933,5308,5066,7580,6413,6005
 "51000","Virginia",5,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",18025,15839,19819,27464,30854,33403,33131,37714,42764,43825,42192,39463,40270,43930,47932,48887,52054,57625,64388,52034,68274
 "51000","Virginia",5,SAACArtsComp,150,"...","  Education services ","Thousands of dollars",46904,44799,49373,54293,54680,57740,64018,68659,72293,73438,73288,77237,78246,88446,87348,82723,96929,95125,104531,112072,105146
 "51000","Virginia",5,SAACArtsComp,200,"..."," Supporting arts and cultural production ","Thousands of dollars",5010926,4822613,5062624,5543166,5516418,5536090,5748669,5880186,5633271,5695062,5840828,5893168,6170487,6632255,6546122,6279786,6468759,6957238,7039273,6853235,7393649
 "51000","Virginia",5,SAACArtsComp,211,"...","  Rental and leasing ","Thousands of dollars",32275,35693,30658,31948,30933,33230,29067,26816,23472,19435,15021,13845,13500,13318,14587,14873,14821,15311,15963,12914,13131
 "51000","Virginia",5,SAACArtsComp,212,"...","  Grantmaking and giving services ","Thousands of dollars",7506,7887,9228,9280,10509,11908,14998,13786,15501,14647,17102,13199,14801,15725,18407,17417,18973,17346,19592,16436,16134
 "51000","Virginia",5,SAACArtsComp,213,"...","  Unions ","Thousands of dollars",33911,28885,33994,39659,40096,47428,43885,49660,55820,53640,57780,58060,63321,65020,67411,71226,76124,76189,83470,93373,97331
 "51000","Virginia",5,SAACArtsComp,214,"...","  Government ","Thousands of dollars",1703214,1724592,1711197,1798290,1808700,1870809,1935952,2004465,1964679,2025105,2034654,2026399,2141891,2227546,2299328,2371644,2562705,2693749,2764212,2826299,2843933
 "51000","Virginia",5,SAACArtsComp,215,"...","  Other support services ","Thousands of dollars",5774,2847,3054,3031,3096,3593,3881,3796,3398,3030,2808,2928,2144,2553,3232,4036,4403,4821,5133,2402,3736
 "51000","Virginia",5,SAACArtsComp,221,"...","  Publishing ","Thousands of dollars",959273,715539,790785,732687,688343,718568,789862,823635,779306,725092,756248,704936,749552,764175,(D),733539,750921,792891,836937,853864,1002646
 "51000","Virginia",5,SAACArtsComp,222,"...","  Motion pictures ","Thousands of dollars",146267,155463,150185,160737,152212,173743,168140,149950,163736,160000,170849,167216,(D),163837,168800,182571,193180,216515,222808,175344,213045
 "51000","Virginia",5,SAACArtsComp,223,"...","  Sound recording ","Thousands of dollars",(D),7699,6227,7272,(D),7179,(D),12323,12749,12170,(D),15097,14493,16784,19154,25663,29054,33334,33226,32496,53152
 "51000","Virginia",5,SAACArtsComp,224,"...","  Broadcasting ","Thousands of dollars",988342,1038212,1172583,1305504,1431006,1358370,1390666,1428237,1474805,1473840,1430258,1532985,1545369,1677867,1511413,1567697,1479935,1461591,1370180,1377497,1388495
 "51000","Virginia",5,SAACArtsComp,225,"...","  Other information services ","Thousands of dollars",177437,112875,125813,145572,186253,231274,169274,172070,159111,165990,191509,200060,223714,238966,248294,223993,238525,268177,283271,325389,440964
 "51000","Virginia",5,SAACArtsComp,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",9347,7957,9554,11184,11862,(D),13165,18688,10497,(D),5308,8272,6471,6429,6714,4211,2242,2917,2905,2092,2607
 "51000","Virginia",5,SAACArtsComp,232,"...","  Printed goods manufacturing ","Thousands of dollars",138696,115276,112117,127912,(D),(D),154953,(D),(D),(D),103962,99277,99028,95711,90799,89777,94530,90917,89385,75852,71372
 "51000","Virginia",5,SAACArtsComp,233,"...","  Musical instruments manufacturing ","Thousands of dollars",1585,1641,2051,1777,2219,2470,(D),(D),(D),2324,(D),2282,2353,2384,2322,2521,(D),2924,3734,3740,3884
 "51000","Virginia",5,SAACArtsComp,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",(D),90733,80024,80270,80251,80023,101949,95487,76859,68717,62667,64240,63313,61428,69619,76253,87119,(D),83379,68925,66189
 "51000","Virginia",5,SAACArtsComp,236,"...","  Other goods manufacturing ","Thousands of dollars",18668,16371,15439,16322,15511,17205,22077,18361,15251,13869,10758,10035,(D),11362,(D),15255,(D),(D),17664,18880,19914
 "51000","Virginia",5,SAACArtsComp,240,"...","  Construction ","Thousands of dollars",132220,155363,215027,444873,314763,210433,258407,250534,148129,207070,250364,278234,289027,498957,473894,154083,144193,413238,403921,186746,206743
 "51000","Virginia",5,SAACArtsComp,250,"...","  Wholesale and transportation industries ","Thousands of dollars",125204,150192,147017,154855,157676,160924,184528,202564,182180,225950,277783,250720,275876,283649,274112,284057,317848,328098,341201,350130,425623
 "51000","Virginia",5,SAACArtsComp,260,"...","  Retail industries ","Thousands of dollars",452129,455390,447672,471992,445757,466870,456533,458512,419634,404451,439785,445383,484766,486545,458984,440970,432781,432133,462292,430856,524751
 "51000","Virginia",5,SAACArtsComp,300,"..."," All other industries 2/","Thousands of dollars",238346,242162,241485,252570,268062,273381,290827,291514,289479,271108,269890,254506,249414,254934,273293,279709,278922,283881,291176,283975,315445
"Note: See the included footnote file."
"SAACArtsComp: ACPSA compensation by ACPSA industry 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
