GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "54000","West Virginia",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",25385227,25955225,26697583,28041127,29277090,31155597,32064935,33788330,33715809,34285357,35999427,37327777,37479144,37819415,38334051,37376764,39122983,42019028,42407269,41275466,43475549
 "54000","West Virginia",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",1019648,926274,858020,862627,870847,868617,886610,973342,892612,946537,908878,888115,863052,855900,879743,918184,874162,893164,870921,837392,895891
 "54000","West Virginia",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",52083,56887,49759,49980,49223,51833,55734,55235,54572,57219,57702,65345,56327,60125,57916,58927,60760,61567,66989,62975,73881
 "54000","West Virginia",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",4171,4368,3721,4804,5048,4778,4594,4921,4966,5532,5769,5151,4751,4557,4507,5362,4966,4971,5620,6038,5449
 "54000","West Virginia",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",1612,3039,3570,2885,2864,(D),3904,3623,3895,3126,3070,3753,3646,4500,2865,3306,2969,3175,3483,1828,3825
 "54000","West Virginia",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",(D),0,(D),(D),(D),0,(D),(D),(D),(D),0,(D),315,432,565,696,(D),(D),1154,(D),355
 "54000","West Virginia",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1265,(D),820,1017,905,1213,(D),(D),1369,(D),1592
 "54000","West Virginia",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",1754,2563,1978,1876,1924,(D),3655,3702,3834,4544,4657,6227,6029,6349,5119,5468,5689,5873,5965,6987,6755
 "54000","West Virginia",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",6208,6107,(D),(D),(D),(D),(D),(D),6610,6492,6757,7610,7512,8270,9266,9638,9954,10204,11050,10973,13331
 "54000","West Virginia",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",6654,(D),8645,8803,9242,9901,10991,10150,10520,11756,13448,14208,12596,11974,12110,9823,9153,9573,13639,13542,15445
 "54000","West Virginia",5,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",1364,1561,1452,1474,1145,751,749,916,835,812,743,738,671,782,660,651,994,1418,501,(D),854
 "54000","West Virginia",5,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",151,(D),(D),884,968,912,966,815,637,289,319,470,200,450,514,474,(D),683,634,943,1433
 "54000","West Virginia",5,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3488,395,(D),(D),(D)
 "54000","West Virginia",5,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",2346,1353,1142,978,952,1057,1185,1458,1373,1298,1198,1720,1326,1962,2253,2045,2067,2160,2464,2234,3065
 "54000","West Virginia",5,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",1033,1103,1245,1432,1606,1749,(D),2354,2546,2677,2642,2608,2519,2222,2290,2278,2572,2961,3218,3705,4494
 "54000","West Virginia",5,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",18401,19298,12223,10999,9594,9719,9190,9853,9737,9344,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "54000","West Virginia",5,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",(D),(D),294,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),90,(D),(D),(D)
 "54000","West Virginia",5,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),1400,1497,1452,(D),(D),1168,(D),(D),(D),(D),(D),2142,1559,(D)
