GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,SAACArtsEmp,1,"...","Total employment ","Number of jobs",688978,703526,699519,704817,708380,713309,718308,721890,719705,731389,742832,749247,758641,767306,775966,789592,794340,801809,805842,753744,754495
 "11000","District of Columbia",2,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",70773,68103,66384,64512,62753,60173,58004,57797,55518,53555,53022,53389,53976,53830,54589,54613,55424,56986,57205,55262,54961
 "11000","District of Columbia",2,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",12834,13111,13632,13897,14405,14119,14289,14739,13982,12618,12991,14109,14822,14726,14411,14571,15012,15589,15589,13386,13383
 "11000","District of Columbia",2,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",1000,1242,1277,1181,1267,1292,1276,1288,1134,1143,1208,1178,1114,1175,1111,1154,1138,1155,1238,709,734
 "11000","District of Columbia",2,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",223,761,854,855,1002,790,895,917,1003,1012,989,1057,1189,1309,1413,1483,1635,1797,1795,1099,1076
 "11000","District of Columbia",2,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",57,45,(D),38,32,37,35,38,34,33,(D),(D),(D),(D),50,61,69,85,76,55,61
 "11000","District of Columbia",2,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",87,115,118,99,128,127,142,186,184,208,217,207,186,218,213,248,259,308,285,243,251
 "11000","District of Columbia",2,SAACArtsEmp,120,"...","  Museums ","Number of jobs",603,666,737,737,743,723,740,1099,1051,947,948,948,863,839,817,856,(D),1248,1290,957,939
 "11000","District of Columbia",2,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",(D),(D),2345,(D),(D),(D),2178,2392,2375,2470,2704,(D),(D),2896,2903,(D),3012,3157,3098,3149,3169
 "11000","District of Columbia",2,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",2333,2408,2541,2632,2787,2932,3160,3290,3143,2155,2278,2384,2432,2449,2454,2490,2479,2531,2598,2487,2447
 "11000","District of Columbia",2,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",123,134,149,130,151,163,249,274,282,112,119,147,166,198,193,187,152,180,139,155,162
 "11000","District of Columbia",2,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",341,356,263,277,293,339,372,377,317,291,283,292,278,289,308,311,300,321,353,353,381
 "11000","District of Columbia",2,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",(D),(D),14,17,16,16,15,(D),(D),(D),(D),(D),(D),(D),(D),15,16,(D),(D),(D),(D)
 "11000","District of Columbia",2,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",736,573,423,422,438,422,368,372,347,350,377,383,457,390,380,390,384,360,336,293,301
 "11000","District of Columbia",2,SAACArtsEmp,137,"...","  Computer systems design ","Number of jobs",66,84,103,134,147,166,153,164,156,160,179,194,203,232,253,242,219,219,216,217,208
 "11000","District of Columbia",2,SAACArtsEmp,138,"...","  Photography and photofinishing services ","Number of jobs",(D),(D),(D),(D),(D),(D),125,116,(D),(D),49,(D),77,(D),52,(D),(D),63,(D),(D),(D)
 "11000","District of Columbia",2,SAACArtsEmp,139,"...","  All other design services ","Number of jobs",(D),(D),22,19,4,3,3,(D),(D),(D),(D),(D),(D),(D),(D),27,16,(D),(D),(D),(D)
 "11000","District of Columbia",2,SAACArtsEmp,140,"...","  Fine arts education ","Number of jobs",886,724,801,872,869,872,906,906,824,865,877,944,1027,814,622,625,624,631,690,585,613
 "11000","District of Columbia",2,SAACArtsEmp,150,"...","  Education services ","Number of jobs",3861,3315,3614,3674,4012,3932,3670,3304,3016,2804,2714,3296,3871,3784,3612,3428,3550,3505,3391,3015,2956
 "11000","District of Columbia",2,SAACArtsEmp,200,"..."," Supporting arts and cultural production ","Number of jobs",57213,54262,52058,49936,47670,45387,43031,42388,40880,40330,39430,38714,38603,38539,39586,39436,39823,40813,41033,41385,41068
 "11000","District of Columbia",2,SAACArtsEmp,211,"...","  Rental and leasing ","Number of jobs",(D),126,145,194,197,179,157,173,(D),151,47,(D),43,40,39,71,70,69,75,32,28
 "11000","District of Columbia",2,SAACArtsEmp,212,"...","  Grantmaking and giving services ","Number of jobs",155,182,152,145,140,162,173,182,218,248,275,336,355,363,384,389,418,435,449,442,433
 "11000","District of Columbia",2,SAACArtsEmp,213,"...","  Unions ","Number of jobs",1260,1097,1147,1140,1125,1151,1056,1169,1320,1208,1400,1355,1618,1517,1613,1461,1592,1460,1633,1331,1575
 "11000","District of Columbia",2,SAACArtsEmp,214,"...","  Government ","Number of jobs",41578,40000,37433,35320,33311,31137,29843,29546,28920,28382,27787,26808,26715,26676,26997,27237,27782,28370,28175,29305,28604
 "11000","District of Columbia",2,SAACArtsEmp,215,"...","  Other support services ","Number of jobs",8,6,8,9,8,8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAACArtsEmp,221,"...","  Publishing ","Number of jobs",4571,4567,4689,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2579,2418,(D)
 "11000","District of Columbia",2,SAACArtsEmp,222,"...","  Motion pictures ","Number of jobs",1457,1446,1678,1510,1230,1149,1040,1102,992,986,912,931,848,809,890,840,804,806,806,575,588
