GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13000","Georgia",5,SAACArtsEmp,1,"...","Total employment ","Number of jobs",4122141,4075446,4054398,4114163,4206767,4297606,4353198,4313134,4074870,4028041,4066303,4123085,4199911,4319223,4438736,4554075,4646150,4725038,4819919,4604892,4776500
 "13000","Georgia",5,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",165233,160356,150360,148607,142565,138530,137842,136534,127030,124403,126010,126260,127710,133944,143595,146413,151658,150656,153686,135642,149036
 "13000","Georgia",5,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",31507,28488,27603,27295,27577,28780,29267,28913,26231,24824,25760,26418,26486,27425,28553,30199,31775,33116,34168,28588,30400
 "13000","Georgia",5,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",5470,2759,1400,1208,1334,1317,1402,1356,1459,1291,1548,1593,1667,1628,1679,1759,2217,2243,2295,1574,1741
 "13000","Georgia",5,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",1854,2543,2375,2448,2574,2700,2632,2708,2664,2563,2331,2235,2118,2023,2151,2514,3057,4141,4115,1759,2163
 "13000","Georgia",5,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",52,57,72,61,72,75,95,92,88,140,168,208,244,308,182,184,218,226,252,205,239
 "13000","Georgia",5,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",645,665,809,1123,1126,1240,1408,1350,1359,1225,1187,1329,1315,1433,1558,1620,1400,1276,1241,1141,1199
 "13000","Georgia",5,SAACArtsEmp,120,"...","  Museums ","Number of jobs",1631,1633,1817,1873,1996,2312,2480,2472,2361,2323,2405,2483,2507,2617,2652,2890,2983,3112,3364,2776,2959
 "13000","Georgia",5,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",4881,4572,4470,4363,4119,4106,3949,4194,3955,4118,4783,5173,5066,5479,5611,5770,6191,6166,6385,5730,5795
 "13000","Georgia",5,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",4169,3994,3913,3772,3874,4262,4545,4578,3472,2990,2948,2917,3090,3354,3604,3827,3952,3962,4001,3892,3854
 "13000","Georgia",5,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",1370,1180,1290,1099,1094,1237,1148,1000,665,628,637,644,696,809,849,873,812,878,909,877,942
 "13000","Georgia",5,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",1135,1040,1081,1165,1324,1409,1504,1451,1213,1118,1155,1247,1274,1463,1636,1761,1875,1964,2149,2068,2070
 "13000","Georgia",5,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",109,110,99,56,59,62,58,63,51,42,71,76,89,88,93,104,129,118,144,149,157
 "13000","Georgia",5,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",2368,2160,2160,2064,2072,2124,2233,2304,2129,2031,2133,2293,2372,2291,2457,2467,2538,2298,2261,2225,2319
