GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,SAACArtsEmp,1,"...","Total employment ","Number of jobs",610828,612909,617083,632988,654842,682736,699031,691217,649645,642637,646362,652207,667781,685329,703879,726724,749670,773810,799581,791873,831903
 "16000","Idaho",7,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",23566,23525,22388,22294,21532,21386,21535,21708,19877,19787,19474,19440,19551,19769,20259,20461,21023,20993,21500,19377,20257
 "16000","Idaho",7,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",2759,2884,3004,3081,3136,3326,3418,3330,3024,2901,2903,2875,2855,3061,3264,3428,3582,3797,3962,3567,4063
 "16000","Idaho",7,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",236,255,257,300,283,305,322,322,359,379,406,408,379,403,447,469,470,509,533,418,451
 "16000","Idaho",7,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",60,69,91,86,83,95,114,113,192,223,212,225,241,293,318,357,361,370,376,181,240
 "16000","Idaho",7,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",4,5,2,4,6,6,8,8,10,9,(D),(D),(D),4,5,7,13,16,17,21,17
 "16000","Idaho",7,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",162,198,225,83,108,110,106,110,88,94,(D),(D),(D),94,112,119,146,127,162,173,197
 "16000","Idaho",7,SAACArtsEmp,120,"...","  Museums ","Number of jobs",(D),155,160,170,181,168,177,191,182,182,221,232,243,227,243,262,(D),340,375,337,361
 "16000","Idaho",7,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",363,399,405,443,417,404,(D),(D),(D),(D),(D),(D),(D),(D),(D),480,474,489,467,402,460
 "16000","Idaho",7,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",583,565,560,558,600,671,726,691,540,465,424,413,414,422,459,503,532,549,561,570,599
 "16000","Idaho",7,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",76,82,145,154,180,217,198,201,150,130,116,108,82,94,109,111,122,142,153,143,192
 "16000","Idaho",7,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",54,55,94,104,115,112,110,109,73,70,68,68,75,98,127,117,118,118,131,125,149
 "16000","Idaho",7,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),4,3,8,9,7,5,7,9,13
