GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,SAACArtsEmp,1,"...","Total employment ","Number of jobs",640657,635883,637305,643788,648879,655750,658831,656967,633060,629907,633733,640426,647086,655526,666438,676230,682551,689119,696058,654255,679137
 "33000","New Hampshire",1,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",27135,27151,25778,25207,24426,24118,23316,22844,21699,21384,21180,21500,21775,21530,22054,22592,22814,22215,22693,20540,21531
 "33000","New Hampshire",1,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",4522,4549,4398,4450,4517,4580,4558,4415,4189,4153,4188,4280,4391,4352,4630,4878,5031,4957,5283,4382,4941
 "33000","New Hampshire",1,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",359,353,(D),412,415,469,434,(D),(D),439,(D),(D),(D),(D),(D),(D),(D),470,488,263,(D)
 "33000","New Hampshire",1,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",101,126,164,211,220,239,228,152,174,160,139,158,195,199,292,321,343,325,382,134,252
 "33000","New Hampshire",1,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",48,12,9,8,10,8,8,9,8,9,9,10,8,9,11,14,16,17,19,16,17
 "33000","New Hampshire",1,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",68,60,54,49,58,56,74,84,107,106,98,111,118,111,105,99,126,136,140,92,126
 "33000","New Hampshire",1,SAACArtsEmp,120,"...","  Museums ","Number of jobs",500,511,542,(D),516,499,510,524,506,519,524,530,561,538,520,520,521,549,570,420,432
 "33000","New Hampshire",1,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",459,415,384,(D),(D),387,413,422,400,(D),445,498,533,566,576,566,566,557,555,455,496
 "33000","New Hampshire",1,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",344,341,333,332,345,365,347,350,295,270,264,255,263,277,298,305,319,319,316,320,339
 "33000","New Hampshire",1,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",72,81,103,176,194,197,210,122,128,101,101,107,111,115,126,129,124,86,88,62,70
 "33000","New Hampshire",1,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",48,65,58,49,51,50,49,50,35,31,33,35,38,45,52,54,60,59,69,64,73
 "33000","New Hampshire",1,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",99,97,83,69,79,74,77,65,61,73,69,75,68,67,68,77,81,82,90,95,104
 "33000","New Hampshire",1,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",384,322,299,297,313,275,286,271,239,247,248,255,270,209,260,275,264,206,208,196,227
 "33000","New Hampshire",1,SAACArtsEmp,137,"...","  Computer systems design ","Number of jobs",84,63,58,65,(D),(D),(D),(D),(D),(D),(D),(D),78,83,87,91,96,98,97,102,112
 "33000","New Hampshire",1,SAACArtsEmp,138,"...","  Photography and photofinishing services ","Number of jobs",560,542,470,452,(D),(D),(D),406,342,(D),329,351,(D),(D),(D),(D),(D),276,277,199,(D)
 "33000","New Hampshire",1,SAACArtsEmp,139,"...","  All other design services ","Number of jobs",15,15,17,16,13,12,10,12,12,7,7,9,7,9,38,40,41,44,45,29,30
 "33000","New Hampshire",1,SAACArtsEmp,140,"...","  Fine arts education ","Number of jobs",528,545,(D),632,682,716,747,745,728,718,702,657,707,768,801,788,837,943,1062,966,1183
 "33000","New Hampshire",1,SAACArtsEmp,150,"...","  Education services ","Number of jobs",853,1001,845,782,733,713,642,658,626,658,646,648,625,641,713,889,920,790,877,969,907
 "33000","New Hampshire",1,SAACArtsEmp,200,"..."," Supporting arts and cultural production ","Number of jobs",21575,21576,20408,19801,18959,18604,17811,17511,16638,16438,16222,16502,16690,16472,16693,16970,17065,16552,16708,15535,15913
