GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,SAACArtsEmp,1,"...","Total employment ","Number of jobs",4059504,4050546,4041438,4068023,4099778,4133463,4143110,4113605,3951152,3908070,3903364,3937611,3978040,4010099,4061791,4122611,4174988,4222079,4265276,3922444,4100453
 "34000","New Jersey",2,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",172492,171072,163615,160931,157902,153790,152007,149727,139050,137902,140349,140667,139545,138237,139004,139992,137955,136666,135660,120034,126767
 "34000","New Jersey",2,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",30722,31092,32266,32372,31632,32135,32257,32255,28847,27923,28175,28485,29301,30092,30913,31963,32083,32397,32930,26543,30075
 "34000","New Jersey",2,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",2133,2154,1999,2040,2066,2053,2243,2445,2277,2127,2321,2392,2459,2637,2354,2814,2534,2660,2870,1731,2081
 "34000","New Jersey",2,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",867,1052,1485,1446,1313,1215,1338,1626,1382,1439,1729,1796,1815,1943,2529,2490,2714,2795,2870,1356,1928
 "34000","New Jersey",2,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",256,292,403,434,462,527,638,664,476,504,479,452,401,284,232,224,235,227,222,175,189
 "34000","New Jersey",2,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",987,1045,1158,1205,1243,1312,1332,1484,1216,1259,1238,1413,1441,1452,1534,1495,1340,1262,1142,753,1022
 "34000","New Jersey",2,SAACArtsEmp,120,"...","  Museums ","Number of jobs",1803,1880,1895,1777,1760,1777,1897,1903,1765,1664,1581,1597,1633,1635,1625,1644,1640,1669,1712,1171,1240
 "34000","New Jersey",2,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",6677,6201,5711,5481,5092,4963,4639,4679,4425,4268,4392,4345,4491,4479,4570,4637,4939,4785,4528,4049,4393
 "34000","New Jersey",2,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",3070,3272,3544,3736,3859,3975,3951,3696,3167,2923,2859,2831,3001,3127,3340,3461,3555,3614,3558,3343,3398
 "34000","New Jersey",2,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",1130,1274,1506,1667,1884,1943,1796,1535,1239,1331,1133,1059,1037,1069,996,945,960,945,927,931,964
 "34000","New Jersey",2,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",653,694,812,925,1075,1184,1282,1090,998,826,820,842,931,954,1036,1137,1162,1291,1351,1062,1224
 "34000","New Jersey",2,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",245,412,491,530,590,616,545,465,414,401,415,401,359,391,368,399,372,379,398,384,356
 "34000","New Jersey",2,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",2546,2319,2394,2476,2162,2256,2321,2347,2181,2114,2047,2049,2023,1977,1958,1990,2072,1991,1927,1699,1731
 "34000","New Jersey",2,SAACArtsEmp,137,"...","  Computer systems design ","Number of jobs",690,625,609,571,599,659,720,759,716,725,757,788,789,801,801,816,820,847,866,847,897
 "34000","New Jersey",2,SAACArtsEmp,138,"...","  Photography and photofinishing services ","Number of jobs",4566,4396,4436,4035,3406,3128,3056,2805,2167,2037,2172,2161,2053,1994,1929,1939,1735,1642,1798,1296,1496
 "34000","New Jersey",2,SAACArtsEmp,139,"...","  All other design services ","Number of jobs",243,224,227,243,212,227,306,327,263,182,165,176,166,164,173,169,164,167,139,108,164
 "34000","New Jersey",2,SAACArtsEmp,140,"...","  Fine arts education ","Number of jobs",3344,3556,3751,4048,4203,4469,4436,4586,4480,4415,4511,4537,5020,5277,5565,5678,5849,6104,6464,5239,6592
 "34000","New Jersey",2,SAACArtsEmp,150,"...","  Education services ","Number of jobs",1512,1696,1845,1758,1704,1833,1754,1845,1681,1707,1556,1647,1681,1907,1903,2125,1992,2018,2155,2399,2398
 "34000","New Jersey",2,SAACArtsEmp,200,"..."," Supporting arts and cultural production ","Number of jobs",135250,133476,125187,122580,120342,115847,113905,111838,104855,105117,107465,107799,106012,103846,103645,103499,101476,99934,98403,89739,92574
 "34000","New Jersey",2,SAACArtsEmp,211,"...","  Rental and leasing ","Number of jobs",1965,1907,2111,2063,1725,1616,1467,1230,1088,843,807,752,677,517,491,550,588,641,703,553,493
 "34000","New Jersey",2,SAACArtsEmp,212,"...","  Grantmaking and giving services ","Number of jobs",194,192,175,162,158,153,156,136,150,140,127,150,147,146,143,157,156,159,167,158,160
 "34000","New Jersey",2,SAACArtsEmp,213,"...","  Unions ","Number of jobs",500,452,517,512,555,555,527,597,680,594,675,646,758,723,785,708,801,747,824,660,815
 "34000","New Jersey",2,SAACArtsEmp,214,"...","  Government ","Number of jobs",52108,52554,47963,43948,40216,35933,31894,32052,32349,32644,31347,31084,31252,30982,30716,31040,30679,30421,30891,29198,29024
 "34000","New Jersey",2,SAACArtsEmp,215,"...","  Other support services ","Number of jobs",82,82,(D),104,135,119,135,125,111,97,89,79,70,75,89,77,70,77,72,49,47
 "34000","New Jersey",2,SAACArtsEmp,221,"...","  Publishing ","Number of jobs",14054,14410,14536,13916,13853,13535,13229,11950,10270,9529,9178,8932,8504,8250,8449,7924,7649,7369,7069,6957,7416
 "34000","New Jersey",2,SAACArtsEmp,222,"...","  Motion pictures ","Number of jobs",6262,6832,6274,(D),(D),6774,6751,(D),(D),6631,6652,7108,6468,6659,6715,6846,6808,6781,6963,4872,5274
 "34000","New Jersey",2,SAACArtsEmp,223,"...","  Sound recording ","Number of jobs",334,(D),329,307,305,(D),237,214,273,279,282,280,297,163,158,(D),167,170,168,172,214
 "34000","New Jersey",2,SAACArtsEmp,224,"...","  Broadcasting ","Number of jobs",13189,11731,11278,11480,11689,12085,13575,14178,14028,14155,13606,15334,15175,14610,13930,13611,11965,11764,10494,10545,10688
 "34000","New Jersey",2,SAACArtsEmp,225,"...","  Other information services ","Number of jobs",3871,3236,3066,3219,3293,3376,3763,3907,3465,3342,3247,3315,3135,3061,3106,3235,3504,3404,3563,3722,4266
 "34000","New Jersey",2,SAACArtsEmp,231,"...","  Jewelry and silverware manufacturing ","Number of jobs",(D),1290,1310,1319,2330,2271,2143,1972,1413,1314,1291,1697,1654,1588,1458,1420,1333,1458,1410,1250,1310
 "34000","New Jersey",2,SAACArtsEmp,232,"...","  Printed goods manufacturing ","Number of jobs",5083,3993,3644,3979,3909,4013,4564,4371,3656,3283,3008,2882,2797,2599,2478,2424,2452,2289,2189,1823,1788
 "34000","New Jersey",2,SAACArtsEmp,233,"...","  Musical instruments manufacturing ","Number of jobs",114,94,72,61,56,55,23,20,38,89,106,119,121,110,119,102,95,94,99,93,92
 "34000","New Jersey",2,SAACArtsEmp,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Number of jobs",273,368,408,400,403,450,590,648,525,467,536,541,578,559,629,753,804,847,852,732,683
 "34000","New Jersey",2,SAACArtsEmp,236,"...","  Other goods manufacturing ","Number of jobs",(D),(D),(D),(D),(D),(D),1781,(D),(D),996,975,1023,962,1091,1192,(D),1373,1321,1502,1368,1346
 "34000","New Jersey",2,SAACArtsEmp,240,"...","  Construction ","Number of jobs",2477,2700,2092,2918,4328,3699,3268,1175,1365,1451,2946,2093,2798,2465,2961,2721,1720,1975,1411,1014,1192
 "34000","New Jersey",2,SAACArtsEmp,250,"...","  Wholesale and transportation industries ","Number of jobs",13923,14665,13370,15021,14802,14142,14303,17287,13498,15424,16075,15714,14782,14551,14169,13972,14031,14255,14038,12050,12307
 "34000","New Jersey",2,SAACArtsEmp,260,"...","  Retail industries ","Number of jobs",17112,16573,15929,14962,14238,15149,15500,13996,13873,13840,16518,16048,15836,15697,16057,16599,17282,16163,15987,14522,15458
 "34000","New Jersey",2,SAACArtsEmp,300,"..."," All other industries 2/","Number of jobs",6519,6503,6162,5980,5928,5808,5845,5635,5348,4863,4710,4383,4233,4298,4447,4530,4395,4335,4327,3753,4119
"Note: See the included footnote file."
"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
