GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,SAACArtsEmp,1,"...","Total employment ","Number of jobs",792124,801301,812456,828953,844235,867019,876593,879295,845420,836523,836180,839254,846495,852638,860270,861156,862617,875798,890675,833811,846784
 "35000","New Mexico",6,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",31194,32423,32029,31213,29649,29411,29935,30250,27400,26269,26297,26676,25760,24707,25071,25699,26352,25885,26311,21992,23766
 "35000","New Mexico",6,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",4173,4460,4658,4780,4341,4459,4730,4670,(D),4055,3917,4142,4138,4212,4295,4321,4465,4545,4682,3605,4034
 "35000","New Mexico",6,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",532,529,605,596,530,506,523,496,473,(D),397,(D),433,443,471,501,590,606,614,338,464
 "35000","New Mexico",6,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",89,101,121,121,122,165,262,268,278,328,301,314,316,314,313,333,366,362,401,243,375
 "35000","New Mexico",6,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",6,6,8,3,4,5,(D),(D),6,4,(D),3,(D),4,5,4,4,3,5,4,8
 "35000","New Mexico",6,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",220,231,198,281,282,232,(D),(D),194,188,219,232,168,177,177,223,170,222,218,145,168
 "35000","New Mexico",6,SAACArtsEmp,120,"...","  Museums ","Number of jobs",341,373,411,428,(D),517,559,556,555,520,482,621,621,647,650,665,(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",289,279,283,271,(D),276,273,289,285,263,283,320,339,375,383,366,407,360,389,321,317
 "35000","New Mexico",6,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",832,864,891,897,878,915,951,955,879,757,690,625,611,609,657,655,621,631,642,632,635
 "35000","New Mexico",6,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",442,721,716,701,283,289,294,260,151,129,134,137,140,143,163,164,159,164,171,132,115
 "35000","New Mexico",6,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",61,53,62,76,72,73,89,99,63,81,61,64,55,67,66,73,81,89,82,87,92
 "35000","New Mexico",6,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",36,27,58,68,73,23,23,22,22,23,16,13,16,(D),(D),(D),3,4,4,4,3
 "35000","New Mexico",6,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",264,239,237,231,262,302,313,313,283,267,244,237,247,253,249,208,191,175,178,149,163
 "35000","New Mexico",6,SAACArtsEmp,137,"...","  Computer systems design ","Number of jobs",46,35,32,29,31,32,34,37,37,42,44,47,50,51,50,48,50,52,52,53,52
 "35000","New Mexico",6,SAACArtsEmp,138,"...","  Photography and photofinishing services ","Number of jobs",586,559,523,512,477,481,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAACArtsEmp,139,"...","  All other design services ","Number of jobs",5,5,15,19,20,68,77,70,55,28,29,36,39,(D),(D),(D),24,23,9,9,12
