GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,SAACArtsEmp,1,"...","Total employment ","Number of jobs",1081457,1085051,1122817,1190151,1259506,1316861,1330265,1301090,1185067,1153901,1161009,1179620,1207788,1249531,1292235,1329770,1374017,1420736,1461660,1317519,1409465
 "32000","Nevada",8,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",47812,50098,44843,45302,44298,45049,48354,47547,42751,41703,36699,37437,38228,39044,38821,40795,41684,50762,52994,37090,39683
 "32000","Nevada",8,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",7797,7736,8410,8579,9103,9842,10587,10386,8751,8482,8844,9089,9155,9911,10061,10376,10649,11064,11670,7858,9045
 "32000","Nevada",8,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",1821,1755,1991,1932,2116,2345,2961,2843,2576,2556,2632,2532,2341,2581,2466,2422,2239,2325,2628,1228,1730
 "32000","Nevada",8,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",277,300,429,492,493,530,604,728,660,704,733,912,1019,1116,1133,1320,1431,1545,1544,939,1311
 "32000","Nevada",8,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",106,182,190,194,190,196,76,72,43,38,37,42,47,53,60,65,63,85,64,49,64
 "32000","Nevada",8,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",524,485,663,618,722,799,794,647,672,811,942,1052,1084,1238,1089,1136,1199,1232,1471,864,888
 "32000","Nevada",8,SAACArtsEmp,120,"...","  Museums ","Number of jobs",232,327,321,352,349,360,371,379,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),705
 "32000","Nevada",8,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",1074,1024,1000,984,973,1066,1091,1132,955,992,1026,1065,1040,1014,1021,1004,1060,1043,1000,856,852
 "32000","Nevada",8,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",927,879,938,1053,1206,1354,1455,1447,955,708,668,665,669,720,751,771,801,870,920,854,815
 "32000","Nevada",8,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",92,76,136,164,177,103,96,80,58,50,48,36,33,36,41,49,77,78,80,78,84
 "32000","Nevada",8,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",232,206,223,248,293,375,385,406,216,168,179,189,222,228,243,255,281,295,311,276,291
 "32000","Nevada",8,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",(D),(D),(D),62,67,64,68,96,97,77,51,48,44,43,48,36,36,22,20,28,40
 "32000","Nevada",8,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",454,413,427,429,457,540,537,536,430,389,391,366,363,391,402,411,444,452,447,334,348
 "32000","Nevada",8,SAACArtsEmp,137,"...","  Computer systems design ","Number of jobs",51,49,51,53,56,62,67,73,64,70,64,66,74,80,85,92,96,98,102,102,110
 "32000","Nevada",8,SAACArtsEmp,138,"...","  Photography and photofinishing services ","Number of jobs",1590,1594,1542,1529,1485,1504,1488,1384,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),757
 "32000","Nevada",8,SAACArtsEmp,139,"...","  All other design services ","Number of jobs",(D),(D),(D),30,9,11,21,29,32,26,15,18,26,40,48,65,68,74,88,78,90
 "32000","Nevada",8,SAACArtsEmp,140,"...","  Fine arts education ","Number of jobs",236,244,270,299,340,338,384,376,334,309,350,388,496,593,690,672,712,664,685,546,674
 "32000","Nevada",8,SAACArtsEmp,150,"...","  Education services ","Number of jobs",111,136,138,141,170,193,189,157,180,184,174,161,165,165,170,160,193,233,248,292,286
 "32000","Nevada",8,SAACArtsEmp,200,"..."," Supporting arts and cultural production ","Number of jobs",38236,40582,34692,34949,33360,33345,35873,35355,32347,31722,26383,26969,27727,27732,27283,28900,29543,38192,39800,27951,29192
 "32000","Nevada",8,SAACArtsEmp,211,"...","  Rental and leasing ","Number of jobs",848,836,938,995,911,851,884,807,691,507,455,446,401,370,382,475,464,472,465,346,407
 "32000","Nevada",8,SAACArtsEmp,212,"...","  Grantmaking and giving services ","Number of jobs",11,11,13,12,14,15,17,15,18,16,20,22,21,23,23,26,23,24,26,25,29
 "32000","Nevada",8,SAACArtsEmp,213,"...","  Unions ","Number of jobs",96,84,92,96,94,113,112,122,132,123,132,127,138,130,134,127,140,137,156,107,121
 "32000","Nevada",8,SAACArtsEmp,214,"...","  Government ","Number of jobs",14973,16010,14371,13590,10778,10087,9171,9079,9084,8862,8704,8643,8601,8458,8592,8651,8938,9079,9216,9138,8771
 "32000","Nevada",8,SAACArtsEmp,215,"...","  Other support services ","Number of jobs",38,41,58,62,66,66,62,62,53,61,57,59,53,55,56,56,54,49,52,(D),(D)
 "32000","Nevada",8,SAACArtsEmp,221,"...","  Publishing ","Number of jobs",1578,1533,1533,1460,1555,1608,1627,1544,1226,1147,1078,987,999,978,995,1027,1075,1101,1176,1154,1270
 "32000","Nevada",8,SAACArtsEmp,222,"...","  Motion pictures ","Number of jobs",2319,2056,1913,1976,1886,2243,2705,2584,2219,2217,2350,2695,2546,3006,2964,3558,3125,3039,3158,1483,2331
 "32000","Nevada",8,SAACArtsEmp,223,"...","  Sound recording ","Number of jobs",274,286,183,338,365,411,432,380,226,244,252,244,247,230,274,287,302,306,289,136,154
 "32000","Nevada",8,SAACArtsEmp,224,"...","  Broadcasting ","Number of jobs",1927,1996,(D),2125,(D),(D),2515,2488,2346,2369,2428,2514,2503,2527,2495,2516,2398,2399,2358,2217,2257
 "32000","Nevada",8,SAACArtsEmp,225,"...","  Other information services ","Number of jobs",(D),(D),314,247,375,470,338,391,520,338,331,345,385,542,585,591,630,774,701,636,787
 "32000","Nevada",8,SAACArtsEmp,231,"...","  Jewelry and silverware manufacturing ","Number of jobs",112,118,95,(D),67,67,52,43,35,94,117,162,166,246,264,238,184,90,(D),82,134
 "32000","Nevada",8,SAACArtsEmp,232,"...","  Printed goods manufacturing ","Number of jobs",(D),533,519,(D),(D),635,759,719,613,626,542,562,615,632,563,599,684,694,677,568,541
 "32000","Nevada",8,SAACArtsEmp,233,"...","  Musical instruments manufacturing ","Number of jobs",(D),(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),7,(D),(D),(D),(D),(D),(D),(D)
 "32000","Nevada",8,SAACArtsEmp,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Number of jobs",85,116,134,158,190,222,314,398,(D),(D),194,198,208,250,308,353,377,382,449,432,423
 "32000","Nevada",8,SAACArtsEmp,236,"...","  Other goods manufacturing ","Number of jobs",218,219,233,246,239,231,280,229,164,150,119,(D),130,(D),186,190,(D),208,230,222,244
 "32000","Nevada",8,SAACArtsEmp,240,"...","  Construction ","Number of jobs",5137,6680,3199,4432,5390,4979,6881,6893,6168,6022,1191,1292,1986,1023,1049,1889,2037,9936,11048,2338,1296
 "32000","Nevada",8,SAACArtsEmp,250,"...","  Wholesale and transportation industries ","Number of jobs",2305,2506,2051,2069,1970,1974,(D),(D),(D),1703,(D),1699,(D),(D),(D),(D),2142,(D),2224,(D),2144
 "32000","Nevada",8,SAACArtsEmp,260,"...","  Retail industries ","Number of jobs",7253,7181,7003,6477,6692,7102,7872,7714,7009,7027,6652,6846,6966,7007,6283,6346,6733,7241,7499,7178,8250
 "32000","Nevada",8,SAACArtsEmp,300,"..."," All other industries 2/","Number of jobs",1779,1779,1742,1774,1835,1862,1894,1806,1653,1499,1472,1380,1346,1400,1478,1519,1492,1506,1523,1282,1446
"Note: See the included footnote file."
"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
