GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,SAACArtsEmp,1,"...","Total employment ","Number of jobs",498580,498821,502188,505747,505702,508017,508026,497535,475472,474027,475367,477449,483908,491546,499515,503575,507465,513153,517368,475074,494738
 "44000","Rhode Island",1,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",28029,27063,26699,25346,24357,24284,23162,22129,18538,18263,18024,18384,18358,17979,18206,17904,17782,18517,18142,15485,16876
 "44000","Rhode Island",1,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",4291,4541,4608,4635,4446,4453,4459,4608,3923,3888,3945,4001,4210,4282,4327,4611,4575,4960,4838,3948,4361
 "44000","Rhode Island",1,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",645,702,701,753,759,740,747,762,757,670,640,635,(D),(D),681,670,575,(D),658,374,(D)
 "44000","Rhode Island",1,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",61,73,79,86,98,101,(D),97,126,150,105,109,181,148,142,160,202,208,234,128,203
 "44000","Rhode Island",1,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",7,(D),(D),4,(D),(D),(D),(D),(D),(D),(D),8,10,9,(D),(D),(D),9,9,10,11
 "44000","Rhode Island",1,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",105,117,111,98,99,107,103,86,79,57,58,59,64,90,107,123,105,110,107,80,104
 "44000","Rhode Island",1,SAACArtsEmp,120,"...","  Museums ","Number of jobs",726,698,707,(D),680,696,789,758,688,689,668,694,713,753,776,879,873,904,912,630,656
 "44000","Rhode Island",1,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",381,363,347,334,308,289,256,252,247,248,261,287,298,334,354,359,358,313,296,304,311
 "44000","Rhode Island",1,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",327,(D),374,378,399,427,441,410,340,315,(D),291,286,291,313,(D),(D),331,345,341,357
 "44000","Rhode Island",1,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",46,(D),47,52,68,73,87,98,87,81,73,61,(D),(D),66,84,74,72,60,62,83
 "44000","Rhode Island",1,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",99,(D),115,131,(D),(D),104,100,(D),(D),(D),73,82,94,119,129,(D),135,143,127,158
 "44000","Rhode Island",1,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",59,69,87,88,98,116,129,138,65,36,24,32,42,46,59,72,67,86,88,84,90
 "44000","Rhode Island",1,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",227,237,237,218,203,(D),177,176,149,139,152,154,154,141,147,143,153,166,169,158,159
 "44000","Rhode Island",1,SAACArtsEmp,137,"...","  Computer systems design ","Number of jobs",26,21,19,21,25,24,24,26,27,30,31,34,36,37,41,44,46,57,58,64,86
 "44000","Rhode Island",1,SAACArtsEmp,138,"...","  Photography and photofinishing services ","Number of jobs",590,601,(D),450,396,385,359,(D),(D),291,299,305,285,255,(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAACArtsEmp,139,"...","  All other design services ","Number of jobs",15,(D),14,17,(D),11,6,6,(D),(D),(D),17,15,18,19,46,(D),42,34,38,47
 "44000","Rhode Island",1,SAACArtsEmp,140,"...","  Fine arts education ","Number of jobs",239,279,293,(D),285,297,301,280,258,254,250,250,262,276,305,341,361,384,(D),(D),475
 "44000","Rhode Island",1,SAACArtsEmp,150,"...","  Education services ","Number of jobs",738,857,984,1046,884,857,836,1064,692,836,998,991,996,1008,966,1033,1035,1353,1125,1075,1005
 "44000","Rhode Island",1,SAACArtsEmp,200,"..."," Supporting arts and cultural production ","Number of jobs",22963,21745,21346,19981,19191,19129,17995,16848,13977,13791,13513,13856,13637,13174,13337,12748,12682,13045,12796,11099,12039
 "44000","Rhode Island",1,SAACArtsEmp,211,"...","  Rental and leasing ","Number of jobs",268,266,298,283,245,229,202,(D),134,90,59,60,54,45,34,(D),(D),(D),38,31,25
 "44000","Rhode Island",1,SAACArtsEmp,212,"...","  Grantmaking and giving services ","Number of jobs",39,(D),42,36,40,42,47,48,57,54,66,75,72,72,68,66,66,67,70,65,62
 "44000","Rhode Island",1,SAACArtsEmp,213,"...","  Unions ","Number of jobs",85,76,85,76,77,83,76,85,97,89,100,97,115,107,115,99,111,102,113,90,106
 "44000","Rhode Island",1,SAACArtsEmp,214,"...","  Government ","Number of jobs",5696,5622,5904,5063,4569,4645,4505,4441,4178,4082,4175,4197,4122,3989,4029,4107,4265,4681,4594,4188,4156
 "44000","Rhode Island",1,SAACArtsEmp,215,"...","  Other support services ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAACArtsEmp,221,"...","  Publishing ","Number of jobs",(D),1616,1580,1544,1507,1374,1342,1191,1048,991,1073,984,876,819,795,748,705,633,606,550,545
 "44000","Rhode Island",1,SAACArtsEmp,222,"...","  Motion pictures ","Number of jobs",539,624,629,596,564,884,513,890,631,792,665,546,564,651,715,654,653,698,770,396,532
 "44000","Rhode Island",1,SAACArtsEmp,223,"...","  Sound recording ","Number of jobs",26,14,14,10,12,19,11,14,11,5,22,11,13,16,8,7,12,20,19,16,17
 "44000","Rhode Island",1,SAACArtsEmp,224,"...","  Broadcasting ","Number of jobs",903,925,963,964,1017,1094,(D),1343,1271,1272,1280,(D),(D),(D),(D),(D),(D),950,908,871,858
 "44000","Rhode Island",1,SAACArtsEmp,225,"...","  Other information services ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),416,389,375,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),406
 "44000","Rhode Island",1,SAACArtsEmp,231,"...","  Jewelry and silverware manufacturing ","Number of jobs",9014,8320,7449,7262,7062,6574,6251,5249,3468,3097,2845,3451,3287,(D),(D),(D),(D),(D),(D),2103,2230
 "44000","Rhode Island",1,SAACArtsEmp,232,"...","  Printed goods manufacturing ","Number of jobs",447,347,297,298,310,304,334,317,268,247,279,280,293,299,294,281,296,297,277,240,251
 "44000","Rhode Island",1,SAACArtsEmp,233,"...","  Musical instruments manufacturing ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAACArtsEmp,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Number of jobs",72,101,(D),112,113,133,179,173,(D),109,(D),(D),(D),110,129,132,144,160,153,(D),125
 "44000","Rhode Island",1,SAACArtsEmp,236,"...","  Other goods manufacturing ","Number of jobs",157,130,102,59,59,62,62,56,47,51,79,79,(D),84,74,53,56,52,58,41,42
 "44000","Rhode Island",1,SAACArtsEmp,240,"...","  Construction ","Number of jobs",520,249,391,326,464,696,463,200,223,418,191,246,598,491,637,263,138,258,361,270,753
 "44000","Rhode Island",1,SAACArtsEmp,250,"...","  Wholesale and transportation industries ","Number of jobs",889,917,745,665,603,527,602,(D),(D),751,(D),(D),(D),(D),(D),(D),457,432,(D),(D),419
 "44000","Rhode Island",1,SAACArtsEmp,260,"...","  Retail industries ","Number of jobs",(D),1676,2034,1922,1773,1655,1662,1529,1383,1317,1275,1227,1200,1216,1258,1293,1373,1421,1387,1277,1470
 "44000","Rhode Island",1,SAACArtsEmp,300,"..."," All other industries 2/","Number of jobs",774,777,745,730,720,703,708,673,638,584,566,528,511,523,542,544,524,513,508,437,476
"Note: See the included footnote file."
"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
