GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SAACArtsEmp,1,"...","Total employment ","Number of jobs",1130770,1125887,1126689,1158072,1200077,1258019,1306880,1307417,1241969,1235051,1262617,1303995,1342353,1381259,1428555,1480314,1528377,1579324,1624385,1609961,1688168
 "49000","Utah",7,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",51949,50470,48029,47405,47642,48661,50619,52059,49659,49226,49171,52158,53801,55634,57845,60344,63999,67306,66574,60877,65696
 "49000","Utah",7,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",9840,10106,8565,8640,9249,9773,10471,11109,10538,10184,10519,11410,11955,12836,13424,14138,14935,15458,16231,(D),(D)
 "49000","Utah",7,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",846,713,691,695,803,858,914,925,951,904,951,1043,1164,1291,1306,1477,1592,1801,1803,1277,1508
 "49000","Utah",7,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",1882,2225,1085,1007,1182,1267,1344,1374,1529,1518,1392,1530,1588,1624,1624,1885,1897,1686,1729,957,1292
 "49000","Utah",7,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",47,50,36,29,39,52,36,39,14,23,19,20,29,28,27,26,26,28,27,40,43
 "49000","Utah",7,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",217,319,281,276,320,342,366,384,326,295,336,365,370,430,472,525,556,563,600,549,594
 "49000","Utah",7,SAACArtsEmp,120,"...","  Museums ","Number of jobs",755,695,530,552,662,701,788,871,883,811,801,884,(D),(D),(D),(D),(D),(D),(D),1074,1153
 "49000","Utah",7,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",1228,1177,1121,1072,1054,1056,1017,1167,1156,1184,1263,1354,1569,1737,1727,1678,1617,1648,1537,1398,1440
 "49000","Utah",7,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",1131,1041,1033,1107,1251,1420,1543,1549,1224,1078,1022,1075,1101,1163,1244,1304,1384,1388,1507,1471,1520
 "49000","Utah",7,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",240,295,265,282,321,351,388,410,276,256,204,195,202,218,237,247,230,235,277,273,305
 "49000","Utah",7,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",205,216,219,262,316,342,353,349,268,170,188,210,224,244,266,322,371,458,513,537,638
