GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,SAACArtsEmp,1,"...","Total employment ","Number of jobs",2871629,2848560,2852564,2880833,2899476,2921871,2934229,2924558,2791743,2780923,2809126,2840826,2874503,2912312,2945914,2980351,3000654,3032151,3044524,2879755,2949218
 "55000","Wisconsin",3,SAACArtsEmp,10,"...","Total ACPSA employment ","Number of jobs",129001,125447,120015,116230,110688,108166,107836,106204,99956,99615,95868,96331,96630,96335,95382,97162,97703,96497,96547,83710,87185
 "55000","Wisconsin",3,SAACArtsEmp,100,"..."," Core arts and cultural production ","Number of jobs",17747,17314,17789,17754,17416,17949,17862,17816,16552,16127,16087,17090,17670,18055,18103,18700,18859,19636,20711,16333,(D)
 "55000","Wisconsin",3,SAACArtsEmp,111,"...","  Performing arts companies ","Number of jobs",1881,1772,1931,2007,1938,2114,2034,1927,1759,1742,1703,(D),(D),(D),(D),(D),(D),(D),(D),(D),1454
 "55000","Wisconsin",3,SAACArtsEmp,112,"...","  Promoters of performing arts and similar events ","Number of jobs",1120,1150,1663,1286,1155,1481,1583,1504,1727,1836,1703,1568,1576,1636,1606,1839,1804,2024,2701,1169,1861
 "55000","Wisconsin",3,SAACArtsEmp,113,"...","  Agents/managers for artists ","Number of jobs",23,34,37,43,41,35,40,31,33,31,32,47,47,47,50,50,48,48,49,42,47
 "55000","Wisconsin",3,SAACArtsEmp,114,"...","  Independent artists, writers, and performers ","Number of jobs",569,576,563,707,789,860,857,815,817,746,736,737,668,705,733,740,704,772,869,580,690
 "55000","Wisconsin",3,SAACArtsEmp,120,"...","  Museums ","Number of jobs",1392,1444,1449,1467,1459,1615,1622,1768,1625,1618,1635,1776,1779,1831,1817,1912,1934,1995,2051,1603,1587
 "55000","Wisconsin",3,SAACArtsEmp,131,"...","  Advertising ","Number of jobs",2932,2782,2677,2680,2387,2186,2014,2174,2042,2035,2061,2254,2537,2588,2606,2603,2640,2655,2664,2328,2328
 "55000","Wisconsin",3,SAACArtsEmp,132,"...","  Architectural services ","Number of jobs",1784,1732,1686,1683,1746,1751,1807,1834,1580,1409,1361,1404,1436,1466,1549,1620,1713,1807,1848,1767,1806
 "55000","Wisconsin",3,SAACArtsEmp,133,"...","  Landscape architectural services ","Number of jobs",308,285,284,293,299,297,285,276,188,163,169,216,218,227,237,230,230,243,239,252,254
 "55000","Wisconsin",3,SAACArtsEmp,134,"...","  Interior design services ","Number of jobs",131,116,121,123,133,147,168,189,166,174,183,185,198,211,250,254,275,292,293,312,346
 "55000","Wisconsin",3,SAACArtsEmp,135,"...","  Industrial design services ","Number of jobs",52,59,63,78,96,98,80,89,124,133,121,162,167,164,157,270,289,332,359,232,207
 "55000","Wisconsin",3,SAACArtsEmp,136,"...","  Graphic design services ","Number of jobs",1112,968,1018,955,1095,1172,1205,1246,1079,1017,1097,1175,1178,1347,1249,1242,1148,1092,1078,1002,1029
 "55000","Wisconsin",3,SAACArtsEmp,137,"...","  Computer systems design ","Number of jobs",208,216,222,204,205,207,225,229,214,232,268,287,293,310,310,323,321,318,320,320,326
 "55000","Wisconsin",3,SAACArtsEmp,138,"...","  Photography and photofinishing services ","Number of jobs",3338,3217,2997,2940,2741,2605,2363,2107,1739,1716,1741,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SAACArtsEmp,139,"...","  All other design services ","Number of jobs",26,22,25,21,22,23,23,20,20,17,19,18,20,20,27,28,30,27,28,26,31
 "55000","Wisconsin",3,SAACArtsEmp,140,"...","  Fine arts education ","Number of jobs",1127,1249,1350,1422,1451,1570,1650,1712,1624,1634,1661,2152,2318,2374,2590,2754,2872,3107,3212,2744,3338
 "55000","Wisconsin",3,SAACArtsEmp,150,"...","  Education services ","Number of jobs",1742,1692,1703,1845,1860,1789,1907,1895,1814,1623,1596,1581,1769,1758,1753,1647,1674,1665,1741,1875,1773
 "55000","Wisconsin",3,SAACArtsEmp,200,"..."," Supporting arts and cultural production ","Number of jobs",106627,103536,97860,94199,89015,86032,85745,84294,79555,79983,76349,76037,75873,75135,74024,75166,75667,73737,72745,64601,66178
 "55000","Wisconsin",3,SAACArtsEmp,211,"...","  Rental and leasing ","Number of jobs",1781,1709,1753,1661,1463,1370,1246,1116,1008,786,602,533,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SAACArtsEmp,212,"...","  Grantmaking and giving services ","Number of jobs",82,81,90,82,81,82,86,76,86,86,82,86,86,92,96,102,107,117,111,108,106
 "55000","Wisconsin",3,SAACArtsEmp,213,"...","  Unions ","Number of jobs",649,572,580,577,588,589,506,552,626,560,626,580,642,574,589,507,527,476,522,395,460
 "55000","Wisconsin",3,SAACArtsEmp,214,"...","  Government ","Number of jobs",45782,45444,42021,38111,34460,31120,27170,27539,27437,27822,27577,27404,27440,27296,27052,27210,26644,26499,26515,25180,24672
