GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "04000","Arizona",6,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",171909600,180522300,193634900,206541100,227915900,245957000,261392000,262926000,246424300,251153000,260915700,271440000,278591600,287666600,299393300,313081400,332001800,351879500,372393500,382072300,420026700
 "04000","Arizona",6,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",6225194,6617501,6756165,7141806,7508152,8131449,8517905,8684359,8240858,8368587,8644584,8819427,8840947,8462905,9166946,9154669,9264421,9818394,10233206,10070127,11595641
 "04000","Arizona",6,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",1192849,1282485,1250612,1324525,1384228,1574031,1682844,1795071,1578996,1615277,1560748,1647700,1661020,1714329,1789085,1885926,1974966,2238425,2347423,2106334,2614107
 "04000","Arizona",6,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",53108,54473,53549,72541,69389,81662,88800,99209,110035,114519,116451,114962,99552,103804,100020,115785,126401,129725,145702,113805,122709
 "04000","Arizona",6,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",44734,75826,69010,68162,72825,84545,84374,97396,117641,131122,132042,183873,186499,212587,217555,239348,242886,248406,264491,124415,249252
 "04000","Arizona",6,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",7215,7374,6929,10205,10268,9750,10524,12751,11305,12725,17280,15663,17613,17016,16404,22649,26482,27413,32563,24803,51060
 "04000","Arizona",6,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",125059,112841,105727,104007,125241,150768,175251,190002,241371,270697,177221,186701,194162,181944,195506,194490,165495,207586,215015,153916,228907
 "04000","Arizona",6,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",45954,47705,49072,50853,56927,62624,68147,69819,74744,77508,88110,114906,115745,122774,102366,118929,124853,135798,134747,139668,163808
 "04000","Arizona",6,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",208202,263954,229310,233113,231380,259786,236626,256550,221824,241602,257305,255557,264151,274120,297518,315158,322273,388473,401776,393175,478271
 "04000","Arizona",6,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",273258,247069,246794,252592,284411,324964,363250,363621,252589,216264,232666,244865,247409,256340,266263,285056,318013,343504,379983,376636,388702
 "04000","Arizona",6,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",57412,65028,70949,75656,100447,128995,143162,155044,79768,72350,61163,54952,60801,45168,48406,46259,53448,65279,66809,72913,83401
 "04000","Arizona",6,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",102544,110092,118123,138046,129738,155431,183830,190374,140847,127160,124879,139855,145444,158434,201249,188930,204111,255065,255687,264562,330493
 "04000","Arizona",6,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",18621,18880,17027,16121,12523,12156,13000,15917,16637,19541,23858,24300,27102,24095,22867,20259,23175,25617,28927,31473,35974
 "04000","Arizona",6,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",96234,94945,95039,95506,95318,95910,92105,104857,78326,88431,77148,63922,63294,69294,68840,69349,70361,77895,86950,92215,123877
 "04000","Arizona",6,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",7708,6984,8314,9832,11947,14795,19771,22247,24409,29757,34935,36668,38532,40863,43034,49529,52656,60678,67139,66499,66087
 "04000","Arizona",6,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",107674,120619,117295,112665,102119,103706,105412,110428,86716,89974,90573,84924,77243,85981,84338,91388,101585,117977,114594,103269,121270
 "04000","Arizona",6,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",3086,3272,3076,3515,3530,3524,4088,4357,3908,4631,5100,6359,5077,4916,5703,5590,6476,6474,7393,6114,7141
