GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06000","California",8,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",1375761300,1418429600,1497918700,1588177400,1698560400,1812210000,1898902000,1944695300,1890165900,1954092700,2023500000,2113096400,2220389900,2335286500,2473555900,2569634000,2728743100,2897200700,3042694100,3020173400,3373240700
 "06000","California",8,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",92330612,101380432,104153706,111821052,106971293,112548715,126108434,134375199,130938075,141673068,147093074,149134492,167172566,174074199,192188409,204059912,217624581,228160961,232337241,220550026,261132168
 "06000","California",8,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",21969657,23965216,27245988,27892554,28027975,30255406,30721246,33795738,33035302,34556412,37556993,40253677,40723136,43859453,44783198,47859870,51189072,55599369,59334255,48620471,58068737
 "06000","California",8,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",1837878,1530252,2202907,2470309,2608711,2435922,2327338,2622416,2475098,2389943,2770721,2734621,2691826,2643373,2561753,3192168,3292783,3291482,3561138,2697078,3359798
 "06000","California",8,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",383479,586409,670388,623612,682667,823297,771272,762853,804476,851513,792586,977596,1393482,1806835,1714827,2071117,2469919,3182918,3243810,1797854,3446555
 "06000","California",8,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",685031,744195,807297,895499,909702,932281,966417,1123952,1239648,1302551,1505027,1558623,1701779,1998133,2126960,2439097,2513563,2881165,2914042,2242826,3334940
 "06000","California",8,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",8973333,10482477,12750025,13001208,12576824,13907446,13720630,15253359,16100929,16901533,18135063,19753343,19573682,20414290,20620500,21525785,23781957,25321200,27945555,20813176,24184308
 "06000","California",8,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",407368,444714,497879,494331,562925,617230,678721,741201,808238,787360,843836,1120519,1134861,1180072,975937,1096477,1085116,1163968,1172163,1204899,1330190
 "06000","California",8,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",2884372,3134427,3146747,3018597,3011098,3126458,3267570,3730481,3505409,3947768,4518845,4370314,4238045,4411450,4677286,5128605,5267581,5618562,5564274,5595386,6578362
 "06000","California",8,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",2015489,2000449,2093234,2161060,2349178,2578771,2832923,2877226,2293350,2214706,2378495,2599970,2673864,2977921,3230647,3387995,3605218,3900008,4252536,4118313,4193687
 "06000","California",8,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",467858,483561,501673,482654,523553,584146,612992,651602,525546,497013,520128,571568,590690,615050,613632,682220,694360,766463,808550,773817,798461
 "06000","California",8,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",713500,738653,850169,984013,1075704,1297674,1439671,1546301,1187731,1181405,1202866,1329008,1385144,1712364,1944357,2012319,1990147,2262489,2316276,2310673,2691920
 "06000","California",8,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",270106,287592,268016,293967,269475,255098,255891,289063,233259,236757,269707,288959,270482,299901,272128,254474,298740,307600,355093,460084,680749
 "06000","California",8,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",1521424,1579105,1492372,1475250,1398678,1550854,1520830,1655648,1291969,1397350,1419381,1579301,1421844,1727518,1856261,1855500,1814655,1835272,1965276,1938389,2229139
 "06000","California",8,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",241320,199857,217916,239968,281177,311957,361698,396260,384709,447967,515630,614629,644653,720560,789200,858204,1003513,1128907,1289043,1374447,1493107
 "06000","California",8,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",1105724,1227273,1135103,1049570,1012707,1002083,1078774,1161600,1062853,1198403,1435353,1494632,1773808,1935064,1878044,1896949,1848211,2234622,2099964,1715495,1969740
 "06000","California",8,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",77959,94671,110201,143319,158251,152833,168890,152597,153846,169935,199482,238152,212414,247708,266090,257771,281655,330390,344284,276064,339457
 "06000","California",8,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",195619,197909,217624,248429,270932,287197,300366,338651,380460,403660,414820,365940,356627,398580,397017,441368,504841,607801,683272,511595,638097
 "06000","California",8,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",189198,233671,284437,310767,336392,392157,417263,492528,587782,628548,635053,656504,659933,770634,858557,759821,736812,766525,818979,790375,800226
 "06000","California",8,SAACArtsVA,200,"..."," Supporting arts and cultural production ","Thousands of dollars",68279552,75284697,74778516,81716109,76601888,79888209,92881097,98122799,95524165,104864086,107281553,106721937,124343663,128001112,145048872,153756907,163982757,170040927,170418643,169495303,200243243
 "06000","California",8,SAACArtsVA,211,"...","  Rental and leasing ","Thousands of dollars",1090333,1068981,940031,879510,876427,1232934,1192376,1067167,975238,834538,755769,786851,766289,764245,923025,890156,869348,891637,932517,630208,798743
 "06000","California",8,SAACArtsVA,212,"...","  Grantmaking and giving services ","Thousands of dollars",73006,79813,89984,87513,95607,116937,148806,136518,142467,131620,160181,133002,147457,152863,172908,170057,185877,194005,218007,183157,180864
 "06000","California",8,SAACArtsVA,213,"...","  Unions ","Thousands of dollars",88347,74700,89366,105107,84860,95800,86378,99782,111154,108037,115214,109869,119360,122950,131905,140029,141962,149771,159702,158792,176068
 "06000","California",8,SAACArtsVA,214,"...","  Government ","Thousands of dollars",9330945,9850589,9718059,9437408,9125342,8989630,8906772,9451511,9525917,9449831,9343076,9115322,9488116,10147680,10851696,11124302,11147874,11569787,12018310,12237514,12608730
