GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",171216600,173248300,178702200,195354900,205214600,219768400,234540700,238936800,233290700,234700000,233158700,240911900,241517400,246597000,259487800,263670300,271443200,279923000,288536300,276223300,298395200
 "09000","Connecticut",1,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",6044469,6329187,6530539,6808450,6855088,7096108,7843965,8306507,7999276,8292708,8197942,8223105,8540097,8533590,9049513,9140566,9025957,9353782,9412105,9020601,10068589
 "09000","Connecticut",1,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",1548415,1560130,1607614,1582471,1582860,1600113,1694357,1787919,1715064,1733636,1801065,1885807,1847046,1914438,1882028,1880464,1918945,2065636,2062541,1825569,2253346
 "09000","Connecticut",1,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",99398,87136,88613,104675,108207,97567,97904,105851,155494,119948,117106,114251,108207,124998,113965,144169,109093,133436,98179,65525,78669
 "09000","Connecticut",1,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",68980,78397,78512,72539,73330,83867,76736,73438,95841,106112,109643,113628,117051,116581,105692,104588,128140,117451,122455,47205,107360
 "09000","Connecticut",1,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",19540,19782,23204,24230,27683,24522,24289,30270,30868,30567,35343,41160,47469,49626,54177,75305,53642,53246,57750,45609,59167
 "09000","Connecticut",1,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",167011,115429,171062,164616,180896,207543,280833,264950,216738,190645,212436,228394,198752,224804,262584,197991,210274,260854,282975,212073,270160
 "09000","Connecticut",1,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",50512,55389,60221,61105,66441,69854,73527,81266,86850,81792,84702,109988,107072,109736,90880,98182,125470,131310,130108,137622,154157
 "09000","Connecticut",1,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",440718,455416,452729,436800,417077,417323,423751,455089,422669,487079,498325,490668,464982,451314,409675,411020,422814,463984,454907,504509,663653
 "09000","Connecticut",1,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",189255,198666,202693,200188,211519,206790,229831,229847,189490,185251,191518,203733,216258,224749,229320,228298,226558,232888,251083,226189,228972
 "09000","Connecticut",1,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",29857,28881,29472,27034,27073,28010,28030,26666,23638,23593,21104,23269,24638,25678,22889,19307,21695,23011,23747,23908,25577
 "09000","Connecticut",1,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",66806,75355,77406,82185,75566,80647,95685,118765,95360,94710,106961,109415,109790,122688,139720,143654,133797,149676,146916,129735,169607
 "09000","Connecticut",1,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",30081,27760,22523,19531,16153,15104,15203,16524,15564,18248,20273,21874,20698,25320,22728,22061,27512,28117,28809,28127,29814
 "09000","Connecticut",1,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",112642,118653,99921,87946,87072,76792,76279,87296,71948,76306,73546,79690,73673,71448,71285,75332,75441,69241,65203,59434,71048
 "09000","Connecticut",1,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",15266,12721,12412,13574,15570,17431,21082,23874,24126,27698,31936,35201,34841,33946,35008,34396,36795,37478,39635,36420,35182
 "09000","Connecticut",1,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",139922,157191,140316,122717,106730,99475,87212,79598,64159,64740,63795,72517,76537,73299,72644,72716,69843,70645,68935,43205,68314
 "09000","Connecticut",1,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",7829,7309,7765,8322,8249,7410,7442,7024,5963,7250,7922,8658,7140,7123,6451,6034,6817,6374,4989,3446,4064
 "09000","Connecticut",1,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",28803,23817,29996,35933,37340,38855,36684,43595,47505,48616,43942,38800,39468,43159,44940,46398,48669,54681,57424,39292,49466
 "09000","Connecticut",1,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",81793,98227,110769,121077,123953,128923,119868,143866,168852,171080,182512,194562,200469,209972,200071,201013,222386,233244,229427,223270,238135
