GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",519058600,553010300,590483100,646630600,705851900,750523800,782712500,763341500,735421000,746928900,755240000,778545000,811751700,851692400,908519900,953352500,1003144000,1057255400,1111392200,1116726800,1255558300
 "12000","Florida",5,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",22091253,23739792,25000699,27137248,28502469,29571274,30486986,30395827,28657994,30244824,30500677,31047946,31524193,32523906,34755137,35926528,35409344,35266757,35656331,33891949,39003845
 "12000","Florida",5,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",4403062,4726208,4945772,5368866,5602866,6044995,6502561,6626695,5920945,6195603,6370255,7083799,7102060,7846022,8285480,8827487,8818149,9657588,9965844,8744224,10578684
 "12000","Florida",5,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",543866,442777,476588,577310,488513,510046,452324,541186,604368,655947,762740,738022,757752,815993,789848,919486,855965,861166,925141,724346,728936
 "12000","Florida",5,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",237940,344886,365468,339536,364466,403589,402726,462704,506683,548714,565091,674337,626058,695468,723548,686670,701545,730234,787536,437959,900039
 "12000","Florida",5,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",70151,44005,53198,77832,113042,95994,93927,124526,128660,114993,183321,232405,178207,236599,220819,229389,212177,225353,270879,195923,362690
 "12000","Florida",5,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",265657,339934,341010,451912,581928,631433,1022634,784849,742173,859964,781552,1013432,1027741,1161006,1362055,1648799,1543988,1782492,1713697,1113130,1156261
 "12000","Florida",5,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",130226,138425,164346,159862,186553,203449,215018,230249,242372,235940,252376,355035,361093,363176,304312,339813,334743,368139,365797,378347,447775
 "12000","Florida",5,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",887534,892292,875863,994007,927326,963748,1015325,1094830,944395,1021502,1033784,1016251,1044386,1113927,1142953,1224488,1304197,1455329,1508608,1518422,1916355
 "12000","Florida",5,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",613228,624716,679047,698657,794200,890414,918910,871877,614262,535632,545696,592399,628377,709516,807362,836490,898091,989758,1064956,1064025,1162101
 "12000","Florida",5,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",169688,183630,192487,217541,220517,256654,267201,230664,179640,165976,173214,179461,185796,214825,229814,247054,284661,289709,294659,309075,311570
 "12000","Florida",5,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",608778,689164,787802,845817,899927,981910,1025002,1118530,842679,872496,850680,963776,957003,1083804,1218381,1181446,1136603,1287367,1308734,1412189,1641151
 "12000","Florida",5,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",55203,70399,63532,71033,67387,71072,76135,85328,82590,96904,111472,103969,111827,106502,101928,91686,97365,94662,101372,100529,116847
 "12000","Florida",5,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",252347,314782,306914,308131,308603,302498,287966,315848,255189,285247,295596,331862,330812,369076,406749,425031,387804,403449,432420,427023,535943
 "12000","Florida",5,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",35300,33393,38632,42934,50518,53454,63110,67656,69459,78537,87605,91894,96658,103572,111313,126289,142340,165939,177455,188917,215369
 "12000","Florida",5,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",371816,445636,421346,381902,383924,431957,415052,429341,416114,416031,401686,472173,452901,529268,515522,499579,528011,581710,571740,498935,651703
 "12000","Florida",5,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",19300,17937,22706,29514,27558,43046,26708,29746,27903,31235,34837,41784,40278,48421,52899,56386,60631,66174,71240,50077,67437
 "12000","Florida",5,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",56827,46430,50441,56894,67344,70159,72531,81334,84488,87950,82144,77406,94597,80037,83516,88979,96465,111587,120804,105142,139954
 "12000","Florida",5,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",85201,97804,106393,115985,121061,135572,147992,158028,179972,188533,208461,199592,208575,214832,214460,225902,233565,244520,250808,220185,224551
 "12000","Florida",5,SAACArtsVA,200,"..."," Supporting arts and cultural production ","Thousands of dollars",16814173,18092210,19125076,20789533,21842787,22432614,22834176,22634323,21615479,22975639,23046783,22916024,23381430,23591162,25325230,25923963,25419112,24401706,24446348,23978027,27046736
 "12000","Florida",5,SAACArtsVA,211,"...","  Rental and leasing ","Thousands of dollars",463279,493832,477682,488987,408609,539458,512029,505213,418048,379470,343566,328091,320569,326265,399384,483436,500874,565160,643910,476770,546587
 "12000","Florida",5,SAACArtsVA,212,"...","  Grantmaking and giving services ","Thousands of dollars",14688,15595,19290,18076,19453,22911,26526,23209,24729,21929,24703,18693,22125,24763,30662,32288,33992,35569,36360,34570,35667
 "12000","Florida",5,SAACArtsVA,213,"...","  Unions ","Thousands of dollars",21211,17211,20882,24139,24944,28511,25733,27616,27478,25190,26350,24438,26760,26551,28433,29415,31738,33788,37551,38706,43087
 "12000","Florida",5,SAACArtsVA,214,"...","  Government ","Thousands of dollars",4540658,4839974,4592016,4418699,4135258,3875229,3602239,3693768,3779587,3864695,3885782,3806458,3835170,3897154,3958371,4079259,4169597,4338771,4583221,4633279,4719419
 "12000","Florida",5,SAACArtsVA,215,"...","  Other support services ","Thousands of dollars",31448,25714,31534,39241,41940,52957,63300,62425,49562,45497,41372,37504,36022,37206,38058,46873,53439,64103,63413,14811,46334
 "12000","Florida",5,SAACArtsVA,221,"...","  Publishing ","Thousands of dollars",1492085,1915267,2225396,2428046,2672827,2605663,2952940,2698226,2348327,2378005,2404985,2323378,2520521,2556593,2737204,2899732,3117498,3072261,3277968,3472006,4468665
 "12000","Florida",5,SAACArtsVA,222,"...","  Motion pictures ","Thousands of dollars",1048299,1147566,1197438,1254059,1258426,1273732,1581619,1495451,1238925,1066544,1023320,1023704,1074653,1175999,1308011,1549617,1679783,1595706,1389193,1188562,1360097
 "12000","Florida",5,SAACArtsVA,223,"...","  Sound recording ","Thousands of dollars",387518,363538,367901,418278,446901,470933,543319,646236,639694,630675,674070,694195,622328,558423,630215,685067,773465,760165,762174,717595,872032
 "12000","Florida",5,SAACArtsVA,224,"...","  Broadcasting ","Thousands of dollars",4067527,4085397,4403881,5184451,6227978,6576344,7292587,7615098,7450253,8109966,8297629,8509605,8839958,8508444,9495919,8782172,7330114,6454355,5965823,5827159,6086245
 "12000","Florida",5,SAACArtsVA,225,"...","  Other information services ","Thousands of dollars",221691,391065,474348,686473,618016,844911,523119,766250,747336,800011,902087,908796,785948,815977,887365,883335,838622,911911,998639,899189,1283483
