GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13000","Georgia",5,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",317475500,327051300,342576200,364782000,389537700,406015600,419606300,416377600,409590800,418091300,431653900,447764700,464752800,490079300,521008200,547546700,573777200,602366400,637992500,625425700,691626900
 "13000","Georgia",5,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",13223573,13965016,14174231,15150186,15742895,16141834,17369315,18089127,17438550,18208228,18583831,19191386,19683054,20183288,22803852,24748220,25994016,26086441,26143682,24704924,29219896
 "13000","Georgia",5,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",2407062,2585459,2554995,2671760,2919278,3193702,3391855,3623310,3419778,3479691,3645435,3895220,3807414,4065120,4356379,4776424,5082420,5555880,5575196,4945282,5950743
 "13000","Georgia",5,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",291775,209432,118030,119306,126005,114749,104373,111265,132755,145292,202142,186890,177470,187864,176570,216014,259157,267342,266909,216331,296337
 "13000","Georgia",5,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",241609,403793,328859,363962,463272,586990,579450,639731,704641,679925,595759,620969,571058,509571,550362,701063,754624,793314,793213,170530,373228
 "13000","Georgia",5,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",7205,6851,9060,11802,11490,11559,13101,15111,14896,32352,40130,51529,65750,79831,47446,53196,72682,84556,85812,59305,97279
 "13000","Georgia",5,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",97420,110625,160206,187576,245246,238280,269866,264975,257213,243539,268100,288038,339073,419216,488627,491955,512074,691193,449800,330287,415681
 "13000","Georgia",5,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",40947,45886,54197,59009,69670,84966,98063,103188,103408,101675,109285,136562,132753,138909,113418,128285,126042,137750,142884,150494,176168
 "13000","Georgia",5,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",512214,559383,586089,623796,650056,701675,758468,842565,835250,915722,1011923,1045962,934652,982500,1062418,1168589,1283028,1356469,1476600,1761965,2072939
 "13000","Georgia",5,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",401964,392894,403734,379741,398730,454816,532000,533081,385685,337561,366190,394309,424328,475776,536865,558823,599013,648503,687627,645959,680149
 "13000","Georgia",5,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",59899,52814,59624,56433,62790,72539,71194,64332,37780,35204,37394,45602,56770,68619,75841,86967,82134,85625,94557,85837,99629
