GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "15000","Hawaii",8,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",42585400,44644200,48166100,52353500,57369400,60846500,64163600,65678200,64549700,66872900,69083900,71905300,74554900,76773300,81230300,83914400,87217400,90330800,91912700,82535500,91096100
 "15000","Hawaii",8,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",1378692,1518233,1578981,1827412,1859457,1970183,2200436,2205398,2135463,2514523,2211485,2277722,2313358,2294687,2355334,2449127,2702037,3064041,3127903,2571496,2910620
 "15000","Hawaii",8,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",329340,354267,391883,402600,434177,464867,480213,539716,538584,517624,514837,590249,628438,699255,678083,667957,719705,838153,842811,586148,759310
 "15000","Hawaii",8,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",56250,50678,50264,60031,66494,73756,63268,77866,89318,69144,66413,71715,94260,99179,101834,64290,82056,99604,89769,42778,69523
 "15000","Hawaii",8,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",10824,14980,15447,15912,17202,19565,21078,22712,26182,21482,23950,23828,23389,25737,22671,26502,30757,26566,34008,17321,41161
 "15000","Hawaii",8,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",299,682,1611,1894,3546,3124,2525,1958,894,1033,1186,1709,989,643,423,231,222,299,414,406,544
 "15000","Hawaii",8,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",23778,19072,24389,28733,27973,44595,53297,77691,87171,88998,57608,68111,69578,112038,110117,129317,159133,228922,233262,102062,176557
 "15000","Hawaii",8,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",31934,33554,38718,39299,46098,49617,54849,56345,54432,53326,83682,114240,120325,118094,96735,105760,100212,107503,105279,88100,95747
 "15000","Hawaii",8,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",26537,30027,33764,34675,33652,33798,35256,37954,34197,36406,35321,34596,35716,32433,33362,34411,36979,42223,41417,38593,41847
 "15000","Hawaii",8,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",78241,91072,102630,90700,102259,101532,110625,117557,107716,105801,103725,110811,113167,121317,121843,117564,116277,126305,131289,126529,136780
 "15000","Hawaii",8,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",11074,12295,13014,14359,17036,19344,18500,20159,19685,17586,16345,15874,19145,17669,17793,20126,21835,21261,20834,21496,21200
 "15000","Hawaii",8,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",11987,16590,20167,21595,24629,27401,28033,25932,22233,25110,27224,32565,31296,39040,38375,34570,35423,39331,38036,39435,49172
 "15000","Hawaii",8,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",913,1259,1063,1118,1163,1362,1465,1700,1561,1871,2396,2359,2837,2553,2528,2275,2465,2514,2608,2561,2958
 "15000","Hawaii",8,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",9146,12379,14279,13296,14010,14291,13223,15409,12807,14111,13202,13723,12924,13495,17216,15632,15332,16910,18055,16989,17523
 "15000","Hawaii",8,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",1308,1534,1763,1904,2229,2727,3038,3139,3285,3427,3635,3985,4170,4166,4386,4533,4649,4623,4346,4437,6031
 "15000","Hawaii",8,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",48072,49900,49318,46610,46941,44294,44239,45550,41510,43179,45630,60211,62187,73278,72647,73958,75847,81643,80837,45141,55546
 "15000","Hawaii",8,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",625,704,790,995,872,813,1404,1996,1004,1137,1115,1674,2428,2767,1941,1136,298,308,515,162,331
 "15000","Hawaii",8,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",3315,3133,3992,5108,5557,5407,5488,6037,6243,5594,5073,4671,4805,5842,6160,6551,7522,8569,10235,6045,8542
 "15000","Hawaii",8,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",15036,16408,20674,26372,24515,23240,23926,27713,30347,29419,28332,30177,31222,31002,30051,31101,30697,31573,31908,34093,35845
