GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",88883600,91584200,95359900,99083000,105526300,114091900,123878700,128604300,125348900,128591300,136358900,141818200,144483200,150183600,154958200,160451000,165182500,172343000,176564400,177580900,191380600
 "20000","Kansas",4,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",3298840,3526307,3607463,3804452,3847654,3908280,4117868,4282803,4105105,4182641,4257677,4235857,4281165,4417922,4486004,4512501,4461762,4455484,4431726,4263778,4444433
 "20000","Kansas",4,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",429716,481920,506736,535720,536877,520328,556313,601924,590884,594648,613784,645357,593087,624925,622975,619143,619902,673229,689857,638523,725203
 "20000","Kansas",4,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",24089,24242,21839,27011,27602,24228,25367,28714,34082,35563,39229,37364,26516,26895,22641,22213,19724,20494,19681,14564,14492
 "20000","Kansas",4,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",13126,15452,20779,20760,19049,25272,23102,24559,31800,35876,42345,54515,55534,49842,44757,46447,45281,54689,58502,28910,68277
 "20000","Kansas",4,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",2780,2840,3282,15095,4857,4180,3207,4361,4545,5072,5979,4612,2792,2527,2434,2662,2532,2377,2400,1948,1909
 "20000","Kansas",4,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",17604,18219,18851,9788,19486,23634,28592,31252,34062,24048,20692,23350,15021,13345,13395,13113,11351,12905,13615,12767,12818
 "20000","Kansas",4,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",11158,11246,12393,12506,13052,13382,13781,14953,16271,15467,16399,21205,22048,23518,20098,21584,22046,23048,22726,24298,28576
 "20000","Kansas",4,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",118478,137862,125535,147283,147642,148059,162209,169216,151274,150835,161325,154697,153797,156010,148118,151284,159185,169517,164367,160605,171487
 "20000","Kansas",4,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",89410,93575,97442,98120,106587,110044,124861,132298,123457,116489,112989,116549,121897,132896,137716,136585,135920,146182,156214,150060,154665
