GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",137901200,139800900,155092400,171006100,199594700,207773800,203041000,212392400,204906900,225308900,229945000,235384700,230832500,240737300,235113500,227090700,241213400,256677800,255481900,232527800,258571300
 "22000","Louisiana",5,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",3168278,3355009,3526823,3869023,3953758,4114996,4888979,5277253,5037773,5842840,5708514,5975367,6510992,6389324,6923637,6209199,6023304,6338452,6594681,5506332,6089653
 "22000","Louisiana",5,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",468984,502521,540175,610808,580247,570826,644914,710907,736379,883481,878222,900206,968777,1063686,1009974,986401,1031433,1137283,1210509,966294,1205218
 "22000","Louisiana",5,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",40451,38551,30198,35536,28966,28904,28000,29127,36699,31545,39500,34706,33332,40239,34899,38030,41894,43741,47271,33730,54709
 "22000","Louisiana",5,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",13849,22887,31399,58042,53062,56145,74986,88779,103100,112720,95795,133442,134844,148331,130251,148108,131272,144893,141310,57277,114011
 "22000","Louisiana",5,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",2634,3772,4335,2678,2519,3169,3374,3557,3309,3682,5174,3471,3411,3994,4589,3098,4685,6121,7625,5370,9469
 "22000","Louisiana",5,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",34018,27037,30617,29751,46133,24418,26450,17558,35369,158694,155126,82419,122334,178534,160478,144393,146467,186389,249905,123224,184922
 "22000","Louisiana",5,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",31996,34891,39391,44073,44471,39171,48680,58760,66849,68977,77924,101435,106037,108035,84088,93337,92962,98296,98488,89874,105962
 "22000","Louisiana",5,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",87957,102830,108538,127650,119853,124297,143923,147526,133045,143488,145765,144959,150947,145700,170973,162360,189876,195579,210660,214952,232084
 "22000","Louisiana",5,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",80497,81486,100455,113573,111038,130717,150392,170196,145646,139864,140550,133302,137157,145840,145716,134343,143939,157104,151995,149153,169927
 "22000","Louisiana",5,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",31059,39357,46824,47100,37226,27564,20440,21684,31747,30962,27210,32524,31106,29932,29998,30877,25906,20358,18091,19425,19985
 "22000","Louisiana",5,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",12558,13673,14932,19199,19345,20863,25367,33287,30236,35152,35249,73433,88280,86229,73324,53017,52383,60395,57369,62800,69690
 "22000","Louisiana",5,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",3464,3790,3505,3758,3769,3441,3448,4137,4063,4531,6681,7443,9514,8904,9108,8409,8141,7693,7890,8336,10082
 "22000","Louisiana",5,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",28251,24289,20166,19570,16247,15002,17110,21225,22011,22584,23881,24322,23827,23045,25252,24857,30425,27469,27453,28480,34306
 "22000","Louisiana",5,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",3103,3087,3624,4677,5872,6600,7812,7038,7436,7945,8514,9777,9460,9674,10608,12561,14296,14668,16033,16044,16574
