GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",205981000,217837100,228959300,245124500,262100000,274145300,282965600,295400200,299102700,314728300,326281200,332523500,340577600,352761300,369728100,387733400,400157000,410812200,420371300,410931000,443929900
 "24000","Maryland",2,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",7167922,7846456,8346064,9021773,8953415,8869630,9241291,9483188,9213673,9851356,10219080,10558237,10549956,11361445,11881443,11084320,11043752,10912649,11038495,10558098,12330826
 "24000","Maryland",2,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",1543399,1650780,1713311,1734652,1750176,1765793,1799307,1964398,1877557,1981883,2110362,2346347,2196524,2243180,2202846,2143334,2180106,2339188,2347086,2047995,2306740
 "24000","Maryland",2,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",90315,92046,89299,107660,116605,118656,112890,128603,140600,165212,166997,191036,138395,137485,114910,112915,122161,136877,133304,96356,81845
 "24000","Maryland",2,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",74380,93985,105761,106392,99813,89629,84956,98162,105393,124720,154381,197280,162755,133460,135250,140954,99089,87587,101042,52248,102146
 "24000","Maryland",2,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",8532,8059,8109,9659,9996,11521,11165,13990,16577,11388,18504,35855,28409,10318,9689,8142,8448,9746,10963,11291,17091
 "24000","Maryland",2,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",89636,102481,118216,110708,104562,111758,108009,101536,111947,126140,170242,197808,160283,147882,154818,138430,115862,127945,113821,83539,89552
 "24000","Maryland",2,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",45039,50382,51079,52396,60842,64738,60987,62028,65795,59010,61865,81369,90881,97668,90024,113735,130004,135088,130471,124028,163035
 "24000","Maryland",2,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",300198,321975,321852,322844,303826,303269,320981,340447,318695,341527,340647,314146,263371,262814,263996,269360,279574,304953,318006,312676,423612
 "24000","Maryland",2,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",257563,269901,283642,288519,306023,334737,362551,393653,340665,301345,315327,329569,343938,384933,398718,393214,417087,426536,420808,334889,331651
 "24000","Maryland",2,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",51491,47370,43210,42617,42268,47105,42642,43660,38703,63074,53461,64787,48823,49547,59355,56384,54437,57153,60535,61965,60242
 "24000","Maryland",2,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",95502,111170,115411,127678,143928,148884,154785,169301,151203,161113,177971,214395,248092,211851,196550,214449,208461,290631,300175,282048,293227
 "24000","Maryland",2,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",26762,24457,21662,19829,16083,15671,16004,15436,13937,15056,17778,18889,20036,19943,20998,20140,19458,19599,16939,16871,18789
 "24000","Maryland",2,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",150213,139954,142286,141194,138708,135905,134445,161676,138038,160462,156871,183893,175261,199951,171489,163627,165296,160466,160633,158461,157932
 "24000","Maryland",2,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",41737,42574,47081,52030,55940,59404,67166,72109,74588,82349,89169,99425,94930,97911,97807,105028,114115,124416,127919,128378,122991
 "24000","Maryland",2,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",220069,236404,232927,207253,188503,175996,176279,202146,181548,198195,200095,226048,236327,282211,295065,193945,204170,216379,201460,160902,187565
 "24000","Maryland",2,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",11829,11682,9850,13707,13175,13978,11164,10146,11387,9485,11340,12577,8452,9756,12033,10886,11886,12362,11507,9486,12653
 "24000","Maryland",2,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",20942,18707,24030,31278,33946,35493,37153,44470,49860,49493,47118,41575,41273,46232,50905,61390,67195,77819,82248,55637,64205
 "24000","Maryland",2,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",59192,79631,98896,100889,115959,99049,98128,107034,118620,113313,128596,137695,135299,151217,131238,140735,162862,151632,157254,159220,180203
 "24000","Maryland",2,SAACArtsVA,200,"..."," Supporting arts and cultural production ","Thousands of dollars",5320335,5878744,6315197,6958211,6854731,6748479,7071353,7152488,6971914,7524344,7760689,7877123,8016543,8767939,9305009,8561103,8482818,8184645,8293621,8141788,9605299
 "24000","Maryland",2,SAACArtsVA,211,"...","  Rental and leasing ","Thousands of dollars",107623,96767,97041,99148,90139,103498,90017,81393,71945,59520,55530,57618,62592,58431,65526,102712,205013,85776,80523,54041,63504
 "24000","Maryland",2,SAACArtsVA,212,"...","  Grantmaking and giving services ","Thousands of dollars",11113,12947,16389,14363,14376,18182,20896,20295,21923,18800,22574,18021,19658,21352,23873,24769,26531,28640,33986,29877,28052
 "24000","Maryland",2,SAACArtsVA,213,"...","  Unions ","Thousands of dollars",25283,21439,25272,27686,27752,33182,28782,36019,41414,39561,42053,41396,47915,48631,48984,51090,54846,56112,51501,47739,50427
 "24000","Maryland",2,SAACArtsVA,214,"...","  Government ","Thousands of dollars",1864147,1974734,1933223,1877821,1825504,1741942,1703794,1800976,1878819,1905650,1985306,1974892,2053683,2128216,2141334,2159343,2287788,2358535,2452517,2518955,2593159
 "24000","Maryland",2,SAACArtsVA,215,"...","  Other support services ","Thousands of dollars",2580,2057,2327,3024,3067,3443,6565,5657,4734,4435,4887,4843,5023,5206,5978,5922,7050,7906,4222,664,2631
 "24000","Maryland",2,SAACArtsVA,221,"...","  Publishing ","Thousands of dollars",548450,701155,731868,829456,842367,792760,931787,864913,792723,757215,833518,841720,837400,858167,874558,1021069,1002856,1018472,1148882,1299050,2229361
 "24000","Maryland",2,SAACArtsVA,222,"...","  Motion pictures ","Thousands of dollars",173688,215147,240646,293157,281899,295464,350692,323166,312067,349388,321418,291256,305306,258896,295276,328110,347011,338652,286246,222780,243568
 "24000","Maryland",2,SAACArtsVA,223,"...","  Sound recording ","Thousands of dollars",103695,115741,103410,106368,69714,71015,83057,109868,111729,117516,132672,202797,136361,145995,194317,161328,147256,128717,124817,104382,99319
 "24000","Maryland",2,SAACArtsVA,224,"...","  Broadcasting ","Thousands of dollars",1103606,1140811,1274734,1436137,1605391,1606964,1888682,2135037,2208076,2439002,2384912,2452048,2611183,2606306,2898195,2689753,2406566,2252247,2196331,2120112,2206293
 "24000","Maryland",2,SAACArtsVA,225,"...","  Other information services ","Thousands of dollars",63422,127039,180140,205807,226409,286835,133050,223695,215358,223218,256431,341431,305177,301555,321696,306267,319133,336681,297221,289542,389497
 "24000","Maryland",2,SAACArtsVA,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",8884,12047,7699,7700,8735,10542,13495,11081,7714,5937,5339,6642,8287,10465,10103,14654,17397,25049,18570,16521,17105
 "24000","Maryland",2,SAACArtsVA,232,"...","  Printed goods manufacturing ","Thousands of dollars",170917,142054,139826,159449,165367,178703,211003,195824,152968,140362,132124,130438,132208,120709,115571,121378,127874,122319,121978,100129,99143
 "24000","Maryland",2,SAACArtsVA,233,"...","  Musical instruments manufacturing ","Thousands of dollars",8740,10956,12445,10274,12379,15789,16239,15442,18029,19057,19355,20637,17700,17993,17952,22013,25535,29513,35389,35574,38746
 "24000","Maryland",2,SAACArtsVA,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",17533,23400,23640,23595,27470,31838,46783,50695,38910,38553,37982,41370,45441,44882,57778,61280,61794,63213,64352,53736,52426
 "24000","Maryland",2,SAACArtsVA,236,"...","  Other goods manufacturing ","Thousands of dollars",12151,13704,15065,16189,15828,15772,19002,16882,13640,9709,20153,24106,22333,26879,30464,25797,24341,22060,23491,23135,24236
 "24000","Maryland",2,SAACArtsVA,240,"...","  Construction ","Thousands of dollars",204821,316588,572208,882176,646715,525972,503754,289164,234641,484319,486486,429139,424865,1125194,1182114,429336,383306,351470,367490,284671,375991
 "24000","Maryland",2,SAACArtsVA,250,"...","  Wholesale and transportation industries ","Thousands of dollars",427945,470447,452480,461496,468151,485331,505774,504692,430448,508336,562103,549169,538328,553836,553539,566102,587396,534604,553332,536483,588831
 "24000","Maryland",2,SAACArtsVA,260,"...","  Retail industries ","Thousands of dollars",465735,481711,486783,504364,523467,531246,517981,467689,416778,403767,457844,449599,443082,435226,467752,470180,451127,424678,432772,404397,503012
 "24000","Maryland",2,SAACArtsVA,300,"..."," All other industries 2/","Thousands of dollars",304188,316933,317555,328909,348507,355359,370630,366302,364202,345129,348030,334767,336889,350327,373588,379883,380828,388817,397787,368314,418788
"Note: See the included footnote file."
"SAACArtsVA: ACPSA value added by ACPSA industry 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
