GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",38605700,40466200,42315200,45210000,47078500,49045400,50459300,50713200,51123800,52256200,52575500,53679700,54470100,56410800,58131300,60254400,62253600,65477100,68690400,70740000,77963300
 "23000","Maine",1,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",1346524,1427756,1517827,1609623,1560410,1558876,1565937,1644431,1543449,1576845,1641238,1540083,1498721,1491742,1552131,1586921,1576249,1633345,1680035,1631627,1973164
 "23000","Maine",1,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",235315,264660,257596,268499,283743,281837,269888,303239,301253,298203,305886,316637,335520,367266,372274,398586,409938,451309,478962,416292,556264
 "23000","Maine",1,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",17362,18632,15131,17675,17716,18042,16967,19816,34925,34397,33894,25023,23582,22843,21692,32010,26452,34918,40457,26045,43122
 "23000","Maine",1,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",3302,5552,5988,7674,7381,8455,8022,7671,10688,12262,12693,14550,15487,21842,25744,34416,37218,41413,44323,16174,41175
 "23000","Maine",1,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",1423,2249,2785,2256,1924,1698,1958,2103,2508,2320,2868,2499,2220,1651,1444,1761,1483,1711,1664,1582,2193
 "23000","Maine",1,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",33605,46426,43846,45623,66841,55666,43897,51728,49332,50748,60334,65635,78634,91115,84381,86301,81285,89955,86230,65764,103772
 "23000","Maine",1,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",9451,10606,10795,10811,12699,13490,14565,15890,16927,16545,17199,22793,24151,24901,21628,26043,26688,29214,28944,30730,38814
 "23000","Maine",1,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",46938,56134,53393,59261,53261,53502,49795,56170,50202,53827,55468,55276,63541,62937,62558,60085,67403,77793,79894,80057,105060
 "23000","Maine",1,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",43238,44672,45135,44379,44892,49965,55225,61124,52394,48381,46560,50006,48483,50532,51469,54952,62691,63410,72089,72169,72971
