GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",22847600,23942100,25714900,28160500,30875800,33166100,36233200,37224900,36187800,38336100,40995100,42340900,43687900,45177200,46604100,45490900,48533900,50916900,51925400,52355800,58699800
 "30000","Montana",7,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",951898,1027739,1050135,1092990,1129797,1142414,1207021,1276941,1261459,1288737,1337490,1348825,1372030,1347607,1446441,1574533,1653162,1751619,1790534,1830773,2072986
 "30000","Montana",7,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",113125,128336,140261,148671,159932,179834,195638,217375,203870,192500,204305,224309,234114,252653,258674,273861,291879,309072,332765,330507,447830
 "30000","Montana",7,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",8842,8569,8101,10304,11355,11705,11101,21424,27324,18590,21038,20707,14352,15908,11747,11335,21025,11119,11593,14103,12073
 "30000","Montana",7,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",2990,6580,9406,9651,8337,10299,8809,7826,6962,6936,7592,10459,11569,11890,13320,14490,14800,15074,14007,7619,20015
 "30000","Montana",7,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",36,28,46,75,78,124,117,291,251,385,337,395,442,440,317,475,386,405,574,613,724
 "30000","Montana",7,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",19140,18860,21480,20523,24830,31314,37220,37248,38472,38113,40573,47246,62826,61992,65984,70631,58109,61859,62727,50166,100479
 "30000","Montana",7,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",4400,4875,5229,5667,6159,6683,7807,8608,9763,9978,11035,14578,15033,16231,13711,15723,17396,18956,19992,21542,26665
 "30000","Montana",7,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",9429,11582,12339,14477,15129,15302,17645,21010,19408,22226,24043,23023,22955,22216,22470,22001,23642,27011,31869,36075,44116
 "30000","Montana",7,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",31652,33797,38528,41809,46682,55268,62261,63631,51096,49454,53057,55688,54992,60148,64105,67064,76277,84229,89778,90477,105140
 "30000","Montana",7,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",5826,6692,5486,5011,4900,5352,4846,5483,4129,3760,3465,3347,3516,4450,5289,5764,7071,7357,8115,7628,9061
 "30000","Montana",7,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",4683,6444,9162,9620,12292,13774,15833,18646,15454,12300,9994,12091,11967,19175,22730,25689,30718,38205,46740,51758,65838
 "30000","Montana",7,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",615,832,782,930,813,904,1105,1676,1790,1517,1860,1751,2406,2410,2539,2443,2626,2093,2147,2053,2330
 "30000","Montana",7,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",4808,5994,5549,6153,6138,6629,5755,6489,6015,7645,8853,9862,9577,11208,10413,10709,10336,8613,8710,9962,13643
 "30000","Montana",7,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",1089,1185,1294,1239,1503,1777,2176,2444,2567,2560,2835,3216,3465,3848,4207,4756,5628,6604,6778,8815,10224
 "30000","Montana",7,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",14533,17328,16038,15068,13945,12494,12462,13658,12362,11238,10923,12479,11180,12971,12231,12242,13362,15784,16899,16998,22827
 "30000","Montana",7,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",713,782,866,2501,2174,1893,1908,1694,1218,879,1356,1613,653,583,521,484,466,553,529,634,956
 "30000","Montana",7,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",1461,1490,2102,1355,1385,1450,1593,2246,1991,2109,2079,1884,3161,2867,2896,3636,3403,4149,4743,4968,6371
 "30000","Montana",7,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",2908,3297,3853,4290,4213,4867,5002,5002,5068,4809,5266,5971,6019,6316,6194,6419,6634,7061,7562,7097,7368
 "30000","Montana",7,SAACArtsVA,200,"..."," Supporting arts and cultural production ","Thousands of dollars",801038,859301,869587,902319,924811,915295,960689,1008454,1006858,1047367,1083571,1076156,1089874,1044183,1134279,1246314,1307482,1387639,1401571,1447462,1563853
 "30000","Montana",7,SAACArtsVA,211,"...","  Rental and leasing ","Thousands of dollars",11567,11807,9737,10111,9448,18504,22137,14887,11800,8855,6372,6535,4680,4300,4963,2943,2675,2858,2621,2106,3094
 "30000","Montana",7,SAACArtsVA,212,"...","  Grantmaking and giving services ","Thousands of dollars",886,990,1141,1169,1339,1536,1885,1783,1935,1353,1593,1333,1491,1599,2076,2104,2396,2324,2730,2575,2709
 "30000","Montana",7,SAACArtsVA,213,"...","  Unions ","Thousands of dollars",1330,1077,1227,1430,1394,1587,1431,1477,1612,1646,1814,1786,1934,1865,1918,2091,2255,2381,2424,2435,2582
 "30000","Montana",7,SAACArtsVA,214,"...","  Government ","Thousands of dollars",438278,452675,436823,417728,393431,369593,349811,364724,368990,390885,406659,418369,413795,424172,441431,460192,476300,491645,510539,501186,517300
 "30000","Montana",7,SAACArtsVA,215,"...","  Other support services ","Thousands of dollars",471,238,273,365,378,446,506,472,382,348,350,403,374,386,453,405,424,432,362,99,278
 "30000","Montana",7,SAACArtsVA,221,"...","  Publishing ","Thousands of dollars",45660,59469,68052,74613,78353,73858,83827,82279,74902,74210,76248,71503,70024,67798,77515,80411,85607,86431,90940,97226,150257
 "30000","Montana",7,SAACArtsVA,222,"...","  Motion pictures ","Thousands of dollars",17199,21223,21920,26605,23329,23113,33365,32424,34832,38449,37669,36742,40182,40373,47789,55519,68038,67057,51857,52209,62385
 "30000","Montana",7,SAACArtsVA,223,"...","  Sound recording ","Thousands of dollars",1982,2286,1803,1888,1846,1912,856,1146,1454,1323,1345,1580,1756,1568,1265,1225,2257,7548,9460,6601,8714
 "30000","Montana",7,SAACArtsVA,224,"...","  Broadcasting ","Thousands of dollars",172815,186227,201993,229426,259800,276187,320365,362156,354087,378878,379326,382931,388321,364298,414890,480199,499210,538212,525837,517097,523920
 "30000","Montana",7,SAACArtsVA,225,"...","  Other information services ","Thousands of dollars",2267,4646,4730,6892,9476,11242,4730,7097,7071,7912,9826,13126,11914,9443,9331,8978,7512,6439,9419,11371,20575
 "30000","Montana",7,SAACArtsVA,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",8064,6452,7831,8831,11588,13445,14231,18426,11145,8942,7840,9175,10092,10836,12432,13388,14691,16495,17641,16673,19002
 "30000","Montana",7,SAACArtsVA,232,"...","  Printed goods manufacturing ","Thousands of dollars",3442,3702,4096,4943,5793,7570,10639,10898,9767,8848,10963,11314,12005,12130,11778,12059,13599,14619,15395,12232,12828
 "30000","Montana",7,SAACArtsVA,233,"...","  Musical instruments manufacturing ","Thousands of dollars",5537,5647,5795,5456,5781,7673,6904,6174,6411,7408,8069,9958,8038,8269,8483,9837,10019,9098,11619,11896,17188
 "30000","Montana",7,SAACArtsVA,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",1413,2114,2282,2237,3416,3839,6054,5882,4427,3757,3752,4320,5308,6531,9140,10568,13984,13715,13655,11717,11648
 "30000","Montana",7,SAACArtsVA,236,"...","  Other goods manufacturing ","Thousands of dollars",139,98,99,76,103,174,399,274,179,221,277,454,726,1227,2198,2117,3072,2134,2022,2251,1037
 "30000","Montana",7,SAACArtsVA,240,"...","  Construction ","Thousands of dollars",8706,18852,17621,20873,30283,13393,16684,11986,40322,33679,51750,23110,31655,6068,7192,21312,22241,42895,39290,103517,78170
 "30000","Montana",7,SAACArtsVA,250,"...","  Wholesale and transportation industries ","Thousands of dollars",23074,18585,18567,21427,23727,24893,22080,21792,18512,23847,26821,34745,36995,27450,27896,29943,31864,31845,37333,37211,51530
 "30000","Montana",7,SAACArtsVA,260,"...","  Retail industries ","Thousands of dollars",58209,63212,65596,68249,65325,66331,64786,64579,59029,56808,52898,48772,50583,55871,53530,53023,51337,51512,58426,59061,80635
 "30000","Montana",7,SAACArtsVA,300,"..."," All other industries 2/","Thousands of dollars",37735,40103,40287,41999,45055,47285,50693,51112,50731,48870,49614,48360,48042,50771,53488,54359,53800,54908,56199,52804,61303
"Note: See the included footnote file."
"SAACArtsVA: ACPSA value added by ACPSA industry 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
