GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",35862800,37809200,39638000,42363900,44374100,47204400,47340800,47277500,47702200,49468300,50206100,51583000,53034100,54559700,56390800,57353500,58085000,59290800,61642800,60770600,66570900
 "44000","Rhode Island",1,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",1685736,1704014,1831352,1929255,1981903,2078302,1966477,2114940,1804495,1829386,1784186,1757405,1795207,1792866,1843448,1818340,1796293,1886428,2075326,1905022,2163225
 "44000","Rhode Island",1,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",232858,267369,277863,280279,279413,288605,294635,318011,287312,299887,308301,333811,338407,358137,366504,389952,394027,428978,421596,389959,462663
 "44000","Rhode Island",1,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",26249,27713,26491,30983,31719,28865,27641,31571,35043,36917,38740,36276,36886,38865,33734,41603,36563,36891,40842,32885,37351
 "44000","Rhode Island",1,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",2962,4232,5517,5582,7123,9401,9514,10098,11222,10130,8137,9551,11959,13681,12882,14105,15194,16477,16539,8499,20551
 "44000","Rhode Island",1,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",1408,1051,994,602,519,1104,1544,1129,1200,1722,2417,4201,3292,1187,1149,792,1239,1156,1678,1427,1864
 "44000","Rhode Island",1,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",14165,19956,21852,18892,21564,25952,30418,22667,19193,20312,20219,21449,21425,27635,37237,30519,28797,34266,33756,26130,37039
 "44000","Rhode Island",1,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",16143,17581,19031,18058,20044,21925,25350,26886,27784,27349,28492,37585,37287,38529,32943,41322,39666,42940,41699,38545,44004
 "44000","Rhode Island",1,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",35604,39661,40209,41327,40798,40224,37455,39001,35786,40821,41381,41429,41352,41201,43449,47773,48046,50810,48244,53648,67311
 "44000","Rhode Island",1,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",26348,29126,32197,30751,32319,34954,38575,38332,31703,29130,28604,30084,30545,32630,36447,37499,39581,41334,44797,44768,47520
 "44000","Rhode Island",1,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",2471,2624,2560,2810,3674,4050,5002,6519,6099,5691,4685,3827,3792,3880,4419,5107,5077,4712,4413,4656,6460
 "44000","Rhode Island",1,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",11090,13538,16331,18552,18067,18576,17016,19370,16514,16538,14087,20089,21441,23382,29271,29779,31794,31703,32038,38656,47245
 "44000","Rhode Island",1,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",7981,7941,8425,7782,7351,7569,8497,8543,4657,3214,3423,3930,4530,5165,5318,6212,6946,8749,8198,8296,9245
 "44000","Rhode Island",1,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",17724,22949,21422,18663,15612,14312,11563,14051,11915,12550,14538,16253,15482,16112,18743,16719,19925,21338,21380,21232,23985
 "44000","Rhode Island",1,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",1589,1352,1358,1527,2020,2111,2174,2381,2679,2978,3314,3837,3870,4116,4692,5422,5712,7829,8250,9399,12956
 "44000","Rhode Island",1,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",33372,38387,29611,26060,24876,25119,24210,28536,27590,28489,27761,32043,31341,33207,30541,31326,33391,32947,27184,22919,30037
 "44000","Rhode Island",1,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",1673,1017,1144,1589,1558,1055,756,593,791,795,1114,1289,1382,2325,2227,4538,3781,4299,4254,4505,5164
 "44000","Rhode Island",1,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",3360,3146,3844,4537,4591,5068,5280,5344,5782,5734,5157,4606,4510,4939,5558,6168,7027,8987,10375,2263,3012
 "44000","Rhode Island",1,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",30720,37095,46879,52564,47577,48319,49640,62989,49356,57516,66233,67361,69311,71283,67893,71067,71289,84540,77949,72129,68919
 "44000","Rhode Island",1,SAACArtsVA,200,"..."," Supporting arts and cultural production ","Thousands of dollars",1398512,1379059,1494825,1588069,1638414,1723876,1603562,1729956,1451801,1466758,1413065,1363442,1397216,1372603,1411669,1361224,1335123,1388934,1583849,1446255,1620472
 "44000","Rhode Island",1,SAACArtsVA,211,"...","  Rental and leasing ","Thousands of dollars",15664,16475,17503,16547,15236,19129,17590,16014,14452,10904,8370,9076,6091,4427,3730,3271,3304,3625,3371,2575,2345
 "44000","Rhode Island",1,SAACArtsVA,212,"...","  Grantmaking and giving services ","Thousands of dollars",2240,2329,2480,2317,2736,3337,4096,4145,4457,3930,4859,3719,4161,4457,5087,4665,5095,5012,5804,5076,5037
 "44000","Rhode Island",1,SAACArtsVA,213,"...","  Unions ","Thousands of dollars",3036,2608,3041,3230,3186,3672,3397,3777,4194,4006,4067,3772,4123,3996,4209,4188,4454,4612,4834,5059,5306
 "44000","Rhode Island",1,SAACArtsVA,214,"...","  Government ","Thousands of dollars",278378,304596,335646,286806,275157,274314,277955,276813,268898,274735,285605,285961,293579,291340,295207,314424,338251,344487,352271,353294,360310
 "44000","Rhode Island",1,SAACArtsVA,215,"...","  Other support services ","Thousands of dollars",1872,1587,1975,2202,2375,2698,2997,3002,2548,2343,2231,2370,2296,2560,2619,2410,2901,3426,3662,1219,3241
 "44000","Rhode Island",1,SAACArtsVA,221,"...","  Publishing ","Thousands of dollars",159158,177356,194046,212791,296182,202511,213473,193642,178385,172281,201370,183813,168733,159783,145450,140212,133759,128916,124251,122116,128727
 "44000","Rhode Island",1,SAACArtsVA,222,"...","  Motion pictures ","Thousands of dollars",28583,41907,41158,44186,39637,114769,32466,75507,64600,105297,63549,49761,47126,61833,67768,55831,53015,76203,78489,37950,71287
 "44000","Rhode Island",1,SAACArtsVA,223,"...","  Sound recording ","Thousands of dollars",5524,3827,3014,2080,1505,2926,1531,3156,3698,2568,9598,4977,3980,4354,4081,3782,5674,8390,8184,7890,10705
 "44000","Rhode Island",1,SAACArtsVA,224,"...","  Broadcasting ","Thousands of dollars",174478,170133,186937,207930,251031,282050,326331,352666,327869,323688,309327,314034,318342,304104,317179,276761,235987,210843,428970,441161,467260
 "44000","Rhode Island",1,SAACArtsVA,225,"...","  Other information services ","Thousands of dollars",12122,32528,35480,52014,53392,65953,27074,37839,36903,37795,43223,37189,35579,32383,36847,37612,34982,35015,37226,38165,54694
 "44000","Rhode Island",1,SAACArtsVA,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",495929,419609,445149,546070,472977,515400,469408,560155,361294,289379,240371,237604,264412,280854,296867,320474,328555,367571,319374,238448,240321
 "44000","Rhode Island",1,SAACArtsVA,232,"...","  Printed goods manufacturing ","Thousands of dollars",24168,19287,17900,18470,20033,20637,23238,22356,19271,19326,22086,22244,23451,24114,24424,24042,24893,25662,24177,21238,22366
