GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",73057600,75796900,78945400,86081900,95355100,106537300,114813400,117178900,113985400,118669800,125565000,129512500,135450400,142150100,149153400,157827300,168649900,184457500,196538900,202133400,225340300
 "49000","Utah",7,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",3167571,3466296,3264587,3504545,3765702,3877685,4204595,4526795,4285505,4483376,4603762,4962879,5194112,5349066,5697517,6109555,6402546,6862999,7005405,7084752,8142773
 "49000","Utah",7,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",688696,887895,544037,545805,593255,667744,723160,796605,750219,765016,808445,932463,962326,1050874,1099696,1163180,1234214,1349685,1438346,1315600,1598693
 "49000","Utah",7,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",42393,37412,35681,44645,45637,46272,48637,54926,62548,66643,76649,74182,75269,85895,75732,89464,96542,93769,91140,91697,105982
 "49000","Utah",7,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",205343,384830,61112,50523,54770,60237,58665,60643,70725,71825,66417,92945,105722,107850,108412,143421,144032,126652,124246,59144,140080
 "49000","Utah",7,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",2682,3092,3027,4357,5026,7961,7728,8893,1307,2069,2441,3186,4650,6460,5440,5987,7062,6783,6563,7859,14924
 "49000","Utah",7,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",78700,79763,65714,52538,66954,73482,74242,79165,73052,67541,74652,87549,91154,100820,131123,146777,169688,198995,211035,142234,182955
 "49000","Utah",7,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",14908,14981,14224,15178,18156,20391,22941,25070,27546,25743,27347,38154,39058,42622,35978,39875,39986,42542,43375,44726,53567
 "49000","Utah",7,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",103777,114130,112827,117478,124931,139032,141622,163047,156728,173464,177708,171197,178369,187793,192886,185026,173357,196035,201690,211768,254110
 "49000","Utah",7,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",84310,79646,82918,83187,94787,116214,137034,138797,111233,101218,106854,116563,117055,134247,149459,158811,171677,184538,211822,201964,209916
 "49000","Utah",7,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",9755,11730,10957,12440,12484,14699,17613,19487,14613,12663,9755,11038,12600,13334,14586,15903,17814,18918,21605,20052,23768
 "49000","Utah",7,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",21905,26501,26989,33950,38475,47038,54988,61473,49785,42489,47175,50043,52312,56838,62586,68214,73117,106183,117543,133743,158895
 "49000","Utah",7,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",6626,6611,6408,8836,9403,10258,10987,12427,11063,14825,17538,18608,20139,23035,23604,14896,15772,16187,18760,18368,22014
 "49000","Utah",7,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",33124,34892,31791,33225,38324,46780,54759,60592,53164,59205,64611,110384,108872,116277,108135,82881,84485,89319,98595,103646,124787
 "49000","Utah",7,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",10151,8478,10016,11383,14167,16493,21073,22908,23675,24587,27020,32179,33631,38326,42373,47243,57349,67651,72077,80283,83560
 "49000","Utah",7,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",55048,63118,56079,46401,39959,38075,37283,43723,43022,46405,45223,54095,52881,56077,59775,66125,69604,82618,90553,77858,97063
 "49000","Utah",7,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",1922,2015,2227,2381,2843,3102,3398,6006,4969,4011,4963,6907,6025,11810,11307,11463,16764,14532,14903,14804,13661
 "49000","Utah",7,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",4035,3905,4578,5773,6958,8087,9233,10988,12050,12944,12952,12372,13649,16791,18180,22321,27573,34616,38323,31661,43759
 "49000","Utah",7,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",14017,16790,19488,23509,20383,19622,22957,28460,34740,39383,47140,53060,50940,52701,60121,64774,69392,70348,76115,75792,69651
 "49000","Utah",7,SAACArtsVA,200,"..."," Supporting arts and cultural production ","Thousands of dollars",2360968,2454654,2596341,2827680,3030650,3059890,3320358,3569751,3378314,3569578,3644741,3884686,4086033,4145527,4435629,4777598,4999144,5337163,5383916,5595025,6342913
 "49000","Utah",7,SAACArtsVA,211,"...","  Rental and leasing ","Thousands of dollars",50475,52977,51842,49370,51770,60249,58020,52745,48246,41044,35443,33653,24235,17940,17273,14984,12272,12532,12549,10963,13613
 "49000","Utah",7,SAACArtsVA,212,"...","  Grantmaking and giving services ","Thousands of dollars",1109,893,1004,819,870,1073,1161,1166,1114,1060,1225,1017,1363,1589,1917,1986,2262,2611,3277,3088,3502
 "49000","Utah",7,SAACArtsVA,213,"...","  Unions ","Thousands of dollars",1783,1612,1938,2338,2303,2704,2249,2414,2681,2798,2904,2784,3207,3439,3589,4057,4014,4038,5253,4309,5841
 "49000","Utah",7,SAACArtsVA,214,"...","  Government ","Thousands of dollars",675674,701307,672520,672932,638022,632371,629024,676207,694823,715210,742700,746443,756655,782143,813806,853047,901111,993858,1057008,1125972,1158825
