GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",285635900,295355700,311665700,332115100,358069700,376235700,391699800,404634900,410967400,426992400,435180300,445973600,457640500,465181800,483786500,496021100,511114900,532906500,557764400,556992600,604957600
 "51000","Virginia",5,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",9608954,10136471,10694171,11891593,12133327,12562196,13298995,14087061,13473230,13930108,14085194,14142303,14652020,15016180,15594959,15802361,16397835,17665669,17711182,16768075,18843880
 "51000","Virginia",5,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",1674937,1831948,1897011,2036463,2063289,2184660,2318337,2542357,2448546,2516663,2533144,2753921,2739912,2728186,2820989,2921798,3036136,3310277,3421369,3068500,3842732
 "51000","Virginia",5,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",122375,155679,140496,159720,159505,190972,175934,198847,233235,250639,222288,256466,211046,205876,181995,217309,194434,242322,219006,158593,207300
 "51000","Virginia",5,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",22876,38430,41747,49627,56134,63719,66488,86773,103249,127704,145407,174296,153066,143390,168163,183205,176122,184796,222484,166622,416287
 "51000","Virginia",5,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",29170,30893,32847,37952,42882,43440,41506,48302,43446,41679,49840,48409,55658,59238,68282,88971,93339,96626,104610,67938,83838
 "51000","Virginia",5,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",120378,124688,137003,143268,150878,159650,174499,146689,154079,167185,153928,185425,283038,215229,289477,280678,337890,388751,423114,274073,389705
 "51000","Virginia",5,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",122021,132083,143239,140042,154563,166785,179692,191607,198331,188510,198961,260236,255926,252918,202076,213699,194784,188233,184022,194110,223290
 "51000","Virginia",5,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",351897,396528,406363,434551,424299,430543,457444,533209,489709,563323,567911,549011,546978,558827,580288,596867,604942,674435,677566,694154,809295
 "51000","Virginia",5,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",307560,311837,341515,367423,385614,429892,473432,497797,438331,379509,410164,429350,414963,425376,432763,434473,471870,502811,514898,462625,513496
