GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",19323200,20273000,21293200,22938200,23608600,24331500,24797700,25999300,26099200,27406600,28418700,29241300,29289600,30099400,30933300,31661200,32266100,33066800,34230800,34018600,37103800
 "50000","Vermont",1,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",758294,833933,878230,955176,1006601,1012236,1018321,1020252,964386,1011307,986357,959058,984492,1015136,1034598,1011745,986526,1058726,1052690,1024990,1095835
 "50000","Vermont",1,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",171425,178123,185609,202242,206500,214678,215766,220737,224091,234515,229741,243478,250220,264125,242900,261866,270156,305562,276594,245476,307318
 "50000","Vermont",1,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",8543,8449,10193,21338,13338,12321,8671,10148,12104,13778,16934,14543,14939,17709,19440,25048,29233,29522,29900,24205,32824
 "50000","Vermont",1,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",4267,6857,8357,8915,8714,10144,10149,10411,12022,12050,12090,16714,15418,15738,13281,14516,14870,15889,15497,6848,16088
 "50000","Vermont",1,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",1252,1199,1307,1211,1367,1222,1109,1566,638,518,532,1598,2081,2174,2644,2412,2751,2806,2546,1750,2178
 "50000","Vermont",1,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",34160,26691,26704,30838,39757,39416,42358,38302,43829,46999,34180,35343,43342,50266,28671,41624,38493,62524,36020,25470,37517
 "50000","Vermont",1,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",8672,9657,11220,11540,12647,13937,14523,15691,16724,16060,17466,22904,22427,22674,17854,19870,20407,22276,22113,24100,28595
 "50000","Vermont",1,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",24910,26142,26350,28698,28810,29413,29432,29551,26974,28979,26277,23612,24242,25222,25720,23343,25881,27134,27065,27691,36133
 "50000","Vermont",1,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",26587,28542,30668,28112,27609,27494,29956,32278,26087,25980,28863,30826,31399,32758,34139,34161,33522,36580,38967,38307,41165
