GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "54000","West Virginia",5,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",43973300,45580800,47039900,49741400,53492500,57010000,59273500,62694800,63600700,65998700,69234100,70322200,71481500,72648200,71318500,70924400,74820100,79192900,79325600,76547900,85434200
 "54000","West Virginia",5,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",1695343,1610871,1502058,1525753,1596095,1612297,1676475,1797614,1674106,1774573,1654435,1604609,1576962,1517056,1571161,1575384,1424401,1419655,1385227,1316708,1420884
 "54000","West Virginia",5,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",109167,123226,107419,109180,102416,103783,107322,113618,113454,123286,124497,131750,112661,116933,108605,109228,108978,112344,120082,106090,136364
 "54000","West Virginia",5,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",7123,7986,7136,8965,9915,9652,9504,10659,11868,12980,13937,12299,11031,10782,9625,11254,10304,10372,11321,9115,10926
 "54000","West Virginia",5,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",6145,9274,11117,9409,8554,9792,9523,8710,9458,8037,7671,9196,8956,11513,7110,8507,7839,8398,8817,3638,9328
 "54000","West Virginia",5,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",0,0,5,0,0,0,162,7,20,19,0,36,397,551,700,874,840,1120,1424,212,441
 "54000","West Virginia",5,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",2275,2432,2344,2024,2467,1641,2179,2310,3031,5228,4353,4119,2506,2777,2008,2440,2362,2445,2368,1236,2923
 "54000","West Virginia",5,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",3170,3445,3366,3135,3196,3001,5535,5803,6242,7849,8371,11175,10905,11430,8865,9419,9831,9993,10120,9656,10917
 "54000","West Virginia",5,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",17727,20336,20179,21669,21196,24425,25207,26365,23585,26131,26462,25156,22655,23290,24995,24826,24606,26652,28046,29595,38923
 "54000","West Virginia",5,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",9580,11035,12659,12826,12925,13273,14388,14015,14563,16772,19137,20793,17967,17218,17362,13889,12964,13540,19307,17993,20851
 "54000","West Virginia",5,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",1994,2391,2135,2134,1578,984,951,1236,1140,1153,1064,1087,912,1003,803,757,1121,1600,565,534,916
 "54000","West Virginia",5,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",534,882,1386,3769,4084,3724,4025,4054,3430,1801,1986,2322,1244,2055,2214,1920,2231,2355,2105,3196,4467
 "54000","West Virginia",5,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",8060,9058,7316,7520,4678,3097,2084,1804,1594,2161,3372,4303,3932,5179,4628,4047,4462,1322,1244,1360,1552
 "54000","West Virginia",5,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",6521,4240,3274,2706,2357,2341,2513,3465,3381,3495,3158,3608,2902,3177,3295,2748,2573,2629,2974,2673,3629
 "54000","West Virginia",5,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",1088,1217,1427,1612,1807,1935,2346,2667,3038,3231,3220,3208,3078,2647,2667,2708,3030,3534,3777,4239,4971
 "54000","West Virginia",5,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",37257,41887,26026,24019,20666,20475,19551,22846,21761,23179,21072,21765,15196,14879,13137,12851,11920,11883,11699,9053,12644
 "54000","West Virginia",5,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",274,356,482,567,464,438,420,331,305,284,318,364,76,95,105,115,110,177,260,228,367
 "54000","West Virginia",5,SAACArtsVA,140,"...","  Fine arts education ","Thousands of dollars",878,801,1241,1393,1374,1537,1469,1569,1692,1641,1346,1169,1313,1761,2016,1929,2005,2245,2403,1879,2757
 "54000","West Virginia",5,SAACArtsVA,150,"...","  Education services ","Thousands of dollars",6541,7887,7324,7432,7156,7469,7464,7776,8346,9325,9028,11150,9589,8576,9075,10944,12781,14080,13652,11483,10753
 "54000","West Virginia",5,SAACArtsVA,200,"..."," Supporting arts and cultural production ","Thousands of dollars",1508855,1406977,1313755,1332733,1405017,1417792,1474792,1589762,1467598,1563821,1441593,1388884,1382131,1314744,1374402,1377767,1228497,1219230,1177694,1131411,1194546
 "54000","West Virginia",5,SAACArtsVA,211,"...","  Rental and leasing ","Thousands of dollars",24111,25699,22898,22339,22999,33591,38766,55129,52276,73504,29057,18478,14599,12958,10392,8220,6783,7152,6873,4989,5126
 "54000","West Virginia",5,SAACArtsVA,212,"...","  Grantmaking and giving services ","Thousands of dollars",1583,2025,2442,2379,2530,2743,2568,2525,2897,2592,3091,2565,2768,2949,3419,3472,3709,3538,3848,3239,3379
 "54000","West Virginia",5,SAACArtsVA,213,"...","  Unions ","Thousands of dollars",3350,2812,3173,3583,3441,4182,3675,4082,4506,4227,4406,4231,4652,4585,4599,4152,4276,4192,4231,3872,4175
 "54000","West Virginia",5,SAACArtsVA,214,"...","  Government ","Thousands of dollars",516022,527128,514018,505069,486804,463992,460629,468250,474933,492553,498970,505076,499294,495478,491874,504129,519508,536751,551578,556285,563484
 "54000","West Virginia",5,SAACArtsVA,215,"...","  Other support services ","Thousands of dollars",1337,958,1208,1522,1734,1757,1897,2076,1633,1443,932,1270,1779,2298,2596,2619,3155,2904,3079,184,2080
 "54000","West Virginia",5,SAACArtsVA,221,"...","  Publishing ","Thousands of dollars",64039,82149,90500,97886,101171,94308,109717,106254,100034,100328,100002,99939,99640,97123,105033,91225,65029,60214,56077,51879,53786
 "54000","West Virginia",5,SAACArtsVA,222,"...","  Motion pictures ","Thousands of dollars",34895,44024,37082,27360,23326,24592,23946,24773,29248,30354,27421,23995,24473,21169,27328,25775,23790,23580,19495,11681,14449
 "54000","West Virginia",5,SAACArtsVA,223,"...","  Sound recording ","Thousands of dollars",276,480,449,451,317,369,327,420,1542,688,696,699,1230,986,892,779,389,145,137,5,434
 "54000","West Virginia",5,SAACArtsVA,224,"...","  Broadcasting ","Thousands of dollars",434582,403656,416764,433585,490334,502908,538013,577042,566589,605513,573970,541625,535456,504559,532089,476381,396557,374159,366806,365201,385855
 "54000","West Virginia",5,SAACArtsVA,225,"...","  Other information services ","Thousands of dollars",2074,5065,6134,8048,8007,10168,4957,5845,5787,5315,5143,3857,3396,3390,4380,4381,4399,4851,5749,5727,7086
 "54000","West Virginia",5,SAACArtsVA,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",285,560,355,414,434,511,752,537,428,378,340,813,247,245,198,274,294,152,156,165,187
 "54000","West Virginia",5,SAACArtsVA,232,"...","  Printed goods manufacturing ","Thousands of dollars",11891,11097,12310,13723,14939,15060,16284,14974,13266,12653,15756,18367,17260,14599,14131,14167,14394,13902,13573,10420,10619
 "54000","West Virginia",5,SAACArtsVA,233,"...","  Musical instruments manufacturing ","Thousands of dollars",407,553,377,282,329,410,439,278,181,138,121,226,155,185,193,283,275,227,257,179,261
 "54000","West Virginia",5,SAACArtsVA,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",1640,2257,2409,2555,2332,2108,3783,4125,3532,3967,4341,4807,5606,5520,6867,8091,9333,8961,8782,7542,7631
 "54000","West Virginia",5,SAACArtsVA,236,"...","  Other goods manufacturing ","Thousands of dollars",39570,35126,28942,30490,23585,24342,27136,22428,24523,24788,21477,25574,31177,35317,43892,37693,34455,34483,28569,21996,22987
 "54000","West Virginia",5,SAACArtsVA,240,"...","  Construction ","Thousands of dollars",231197,120338,33667,40174,74168,79352,88736,173476,81956,95702,28230,13174,21879,10804,32546,102934,44561,48880,16403,5359,18715
 "54000","West Virginia",5,SAACArtsVA,250,"...","  Wholesale and transportation industries ","Thousands of dollars",28498,29990,26735,30879,29692,28667,32742,31749,24945,32733,36192,37882,31651,24808,21536,20832,22968,23802,23309,23315,24939
