GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,SAACArtsVA,1,"...","Total value added ","Thousands of dollars",18708300,19165600,21193600,23429400,27576300,32740300,36950800,42819300,36252000,37680700,39751400,38855400,39289800,40310600,38426900,35879000,36980700,39171700,39428000,36330400,41510200
 "56000","Wyoming",7,SAACArtsVA,10,"...","Total ACPSA value added ","Thousands of dollars",748974,762424,855168,833376,857701,911145,967448,977131,976276,1034470,1197945,1107454,1009084,1026127,1027984,1051899,1218811,1209803,1130998,1073329,1196244
 "56000","Wyoming",7,SAACArtsVA,100,"..."," Core arts and cultural production ","Thousands of dollars",63417,67577,82789,79094,79543,85254,91732,98333,95782,99572,100169,107610,116779,128457,123103,131861,142285,154136,161016,165204,194499
 "56000","Wyoming",7,SAACArtsVA,111,"...","  Performing arts companies ","Thousands of dollars",2910,3330,4012,5135,4741,5864,6699,6856,8291,11135,12255,9053,7500,10527,7273,8148,8042,8008,7164,10124,10203
 "56000","Wyoming",7,SAACArtsVA,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",809,1422,1386,1412,1362,1097,1528,1306,3299,3913,3110,7572,8383,10043,9116,13936,21848,21831,21782,11417,27038
 "56000","Wyoming",7,SAACArtsVA,113,"...","  Agents/managers for artists ","Thousands of dollars",157,117,121,115,98,87,21,27,27,23,43,48,115,119,119,591,977,1483,1649,1142,977
 "56000","Wyoming",7,SAACArtsVA,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",14108,13031,25225,20738,20066,22420,22473,18427,15900,19060,15978,12456,20921,23728,26066,26611,28089,29771,33800,30350,33417
 "56000","Wyoming",7,SAACArtsVA,120,"...","  Museums ","Thousands of dollars",7830,8285,9616,9492,10879,11535,12620,13633,14094,13540,13903,17385,17198,18128,14759,16309,16207,18188,17645,19957,21218
 "56000","Wyoming",7,SAACArtsVA,131,"...","  Advertising ","Thousands of dollars",4495,5117,5200,5363,5841,6172,6418,6703,5696,6325,7426,7510,8371,8579,9437,10879,11548,13459,13684,13928,17886
 "56000","Wyoming",7,SAACArtsVA,132,"...","  Architectural services ","Thousands of dollars",13500,13949,14849,15185,14547,15190,17272,21056,17079,16174,16481,17094,19042,20689,19929,19534,19164,20922,21106,23040,25566
 "56000","Wyoming",7,SAACArtsVA,133,"...","  Landscape architectural services ","Thousands of dollars",2120,1847,1802,2046,1724,1743,1475,1620,1573,1462,1632,1829,1778,1702,1632,1675,2155,1800,1813,2647,2666
 "56000","Wyoming",7,SAACArtsVA,134,"...","  Interior design services ","Thousands of dollars",5568,6419,6729,6690,7566,8779,10148,11803,12671,11698,13343,15056,17645,17472,17605,15984,16577,18826,20826,25013,31689
 "56000","Wyoming",7,SAACArtsVA,135,"...","  Industrial design services ","Thousands of dollars",962,1196,968,959,845,707,793,3144,3436,2413,3425,6822,3749,4703,5255,5729,4219,4724,4983,10321,4316
 "56000","Wyoming",7,SAACArtsVA,136,"...","  Graphic design services ","Thousands of dollars",1427,1367,1068,1061,1089,1270,1649,1937,1787,1507,1420,1153,927,945,719,693,877,1017,1208,1853,3196
 "56000","Wyoming",7,SAACArtsVA,137,"...","  Computer systems design ","Thousands of dollars",182,211,285,270,290,357,475,572,565,473,458,593,609,689,701,632,689,904,1396,1849,2047
 "56000","Wyoming",7,SAACArtsVA,138,"...","  Photography and photofinishing services ","Thousands of dollars",7346,8904,8216,7995,7608,6936,6266,6442,6470,6875,5703,6052,5395,5791,4858,4873,5088,6048,5576,5778,5522
 "56000","Wyoming",7,SAACArtsVA,139,"...","  All other design services ","Thousands of dollars",179,195,211,195,230,226,221,219,181,91,148,152,138,118,112,93,73,47,63,367,484
