GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,SAACCompRatio,10,"...","Total arts compensation ratio ","Ratio",0.022,0.024,0.023,0.023,0.020,0.019,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.015,0.015,0.015,0.015,0.014
 "10000","Delaware",2,SAACCompRatio,100,"..."," Core arts and cultural production ","Ratio",0.205,0.219,0.187,0.247,0.245,0.234,0.225,0.216,0.207,0.182,0.182,0.177,0.169,0.174,0.164,0.164,0.167,0.166,0.166,0.182,0.191
 "10000","Delaware",2,SAACCompRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.904,0.917,0.935,0.946,0.955,0.965,0.962,0.965,0.968,0.971,0.969,0.970,0.970,0.968,0.969,0.969,0.969,0.972,0.976,0.970
 "10000","Delaware",2,SAACCompRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",(D),(D),0.839,(D),(D),(D),(D),(D),0.828,0.811,0.794,(D),0.779,0.779,0.777,0.837,0.781,(D),0.785,0.780,0.773
 "10000","Delaware",2,SAACCompRatio,113,"...","  Agents/managers for artists ","Ratio",(D),(D),0.000,0.000,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.541,0.541,0.541,(D),(D),0.542,0.542
 "10000","Delaware",2,SAACCompRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.903,0.906,0.910,(D),0.917,0.920,0.924,0.937,(D),(D),(D),0.989,(D),(D),0.988,0.989,0.989,(D),(D),0.988,0.988
 "10000","Delaware",2,SAACCompRatio,120,"...","  Museums ","Ratio",0.866,0.871,0.883,0.891,0.888,0.910,0.923,0.918,0.916,0.901,0.894,0.896,0.892,0.890,0.890,0.891,0.884,0.887,0.884,0.888,0.871
 "10000","Delaware",2,SAACCompRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,0.383,0.354,0.331,0.313,0.327,0.339,0.355,0.370,0.395,0.395,0.396,0.397,0.397,0.396,0.396,0.396,0.396,0.397
 "10000","Delaware",2,SAACCompRatio,132,"...","  Architectural services ","Ratio",0.714,0.712,0.719,0.725,0.730,0.730,0.735,0.741,0.741,0.740,(D),0.742,0.741,0.742,0.740,(D),(D),0.741,0.742,0.742,0.742
 "10000","Delaware",2,SAACCompRatio,133,"...","  Landscape architectural services ","Ratio",0.948,0.946,0.949,0.953,0.953,0.946,0.942,0.954,0.955,0.956,0.955,0.965,0.964,0.965,0.962,0.963,0.965,0.964,0.964,0.967,0.966
 "10000","Delaware",2,SAACCompRatio,134,"...","  Interior design services ","Ratio",0.826,0.791,0.821,0.848,0.868,0.884,0.898,0.910,0.922,0.935,0.944,0.953,0.952,0.950,0.951,0.950,0.951,0.952,0.953,0.953,0.953
 "10000","Delaware",2,SAACCompRatio,135,"...","  Industrial design services ","Ratio",(D),(D),(D),(D),(D),(D),0.986,0.986,0.982,0.986,0.984,0.983,(D),0.982,(D),(D),(D),(D),(D),(D),(D)
 "10000","Delaware",2,SAACCompRatio,136,"...","  Graphic design services ","Ratio",0.953,0.948,0.948,0.947,0.946,0.946,0.944,0.945,0.939,0.945,0.947,0.949,0.949,0.948,0.949,0.949,0.950,0.949,0.949,0.947,0.948
