GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,SAACCompRatio,10,"...","Total arts compensation ratio ","Ratio",0.046,0.048,0.045,0.043,0.041,0.038,0.036,0.036,0.035,0.036,0.034,0.032,0.031,0.032,0.031,0.030,0.029,0.030,0.029,0.028,0.028
 "46000","South Dakota",4,SAACCompRatio,100,"..."," Core arts and cultural production ","Ratio",0.449,0.452,0.417,0.393,0.305,0.291,0.282,0.291,0.284,0.267,0.254,0.245,0.239,0.252,0.242,0.245,0.247,0.265,0.270,0.281,0.275
 "46000","South Dakota",4,SAACCompRatio,111,"...","  Performing arts companies ","Ratio",(D),0.904,0.917,(D),0.946,0.955,0.965,0.962,0.965,0.968,0.971,0.969,0.970,0.970,0.968,0.969,0.969,0.969,0.972,(D),0.970
 "46000","South Dakota",4,SAACCompRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.825,0.846,0.839,0.822,0.827,0.831,0.836,0.829,0.828,0.811,0.794,0.781,0.779,0.779,0.777,0.837,0.781,0.780,0.785,0.780,0.773
 "46000","South Dakota",4,SAACCompRatio,113,"...","  Agents/managers for artists ","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.000,0.000,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,SAACCompRatio,114,"...","  Independent artists, writers, and performers ","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.963,0.977,(D),(D),(D),(D),0.989,(D),0.989,0.989,0.988,0.988
 "46000","South Dakota",4,SAACCompRatio,120,"...","  Museums ","Ratio",0.866,0.871,0.883,0.891,0.888,0.910,0.923,0.918,0.916,0.901,0.894,0.896,0.892,0.890,0.890,0.891,0.884,0.887,0.884,0.888,0.871
 "46000","South Dakota",4,SAACCompRatio,131,"...","  Advertising ","Ratio",0.418,(D),0.403,0.383,0.354,(D),0.313,0.327,0.339,(D),0.370,0.395,(D),(D),(D),(D),0.396,(D),(D),0.396,0.397
 "46000","South Dakota",4,SAACCompRatio,132,"...","  Architectural services ","Ratio",0.714,0.712,0.719,0.725,0.730,0.730,0.735,0.741,0.741,0.740,0.739,0.742,0.741,0.742,0.740,0.741,0.742,0.741,0.742,0.742,0.742
 "46000","South Dakota",4,SAACCompRatio,133,"...","  Landscape architectural services ","Ratio",0.948,0.946,0.949,0.953,0.953,0.946,0.942,0.954,0.955,0.956,0.955,0.965,0.964,0.965,0.962,0.963,0.965,0.964,0.964,0.967,0.966
 "46000","South Dakota",4,SAACCompRatio,134,"...","  Interior design services ","Ratio",0.826,0.791,0.821,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.953,0.953,0.953
 "46000","South Dakota",4,SAACCompRatio,135,"...","  Industrial design services ","Ratio",(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D)
 "46000","South Dakota",4,SAACCompRatio,136,"...","  Graphic design services ","Ratio",0.953,0.948,0.948,0.947,0.946,0.946,0.944,0.945,0.939,0.945,0.947,0.949,0.949,0.948,0.949,0.949,0.950,0.949,0.949,0.947,0.948
 "46000","South Dakota",4,SAACCompRatio,137,"...","  Computer systems design ","Ratio",(D),(D),(D),0.021,0.021,0.021,(D),0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
 "46000","South Dakota",4,SAACCompRatio,138,"...","  Photography and photofinishing services ","Ratio",0.886,0.877,0.875,0.871,0.881,0.894,0.929,0.903,0.903,0.910,0.961,0.978,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,SAACCompRatio,139,"...","  All other design services ","Ratio",(D),(D),0.554,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.615,0.614,(D)
 "46000","South Dakota",4,SAACCompRatio,140,"...","  Fine arts education ","Ratio",(D),0.441,0.442,0.443,(D),(D),(D),(D),(D),(D),(D),(D),(D),0.401,0.397,0.389,0.391,0.405,0.416,0.426,0.450
 "46000","South Dakota",4,SAACCompRatio,150,"...","  Education services ","Ratio",0.076,0.085,0.090,0.078,0.072,0.070,0.067,0.068,0.067,0.060,0.058,0.059,0.056,0.060,0.060,0.065,0.065,0.074,0.078,0.088,0.083
 "46000","South Dakota",4,SAACCompRatio,200,"..."," Supporting arts and cultural production ","Ratio",0.114,0.119,0.108,0.104,0.107,0.105,0.100,0.105,0.101,0.108,0.105,0.102,0.100,0.104,0.099,0.098,0.099,0.102,0.104,0.102,0.106
 "46000","South Dakota",4,SAACCompRatio,211,"...","  Rental and leasing ","Ratio",0.442,0.424,0.437,0.426,0.398,0.395,0.371,(D),(D),(D),(D),(D),(D),(D),(D),0.238,0.233,0.224,0.217,0.214,0.216
 "46000","South Dakota",4,SAACCompRatio,212,"...","  Grantmaking and giving services ","Ratio",0.031,0.031,0.033,0.030,0.030,0.033,0.033,0.031,0.035,0.035,0.036,0.039,0.039,0.039,0.039,0.040,0.040,0.040,0.040,0.038,0.039
 "46000","South Dakota",4,SAACCompRatio,213,"...","  Unions ","Ratio",0.028,0.024,0.025,0.024,0.025,0.025,0.023,0.024,0.029,0.027,0.031,(D),0.033,0.030,0.033,0.029,0.033,0.029,0.033,0.026,0.033
 "46000","South Dakota",4,SAACCompRatio,214,"...","  Government ","Ratio",0.150,0.154,0.142,0.130,0.119,0.110,0.101,0.100,0.099,0.098,0.098,0.098,0.095,0.095,0.096,0.097,0.098,0.100,0.100,0.098,0.097
 "46000","South Dakota",4,SAACCompRatio,215,"...","  Other support services ","Ratio",(D),(D),(D),(D),0.018,(D),(D),(D),(D),0.017,(D),(D),(D),(D),(D),(D),(D),(D),(D),0.014,0.015
 "46000","South Dakota",4,SAACCompRatio,221,"...","  Publishing ","Ratio",(D),(D),(D),(D),0.443,0.443,0.446,0.438,0.428,0.422,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,SAACCompRatio,222,"...","  Motion pictures ","Ratio",0.984,(D),0.985,0.986,0.977,0.982,0.979,(D),0.974,0.973,0.970,0.963,0.961,0.959,0.955,0.954,0.953,(D),0.941,0.942,0.931
 "46000","South Dakota",4,SAACCompRatio,223,"...","  Sound recording ","Ratio",1.009,(D),1.011,1.010,1.009,1.007,1.006,0.996,0.995,0.994,0.993,0.994,0.918,0.915,0.916,0.918,0.922,0.921,0.920,0.918,0.919
 "46000","South Dakota",4,SAACCompRatio,224,"...","  Broadcasting ","Ratio",0.265,0.287,(D),(D),(D),(D),0.393,0.410,0.424,0.454,0.471,0.496,0.499,(D),(D),(D),(D),(D),0.516,0.519,0.529
 "46000","South Dakota",4,SAACCompRatio,225,"...","  Other information services ","Ratio",0.892,0.865,0.873,0.892,0.898,0.898,0.905,0.905,0.899,0.881,0.884,0.888,0.884,0.881,0.877,0.880,0.879,(D),(D),(D),0.875
 "46000","South Dakota",4,SAACCompRatio,231,"...","  Jewelry and silverware manufacturing ","Ratio",0.899,0.923,0.928,0.933,0.937,0.943,0.958,0.929,0.751,0.717,0.681,0.926,0.930,0.928,0.931,0.932,0.940,0.925,(D),0.904,0.905
 "46000","South Dakota",4,SAACCompRatio,232,"...","  Printed goods manufacturing ","Ratio",0.164,0.143,0.142,0.159,0.160,0.164,0.193,0.197,0.194,0.187,0.181,0.179,0.183,0.177,0.170,0.168,0.177,0.171,0.166,0.157,0.155
 "46000","South Dakota",4,SAACCompRatio,233,"...","  Musical instruments manufacturing ","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,SAACCompRatio,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Ratio",(D),0.103,(D),(D),0.092,(D),(D),0.135,0.125,(D),(D),(D),0.140,0.135,(D),0.150,0.150,0.148,(D),(D),0.118
 "46000","South Dakota",4,SAACCompRatio,236,"...","  Other goods manufacturing ","Ratio",0.120,(D),(D),0.108,0.103,0.095,0.115,0.114,0.104,(D),0.102,0.110,0.106,0.119,0.126,0.120,0.131,0.125,0.137,0.135,0.136
 "46000","South Dakota",4,SAACCompRatio,240,"...","  Construction ","Ratio",0.221,0.393,0.127,0.142,0.565,0.320,0.084,0.187,0.115,0.447,0.247,0.096,0.126,0.301,0.105,0.085,0.054,0.077,0.182,0.146,0.263
 "46000","South Dakota",4,SAACCompRatio,250,"...","  Wholesale and transportation industries ","Ratio",0.025,(D),0.024,0.024,0.023,0.022,(D),(D),0.020,0.024,0.025,0.023,0.023,(D),0.022,0.022,0.023,0.023,0.023,0.023,(D)
 "46000","South Dakota",4,SAACCompRatio,260,"...","  Retail industries ","Ratio",0.042,0.041,0.040,0.040,0.039,0.039,0.040,0.040,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.039,0.039,0.039,0.038,0.041
 "46000","South Dakota",4,SAACCompRatio,300,"..."," All other industries 2/","Ratio",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001
"Note: See the included footnote file."
"SAACCompRatio: Arts compensation ratio 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
