GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.039,0.039,0.038,0.037,0.036,0.035,0.036,0.036,0.035,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.033,0.033,0.030,0.032
 "09000","Connecticut",1,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.231,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.173,(D),(D),(D),(D),0.157
 "09000","Connecticut",1,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.904,0.916,0.935,0.945,0.955,0.965,0.961,0.965,0.968,0.971,0.969,0.970,0.970,0.968,0.969,0.969,0.969,0.972,0.976,(D)
 "09000","Connecticut",1,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.825,0.845,0.840,0.822,0.827,0.831,0.835,0.829,0.828,0.811,0.794,0.781,0.779,0.780,0.778,0.778,0.781,0.780,0.785,0.780,0.773
 "09000","Connecticut",1,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.509,0.513,0.509,0.511,0.507,0.507,0.508,0.515,0.522,0.529,0.536,0.540,0.546,0.540,0.541,0.540,0.540,0.541,0.544,0.542,0.541
 "09000","Connecticut",1,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.905,0.905,0.909,0.914,0.917,0.920,0.925,0.937,0.950,0.965,0.977,0.989,0.988,0.990,0.990,0.988,0.989,0.988,0.990,0.987,0.986
 "09000","Connecticut",1,SAACEmpRatio,120,"...","  Museums ","Ratio",0.866,0.871,0.883,0.891,0.888,0.910,0.923,0.918,0.916,0.901,0.894,0.896,0.892,0.890,0.890,0.891,0.884,0.887,0.884,0.888,0.871
 "09000","Connecticut",1,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,0.383,0.354,0.331,0.313,0.327,0.339,0.355,0.370,0.395,0.395,0.396,0.397,0.396,0.396,0.397,0.396,0.396,0.397
 "09000","Connecticut",1,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.713,0.719,0.725,0.730,0.730,0.735,0.741,0.741,0.740,0.739,0.742,0.741,0.742,0.740,0.741,0.742,0.742,0.741,0.742,0.742
 "09000","Connecticut",1,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.948,0.946,0.950,0.954,0.952,0.946,0.943,0.956,0.956,0.956,0.952,0.964,0.966,0.968,0.961,0.961,0.962,0.964,0.965,0.965,0.968
 "09000","Connecticut",1,SAACEmpRatio,134,"...","  Interior design services ","Ratio",0.827,0.791,0.822,0.847,0.868,0.885,0.898,0.911,0.921,0.934,0.944,0.953,0.950,0.951,0.950,0.953,0.950,0.950,0.955,0.952,0.952
