GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.026,0.027,0.026,0.026,0.024,0.023,0.023,0.021,0.021,0.020,0.020,0.020,0.020,0.020,0.020,0.019,0.019,0.018,0.018,0.016,0.017
 "10000","Delaware",2,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.249,0.255,0.238,0.282,0.270,0.256,0.246,0.239,0.232,0.217,0.214,0.215,0.219,0.229,0.229,0.229,0.231,0.232,0.240,0.220,0.228
 "10000","Delaware",2,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.906,0.919,0.937,0.946,0.953,0.962,0.959,0.965,0.966,0.973,0.967,0.971,0.969,0.968,0.969,0.969,0.968,0.970,0.973,0.977
 "10000","Delaware",2,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",(D),(D),0.909,(D),(D),(D),(D),(D),0.832,0.823,0.797,(D),0.775,0.771,0.772,0.772,0.786,(D),0.784,0.773,0.774
 "10000","Delaware",2,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",(D),(D),0.000,0.000,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.667,0.665,0.501,(D),(D),0.501,0.501
 "10000","Delaware",2,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.904,0.905,0.919,(D),0.917,0.920,0.928,0.939,(D),(D),(D),0.999,(D),(D),0.981,0.976,1.001,(D),(D),0.987,1.000
 "10000","Delaware",2,SAACEmpRatio,120,"...","  Museums ","Ratio",0.867,0.871,0.883,0.891,0.888,0.909,0.923,0.918,0.916,0.901,0.894,0.895,0.892,0.891,0.891,0.891,0.883,0.888,0.884,0.888,0.871
 "10000","Delaware",2,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.421,0.403,0.383,0.354,0.330,0.313,0.327,0.339,0.355,0.370,0.394,0.395,0.396,0.397,0.397,0.396,0.396,0.396,0.396,0.396
 "10000","Delaware",2,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.712,0.719,0.724,0.731,0.730,0.736,0.742,0.741,0.739,(D),0.742,0.741,0.742,0.741,(D),(D),0.739,0.738,0.741,0.739
 "10000","Delaware",2,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.948,0.944,0.949,0.957,0.957,0.945,0.946,0.951,0.955,0.961,0.955,0.964,0.964,0.961,0.960,0.964,0.961,0.963,0.964,0.957,0.953
 "10000","Delaware",2,SAACEmpRatio,134,"...","  Interior design services ","Ratio",0.822,0.798,0.823,0.840,0.869,0.889,0.895,0.912,0.924,0.936,0.949,0.952,0.966,0.955,0.946,0.950,0.952,0.945,0.943,0.950,0.967
 "10000","Delaware",2,SAACEmpRatio,135,"...","  Industrial design services ","Ratio",(D),(D),(D),(D),(D),(D),0.994,1.000,0.965,1.002,1.001,0.999,(D),1.003,(D),(D),(D),(D),(D),(D),(D)
 "10000","Delaware",2,SAACEmpRatio,136,"...","  Graphic design services ","Ratio",0.954,0.951,0.949,0.946,0.950,0.945,0.936,0.944,0.943,0.947,0.944,0.952,0.940,0.958,0.949,0.949,0.957,0.948,0.947,0.941,0.946
 "10000","Delaware",2,SAACEmpRatio,137,"...","  Computer systems design ","Ratio",0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.024,0.024,0.024,(D),(D),0.024,0.024,0.024,0.024,0.024
 "10000","Delaware",2,SAACEmpRatio,138,"...","  Photography and photofinishing services ","Ratio",(D),0.878,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.980,0.984,0.985,0.985,0.983,0.983,0.986,0.979
 "10000","Delaware",2,SAACEmpRatio,139,"...","  All other design services ","Ratio",(D),(D),(D),(D),(D),(D),0.677,0.708,0.734,0.581,0.669,0.668,(D),0.701,(D),(D),(D),(D),(D),(D),(D)
 "10000","Delaware",2,SAACEmpRatio,140,"...","  Fine arts education ","Ratio",0.449,0.441,0.441,0.443,0.441,(D),0.436,(D),(D),(D),(D),(D),(D),(D),0.397,(D),0.391,0.404,0.416,0.427,0.450
 "10000","Delaware",2,SAACEmpRatio,150,"...","  Education services ","Ratio",0.020,0.023,0.018,0.016,0.018,0.021,0.025,0.019,0.017,0.014,0.016,0.018,0.021,0.024,0.021,0.021,0.021,0.019,0.021,0.025,0.019
 "10000","Delaware",2,SAACEmpRatio,200,"..."," Supporting arts and cultural production ","Ratio",0.077,0.081,0.078,0.082,0.071,0.068,0.070,0.064,0.064,0.062,0.058,0.059,0.059,0.060,0.060,0.057,0.056,0.054,0.055,0.052,0.052
 "10000","Delaware",2,SAACEmpRatio,211,"...","  Rental and leasing ","Ratio",0.443,0.425,0.438,0.426,0.399,0.396,0.371,0.350,0.343,0.325,0.301,0.293,0.277,0.257,0.246,0.240,0.232,0.225,0.219,0.217,0.215
 "10000","Delaware",2,SAACEmpRatio,212,"...","  Grantmaking and giving services ","Ratio",0.032,0.033,0.033,0.031,(D),(D),0.032,0.028,(D),(D),0.036,0.039,0.040,0.041,0.038,0.041,0.040,0.039,0.043,0.038,0.040
 "10000","Delaware",2,SAACEmpRatio,213,"...","  Unions ","Ratio",0.028,0.023,0.025,0.025,0.025,0.025,0.023,0.025,0.028,0.026,0.031,0.028,0.033,0.030,0.033,0.029,0.033,0.029,0.033,0.026,0.033
 "10000","Delaware",2,SAACEmpRatio,214,"...","  Government ","Ratio",0.078,0.081,0.068,0.058,0.049,0.044,0.040,(D),0.037,(D),0.038,0.038,0.039,0.041,0.040,0.040,0.038,0.036,0.037,0.038,0.034
 "10000","Delaware",2,SAACEmpRatio,215,"...","  Other support services ","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10000","Delaware",2,SAACEmpRatio,221,"...","  Publishing ","Ratio",0.447,0.454,0.471,0.450,0.443,(D),(D),(D),(D),(D),(D),(D),(D),(D),0.385,0.372,0.367,0.356,0.345,0.333,0.325
 "10000","Delaware",2,SAACEmpRatio,222,"...","  Motion pictures ","Ratio",0.987,0.972,0.986,0.986,0.976,0.984,0.980,0.980,0.973,0.972,0.972,0.962,0.961,0.958,0.954,(D),0.951,0.947,(D),0.940,0.933
 "10000","Delaware",2,SAACEmpRatio,223,"...","  Sound recording ","Ratio",1.015,1.016,1.017,1.025,1.028,1.023,1.025,1.001,0.995,1.000,0.999,0.979,0.909,0.918,0.901,1.000,1.003,1.003,0.998,0.858,0.908
 "10000","Delaware",2,SAACEmpRatio,224,"...","  Broadcasting ","Ratio",0.265,0.288,0.311,0.339,0.357,0.375,0.393,0.410,0.425,0.453,0.471,0.496,0.499,0.505,0.504,0.506,0.513,0.520,0.516,0.519,0.529
 "10000","Delaware",2,SAACEmpRatio,225,"...","  Other information services ","Ratio",(D),0.864,(D),0.894,0.898,0.898,0.905,0.904,(D),(D),(D),(D),(D),0.883,0.876,0.880,(D),(D),(D),0.864,0.874
 "10000","Delaware",2,SAACEmpRatio,231,"...","  Jewelry and silverware manufacturing ","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "10000","Delaware",2,SAACEmpRatio,232,"...","  Printed goods manufacturing ","Ratio",0.163,0.142,(D),(D),0.160,0.165,0.193,0.196,0.194,0.188,0.181,0.180,0.183,0.177,0.170,0.168,0.177,0.172,0.167,0.158,0.156
 "10000","Delaware",2,SAACEmpRatio,233,"...","  Musical instruments manufacturing ","Ratio",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "10000","Delaware",2,SAACEmpRatio,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Ratio",(D),(D),(D),(D),(D),(D),0.130,0.137,0.123,0.124,0.132,0.136,0.139,0.129,0.141,0.147,0.153,0.157,0.143,(D),0.111
 "10000","Delaware",2,SAACEmpRatio,236,"...","  Other goods manufacturing ","Ratio",0.121,0.118,0.116,0.108,0.103,0.095,0.116,0.115,0.108,0.107,0.097,0.116,0.106,0.123,0.127,0.113,0.129,0.124,0.134,0.136,0.137
 "10000","Delaware",2,SAACEmpRatio,240,"...","  Construction ","Ratio",0.112,0.276,0.400,0.711,0.285,0.231,0.350,0.086,0.208,0.191,0.098,0.153,0.215,0.354,0.452,0.123,0.116,0.158,0.256,0.070,0.099
 "10000","Delaware",2,SAACEmpRatio,250,"...","  Wholesale and transportation industries ","Ratio",(D),0.026,0.024,0.024,0.023,0.022,(D),(D),(D),0.024,(D),0.023,0.023,0.022,(D),(D),0.023,0.023,0.023,0.023,0.023
 "10000","Delaware",2,SAACEmpRatio,260,"...","  Retail industries ","Ratio",0.042,0.041,0.040,0.040,0.039,0.039,0.040,0.040,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.039,0.039,0.039,0.038,(D)
 "10000","Delaware",2,SAACEmpRatio,300,"..."," All other industries 2/","Ratio",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Note: See the included footnote file."
"SAACEmpRatio: Arts employment ratio 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
