GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.034,0.033,0.033,0.032,0.031,0.031,0.030,0.030,0.031,0.029,0.027,0.027,0.027,0.026,0.025,0.026,0.026,0.026,0.026,0.024,0.024
 "21000","Kentucky",5,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.234,0.227,0.229,0.222,0.217,0.219,0.217,0.215,0.203,0.195,0.192,0.201,0.198,(D),0.197,0.201,0.217,0.224,(D),0.194,0.203
 "21000","Kentucky",5,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.904,0.916,0.935,0.946,0.956,0.965,0.962,0.964,0.968,(D),(D),(D),0.970,(D),(D),(D),(D),0.972,(D),(D)
 "21000","Kentucky",5,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.822,0.845,0.839,0.822,0.828,0.831,0.836,0.829,0.829,0.811,0.794,0.780,0.780,0.779,0.777,0.778,0.780,0.780,0.785,0.780,0.774
 "21000","Kentucky",5,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.512,0.504,0.523,0.503,0.515,0.499,0.519,0.519,0.510,0.536,0.526,0.547,0.535,0.537,0.535,0.543,0.546,0.558,0.550,0.561,0.520
 "21000","Kentucky",5,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.902,0.908,0.910,0.912,0.919,0.921,0.924,0.941,0.952,0.960,0.977,0.990,0.986,0.987,0.989,0.987,0.988,0.988,0.993,0.990,0.991
 "21000","Kentucky",5,SAACEmpRatio,120,"...","  Museums ","Ratio",0.866,0.871,0.882,0.891,0.888,0.910,0.923,0.918,0.917,0.901,0.895,0.897,0.892,0.890,0.890,0.891,0.884,0.887,0.884,0.888,0.871
 "21000","Kentucky",5,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,0.383,0.354,0.331,0.313,0.327,0.339,0.355,0.370,0.395,0.395,0.396,0.397,0.397,0.396,0.396,0.396,0.396,0.397
 "21000","Kentucky",5,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.713,0.719,0.725,0.730,0.730,0.736,0.741,0.741,0.740,0.740,0.742,0.741,0.742,0.740,0.741,0.742,0.741,0.741,0.742,0.741
 "21000","Kentucky",5,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.949,0.942,0.947,0.951,0.955,0.943,0.940,0.950,0.956,0.959,0.954,0.958,0.967,0.960,0.962,0.965,0.961,0.963,0.960,0.965,0.965
 "21000","Kentucky",5,SAACEmpRatio,134,"...","  Interior design services ","Ratio",0.824,0.795,0.822,0.849,0.867,0.885,0.897,0.913,0.919,0.935,0.944,0.954,0.955,0.953,0.953,0.950,0.951,0.951,0.957,0.952,0.952
 "21000","Kentucky",5,SAACEmpRatio,135,"...","  Industrial design services ","Ratio",1.070,0.997,0.998,0.990,0.985,0.996,0.985,0.982,0.976,0.988,0.988,0.985,0.969,0.976,0.973,0.973,0.989,0.983,0.976,0.978,0.986
 "21000","Kentucky",5,SAACEmpRatio,136,"...","  Graphic design services ","Ratio",0.953,0.948,0.948,0.948,0.945,0.948,0.944,0.944,0.938,0.944,0.946,0.949,0.948,0.948,0.950,0.949,0.949,0.948,0.949,0.949,0.948
 "21000","Kentucky",5,SAACEmpRatio,137,"...","  Computer systems design ","Ratio",0.021,0.020,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
 "21000","Kentucky",5,SAACEmpRatio,138,"...","  Photography and photofinishing services ","Ratio",0.886,0.877,0.874,0.871,0.881,0.893,0.929,0.903,0.903,0.910,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "21000","Kentucky",5,SAACEmpRatio,139,"...","  All other design services ","Ratio",0.578,0.542,0.546,0.571,0.586,0.631,0.662,0.733,0.723,0.609,0.627,0.626,0.700,0.612,0.614,0.601,0.586,0.582,0.616,0.584,0.601
 "21000","Kentucky",5,SAACEmpRatio,140,"...","  Fine arts education ","Ratio",0.448,0.441,0.442,0.443,0.442,0.443,0.436,0.437,0.429,0.412,0.402,0.400,0.401,0.402,0.397,0.389,0.391,0.405,0.416,0.427,0.450
 "21000","Kentucky",5,SAACEmpRatio,150,"...","  Education services ","Ratio",0.042,0.043,0.045,0.037,0.037,0.037,0.037,0.038,0.033,0.033,0.035,0.036,0.035,0.034,0.033,0.033,0.032,0.032,0.032,0.030,0.029
 "21000","Kentucky",5,SAACEmpRatio,200,"..."," Supporting arts and cultural production ","Ratio",0.101,0.103,0.094,0.091,0.087,0.085,0.084,0.084,0.086,0.081,0.077,0.078,0.078,0.077,0.075,0.075,0.077,0.078,0.080,0.076,0.074
 "21000","Kentucky",5,SAACEmpRatio,211,"...","  Rental and leasing ","Ratio",0.442,0.424,0.437,0.426,0.398,0.395,0.371,0.349,0.344,0.324,0.300,0.292,0.274,0.258,0.245,(D),0.234,0.224,0.217,0.216,0.215
 "21000","Kentucky",5,SAACEmpRatio,212,"...","  Grantmaking and giving services ","Ratio",0.031,0.030,0.034,0.030,0.030,0.033,0.033,0.031,0.035,0.035,0.037,0.040,0.039,0.039,0.039,0.039,0.040,0.040,0.041,0.038,0.039
 "21000","Kentucky",5,SAACEmpRatio,213,"...","  Unions ","Ratio",0.028,0.024,0.025,0.024,0.025,0.025,0.023,0.024,0.029,0.027,0.031,0.028,0.033,0.030,0.033,0.029,0.033,0.029,0.033,0.026,0.033
 "21000","Kentucky",5,SAACEmpRatio,214,"...","  Government ","Ratio",0.135,0.134,0.126,0.116,0.108,0.101,0.097,0.091,0.094,0.091,0.084,0.086,0.087,0.087,0.086,0.088,0.090,0.090,0.090,0.088,0.086
 "21000","Kentucky",5,SAACEmpRatio,215,"...","  Other support services ","Ratio",0.019,0.014,0.015,0.017,0.017,0.019,0.020,0.019,0.017,0.017,0.015,0.015,0.014,0.014,0.015,(D),(D),0.014,0.015,0.014,0.015
 "21000","Kentucky",5,SAACEmpRatio,221,"...","  Publishing ","Ratio",0.447,0.454,0.471,0.449,0.443,0.443,0.446,0.438,0.428,0.423,0.415,0.405,0.392,0.386,0.385,0.373,0.367,0.356,0.345,0.332,0.325
 "21000","Kentucky",5,SAACEmpRatio,222,"...","  Motion pictures ","Ratio",0.985,0.974,0.985,0.987,0.977,0.982,0.979,0.978,0.974,0.973,0.970,0.963,0.961,0.959,0.955,0.954,0.952,0.946,0.942,0.943,0.931
 "21000","Kentucky",5,SAACEmpRatio,223,"...","  Sound recording ","Ratio",1.015,1.016,1.017,1.025,1.028,1.023,1.011,1.001,0.995,0.987,0.999,0.989,0.921,0.917,0.909,0.917,0.922,0.922,(D),0.907,0.911
 "21000","Kentucky",5,SAACEmpRatio,224,"...","  Broadcasting ","Ratio",0.265,(D),(D),(D),(D),0.375,0.394,0.410,0.425,0.454,0.471,0.496,0.499,0.505,0.504,0.506,0.513,0.520,0.516,0.519,0.529
 "21000","Kentucky",5,SAACEmpRatio,225,"...","  Other information services ","Ratio",(D),0.864,0.872,0.892,0.895,0.898,0.903,0.903,0.901,0.879,0.885,0.889,0.885,0.882,0.879,0.882,0.879,0.871,0.868,0.867,0.876
 "21000","Kentucky",5,SAACEmpRatio,231,"...","  Jewelry and silverware manufacturing ","Ratio",0.907,0.916,0.927,0.938,0.930,0.947,0.955,(D),(D),0.711,0.685,0.921,0.928,0.923,0.928,0.933,0.938,(D),(D),0.904,0.904
