GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.029,0.029,0.028,0.029,0.027,0.026,0.026,0.026,0.025,0.025,0.025,0.026,0.027,0.026,0.027,0.026,0.026,0.026,0.026,0.024,0.025
 "22000","Louisiana",5,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.224,0.209,0.207,0.221,0.202,0.192,0.199,0.210,0.199,0.189,(D),0.186,0.187,0.193,0.190,0.192,0.196,0.202,(D),(D),0.162
 "22000","Louisiana",5,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.904,0.917,0.935,0.946,0.955,0.965,(D),0.965,0.968,0.971,(D),0.970,0.971,0.968,0.968,0.969,0.970,0.972,0.976,0.971
 "22000","Louisiana",5,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.824,0.846,0.840,0.823,0.827,0.831,0.835,0.829,0.828,0.811,0.794,0.781,0.780,0.779,0.777,0.779,0.781,0.780,0.785,0.780,0.773
 "22000","Louisiana",5,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.507,0.519,0.508,0.503,0.517,0.506,0.506,0.506,0.510,0.517,0.523,0.535,0.575,0.549,0.538,0.527,0.539,0.535,0.552,0.543,0.550
 "22000","Louisiana",5,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.902,0.907,0.910,0.914,0.912,0.921,0.926,0.936,0.943,0.970,0.971,0.991,0.993,0.988,0.987,0.989,0.989,0.988,0.988,0.990,0.988
 "22000","Louisiana",5,SAACEmpRatio,120,"...","  Museums ","Ratio",0.867,0.871,0.883,0.891,0.888,0.910,0.924,0.918,0.916,0.901,0.894,0.896,0.892,0.890,(D),(D),(D),(D),0.884,0.888,(D)
 "22000","Louisiana",5,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,0.383,0.354,0.331,0.313,0.327,0.339,0.355,0.370,0.395,0.395,0.396,0.397,0.396,0.396,0.396,0.396,0.396,0.397
 "22000","Louisiana",5,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.713,0.719,0.725,0.730,0.730,0.735,0.741,0.741,0.740,0.740,0.742,0.740,0.742,0.740,0.741,0.742,0.741,0.742,0.742,0.742
 "22000","Louisiana",5,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.947,0.947,0.949,0.953,0.954,0.945,0.943,0.953,0.956,0.955,0.956,0.964,0.965,0.966,0.963,0.963,0.965,0.963,0.961,0.969,0.966
 "22000","Louisiana",5,SAACEmpRatio,134,"...","  Interior design services ","Ratio",0.826,0.791,0.823,0.850,0.866,0.885,0.899,0.912,0.921,0.935,0.945,0.951,0.953,0.949,0.950,0.950,0.950,0.954,0.953,0.954,0.953
 "22000","Louisiana",5,SAACEmpRatio,135,"...","  Industrial design services ","Ratio",1.025,0.953,0.958,0.953,0.963,1.004,0.994,1.000,0.999,1.002,1.001,0.999,1.004,1.003,1.000,0.999,1.004,0.998,1.003,1.003,0.996
 "22000","Louisiana",5,SAACEmpRatio,136,"...","  Graphic design services ","Ratio",0.953,0.949,0.947,0.947,0.946,0.944,0.943,0.947,0.941,0.947,0.948,0.946,0.949,0.946,0.949,0.947,0.951,0.950,0.950,0.947,0.949
 "22000","Louisiana",5,SAACEmpRatio,137,"...","  Computer systems design ","Ratio",0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
 "22000","Louisiana",5,SAACEmpRatio,138,"...","  Photography and photofinishing services ","Ratio",0.887,0.877,0.875,0.871,0.881,0.894,0.929,(D),0.902,0.910,(D),(D),0.979,0.980,(D),(D),(D),(D),(D),(D),(D)
 "22000","Louisiana",5,SAACEmpRatio,139,"...","  All other design services ","Ratio",0.585,0.536,0.554,0.571,0.589,0.644,0.665,0.734,0.728,0.618,0.607,0.620,0.650,0.649,0.616,0.617,0.619,0.615,0.619,0.613,0.616
 "22000","Louisiana",5,SAACEmpRatio,140,"...","  Fine arts education ","Ratio",0.448,0.441,0.442,0.443,0.441,0.442,0.437,0.437,0.429,0.412,0.403,0.400,0.401,0.401,0.397,0.389,0.391,0.405,0.415,0.427,0.449
 "22000","Louisiana",5,SAACEmpRatio,150,"...","  Education services ","Ratio",0.021,0.021,0.020,0.019,0.018,0.018,0.019,0.019,0.018,0.019,0.018,0.018,0.019,0.021,0.020,0.019,0.025,0.032,0.030,0.030,0.026
 "22000","Louisiana",5,SAACEmpRatio,200,"..."," Supporting arts and cultural production ","Ratio",0.097,0.098,0.097,0.095,0.093,0.091,0.092,0.092,0.084,0.087,0.084,0.089,0.090,0.090,0.090,0.085,0.085,0.086,0.085,0.078,0.081
 "22000","Louisiana",5,SAACEmpRatio,211,"...","  Rental and leasing ","Ratio",0.442,0.424,0.437,0.426,0.398,0.395,0.371,0.349,0.344,0.324,0.301,0.292,0.274,0.257,0.245,0.238,0.233,0.224,0.217,0.215,0.215
 "22000","Louisiana",5,SAACEmpRatio,212,"...","  Grantmaking and giving services ","Ratio",0.031,0.030,0.033,0.030,0.030,0.033,0.033,0.031,0.035,0.035,0.036,0.039,0.039,0.040,0.039,0.040,0.040,0.039,0.040,0.038,0.039
 "22000","Louisiana",5,SAACEmpRatio,213,"...","  Unions ","Ratio",0.028,0.023,0.025,0.024,0.025,0.025,0.023,0.024,0.028,0.027,0.031,0.028,0.033,0.030,0.033,0.029,0.033,0.029,0.033,0.026,0.033
 "22000","Louisiana",5,SAACEmpRatio,214,"...","  Government ","Ratio",0.111,0.113,0.105,0.101,0.096,0.091,0.089,0.085,0.082,0.082,0.083,0.084,0.087,0.090,0.082,0.083,0.088,0.092,0.092,0.088,0.085
 "22000","Louisiana",5,SAACEmpRatio,215,"...","  Other support services ","Ratio",0.019,0.014,0.015,0.016,0.018,0.019,0.020,0.018,0.018,0.016,0.016,0.014,0.015,0.014,0.015,0.015,0.014,0.015,0.015,0.013,0.014
 "22000","Louisiana",5,SAACEmpRatio,221,"...","  Publishing ","Ratio",0.447,0.454,0.471,0.449,0.443,(D),0.446,0.438,0.428,0.423,0.414,0.405,0.392,0.386,0.385,0.373,0.367,0.356,0.345,0.332,0.325
 "22000","Louisiana",5,SAACEmpRatio,222,"...","  Motion pictures ","Ratio",0.984,0.974,0.984,0.986,0.976,0.982,0.979,0.978,0.974,0.973,0.970,0.963,0.961,0.959,0.955,0.954,0.953,0.946,0.941,0.942,0.931
 "22000","Louisiana",5,SAACEmpRatio,223,"...","  Sound recording ","Ratio",1.015,1.016,1.017,(D),(D),(D),1.009,1.001,0.995,0.985,0.999,0.993,0.925,0.914,0.921,0.912,0.918,0.921,0.932,(D),0.937
 "22000","Louisiana",5,SAACEmpRatio,224,"...","  Broadcasting ","Ratio",(D),(D),(D),(D),0.357,0.375,0.393,0.410,0.424,0.454,0.471,0.496,0.499,0.505,0.504,0.506,0.513,0.520,0.516,0.519,0.529
 "22000","Louisiana",5,SAACEmpRatio,225,"...","  Other information services ","Ratio",0.893,0.866,0.872,0.892,0.899,0.899,0.906,0.903,0.899,0.881,0.885,0.886,0.886,0.880,0.877,0.880,0.881,0.871,0.866,0.865,0.874
 "22000","Louisiana",5,SAACEmpRatio,231,"...","  Jewelry and silverware manufacturing ","Ratio",0.898,0.922,0.928,0.934,0.937,0.943,0.958,0.929,0.751,0.717,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "22000","Louisiana",5,SAACEmpRatio,232,"...","  Printed goods manufacturing ","Ratio",(D),(D),(D),0.159,0.160,0.164,0.193,0.197,0.195,0.188,0.181,0.179,0.183,0.177,0.170,0.168,0.177,0.171,0.166,0.157,0.155
 "22000","Louisiana",5,SAACEmpRatio,233,"...","  Musical instruments manufacturing ","Ratio",0.965,(D),(D),0.975,(D),0.968,0.943,0.920,0.897,0.884,(D),(D),(D),(D),(D),(D),(D),(D),(D),0.000,0.000
 "22000","Louisiana",5,SAACEmpRatio,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Ratio",0.072,0.103,0.101,0.095,0.093,0.093,0.129,0.135,0.125,0.124,0.131,0.135,0.141,0.135,0.142,0.150,0.150,0.148,0.143,0.128,0.118
 "22000","Louisiana",5,SAACEmpRatio,236,"...","  Other goods manufacturing ","Ratio",0.120,0.117,0.116,0.108,0.103,0.094,0.115,0.114,0.104,0.104,0.102,0.110,0.106,0.119,0.126,0.120,0.131,0.125,0.137,0.135,(D)
 "22000","Louisiana",5,SAACEmpRatio,240,"...","  Construction ","Ratio",0.214,0.188,0.193,0.145,0.103,0.117,0.125,0.099,0.098,0.122,0.102,0.150,0.091,0.092,0.266,0.194,0.058,0.116,0.145,0.068,0.080
 "22000","Louisiana",5,SAACEmpRatio,250,"...","  Wholesale and transportation industries ","Ratio",0.025,0.026,0.024,0.024,0.023,0.022,0.023,0.024,0.020,0.024,0.025,0.023,0.023,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.023
 "22000","Louisiana",5,SAACEmpRatio,260,"...","  Retail industries ","Ratio",0.042,0.041,0.040,0.040,0.039,0.039,0.040,0.040,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.039,0.039,0.039,0.038,0.041
 "22000","Louisiana",5,SAACEmpRatio,300,"..."," All other industries 2/","Ratio",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,(D),0.001,0.001,0.001,0.001,0.001,0.001,0.001,(D),(D),0.001
"Note: See the included footnote file."
"SAACEmpRatio: Arts employment ratio 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
