GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.046,0.046,0.044,0.042,0.039,0.036,0.035,0.035,0.036,0.035,0.034,0.033,0.033,0.032,0.032,0.032,0.032,0.032,0.032,0.031,0.031
 "30000","Montana",7,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.296,0.288,0.307,0.327,0.324,0.317,0.322,0.318,0.302,0.292,0.288,0.291,0.290,0.286,0.289,0.296,0.300,0.290,0.314,0.289,0.295
 "30000","Montana",7,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.909,0.905,0.916,0.936,0.945,0.956,0.964,0.961,0.967,0.966,0.972,0.971,(D),0.971,0.967,(D),0.971,(D),0.972,0.978,0.969
 "30000","Montana",7,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.822,0.846,0.839,0.821,0.827,0.827,0.836,(D),0.827,0.809,0.791,0.777,0.780,0.780,0.780,0.779,0.783,0.779,0.785,0.782,0.771
 "30000","Montana",7,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.604,0.500,0.497,0.504,0.555,0.600,0.498,0.601,0.602,0.502,0.501,0.501
 "30000","Montana",7,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.907,(D),(D),(D),(D),(D),(D),0.938,0.953,0.966,0.975,0.988,0.987,0.988,0.988,0.990,0.987,0.986,0.987,0.988,0.990
 "30000","Montana",7,SAACEmpRatio,120,"...","  Museums ","Ratio",0.865,0.872,0.884,0.889,0.886,0.911,0.924,0.918,0.916,0.900,0.893,0.897,0.891,0.891,0.889,0.890,(D),0.886,0.883,0.888,0.872
 "30000","Montana",7,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.423,(D),(D),0.354,0.331,(D),(D),(D),(D),(D),(D),0.396,0.396,0.397,(D),(D),(D),0.396,0.396,0.397
 "30000","Montana",7,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.712,0.720,0.725,0.729,0.731,0.735,0.742,0.740,0.739,0.739,0.741,0.741,0.741,0.741,0.742,0.743,0.741,0.742,0.742,0.742
 "30000","Montana",7,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.952,0.946,0.949,0.953,0.955,0.941,0.939,0.948,0.954,0.950,0.946,0.972,0.952,0.965,0.956,0.954,0.968,0.967,0.965,0.962,0.966
