GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.035,0.035,0.033,0.031,0.029,0.028,0.027,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.026,0.025,0.026
 "37000","North Carolina",5,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.276,0.268,0.253,0.243,0.226,0.232,0.228,0.222,0.202,0.196,0.191,0.189,0.192,0.189,0.190,0.188,0.193,0.199,0.204,0.179,0.188
 "37000","North Carolina",5,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.904,0.917,0.935,0.946,0.955,0.964,0.962,0.965,0.968,0.970,0.969,0.970,0.969,0.968,0.968,0.969,0.969,0.972,0.975,0.970
 "37000","North Carolina",5,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.824,0.846,0.838,0.822,0.827,0.831,0.836,0.829,0.828,0.811,0.793,0.781,0.779,0.779,0.777,0.778,0.781,0.780,0.785,0.781,0.774
 "37000","North Carolina",5,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.510,0.512,0.511,0.512,0.507,0.507,0.508,0.514,0.519,0.529,0.534,0.543,0.545,0.539,0.539,0.541,0.541,0.543,0.542,0.541,0.542
 "37000","North Carolina",5,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.903,0.906,0.909,0.914,0.916,0.920,0.925,0.937,0.951,0.963,0.976,0.990,0.989,0.989,0.988,0.988,0.989,0.988,0.990,0.988,0.988
 "37000","North Carolina",5,SAACEmpRatio,120,"...","  Museums ","Ratio",0.867,0.871,0.883,0.891,0.888,0.910,0.923,0.918,0.916,0.901,(D),(D),(D),(D),0.890,0.891,0.884,0.887,0.884,0.889,0.871
 "37000","North Carolina",5,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,0.383,0.354,0.331,0.313,0.327,0.339,0.355,0.370,0.395,0.395,0.396,0.397,0.397,0.396,0.397,0.396,0.396,0.397
 "37000","North Carolina",5,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.713,0.719,0.725,0.730,0.730,0.735,0.741,0.741,0.740,0.740,0.742,0.741,0.742,0.740,0.741,0.742,0.741,0.742,0.742,0.742
 "37000","North Carolina",5,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.948,0.946,0.949,0.953,0.953,0.945,0.942,0.954,0.955,0.956,0.955,0.964,0.964,0.965,0.962,0.962,0.965,0.964,0.964,0.966,0.966
 "37000","North Carolina",5,SAACEmpRatio,134,"...","  Interior design services ","Ratio",0.826,0.791,0.821,0.847,0.868,0.885,0.898,0.910,0.922,0.936,0.945,0.953,0.951,0.951,0.952,0.950,0.951,0.952,0.953,0.953,0.953
 "37000","North Carolina",5,SAACEmpRatio,135,"...","  Industrial design services ","Ratio",1.058,0.984,0.990,0.987,0.986,0.831,0.987,0.983,0.981,0.985,0.986,0.983,0.983,0.983,0.983,0.983,0.984,0.982,0.981,0.980,0.983
 "37000","North Carolina",5,SAACEmpRatio,136,"...","  Graphic design services ","Ratio",0.954,0.948,0.948,0.947,0.946,0.946,0.943,0.946,0.939,0.945,0.948,0.949,0.949,0.948,0.949,0.949,0.950,0.949,0.949,0.948,0.948
 "37000","North Carolina",5,SAACEmpRatio,137,"...","  Computer systems design ","Ratio",0.021,0.020,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
 "37000","North Carolina",5,SAACEmpRatio,138,"...","  Photography and photofinishing services ","Ratio",0.886,0.877,0.874,0.871,0.881,0.894,0.929,0.903,0.902,0.910,(D),(D),(D),(D),0.978,0.979,0.980,0.985,0.983,0.983,0.983
 "37000","North Carolina",5,SAACEmpRatio,139,"...","  All other design services ","Ratio",0.587,0.537,0.552,0.566,0.584,0.641,0.672,0.730,0.727,0.614,0.617,0.615,0.646,0.647,0.615,0.614,0.615,0.614,0.616,0.618,0.613
 "37000","North Carolina",5,SAACEmpRatio,140,"...","  Fine arts education ","Ratio",0.448,0.441,0.442,0.443,0.442,0.442,0.436,0.437,0.429,0.412,0.402,0.400,0.401,0.401,0.397,0.389,0.391,0.405,0.416,0.427,0.450
 "37000","North Carolina",5,SAACEmpRatio,150,"...","  Education services ","Ratio",0.035,0.038,0.037,0.038,0.038,0.038,0.036,0.035,0.034,0.034,0.034,0.032,0.032,0.031,0.031,0.033,0.033,0.033,0.032,0.033,0.032
 "37000","North Carolina",5,SAACEmpRatio,200,"..."," Supporting arts and cultural production ","Ratio",0.092,0.092,0.090,0.087,0.082,0.077,0.072,0.072,0.071,0.070,0.069,0.068,0.068,0.068,0.069,0.070,0.070,0.069,0.069,0.066,0.066
 "37000","North Carolina",5,SAACEmpRatio,211,"...","  Rental and leasing ","Ratio",0.442,0.424,0.437,0.426,0.398,0.395,0.371,0.349,0.344,0.324,0.300,0.291,0.274,0.258,0.246,0.238,0.233,0.224,0.217,0.214,0.215
 "37000","North Carolina",5,SAACEmpRatio,212,"...","  Grantmaking and giving services ","Ratio",0.031,0.031,0.033,0.030,0.030,0.033,0.033,0.030,0.035,0.035,0.036,0.039,0.039,0.039,0.040,0.039,0.040,0.040,0.040,0.038,0.039
 "37000","North Carolina",5,SAACEmpRatio,213,"...","  Unions ","Ratio",0.028,0.024,0.025,0.024,0.025,0.025,0.023,0.025,0.029,0.027,0.031,0.028,0.033,0.030,0.033,0.029,0.033,0.029,0.033,0.026,0.033
 "37000","North Carolina",5,SAACEmpRatio,214,"...","  Government ","Ratio",0.122,0.119,0.107,0.093,0.081,0.072,0.062,0.062,0.061,0.062,0.062,0.062,0.062,0.062,0.063,0.064,0.063,0.062,0.062,0.061,0.060
 "37000","North Carolina",5,SAACEmpRatio,215,"...","  Other support services ","Ratio",0.020,0.014,0.016,0.017,0.017,0.019,0.020,0.019,0.018,0.017,0.016,0.014,0.014,0.014,0.015,0.015,0.014,0.015,0.014,0.015,0.015
 "37000","North Carolina",5,SAACEmpRatio,221,"...","  Publishing ","Ratio",0.447,0.454,0.471,0.449,0.443,0.443,0.446,0.438,0.428,0.422,0.415,0.405,0.392,0.386,0.385,0.373,0.367,0.356,0.345,0.332,0.325
 "37000","North Carolina",5,SAACEmpRatio,222,"...","  Motion pictures ","Ratio",0.984,0.974,0.985,0.986,0.977,0.982,0.979,0.978,0.974,0.973,0.970,0.963,0.961,0.959,0.955,0.953,0.953,(D),(D),0.942,0.931
 "37000","North Carolina",5,SAACEmpRatio,223,"...","  Sound recording ","Ratio",1.015,(D),(D),(D),1.019,(D),1.015,0.998,(D),0.991,0.990,(D),0.920,(D),0.917,0.917,0.921,0.923,0.920,0.918,0.919
 "37000","North Carolina",5,SAACEmpRatio,224,"...","  Broadcasting ","Ratio",0.265,0.287,0.311,0.338,0.357,0.375,0.393,0.410,0.424,0.454,0.471,0.496,0.499,0.505,0.504,0.506,0.513,0.520,0.516,0.519,0.529
 "37000","North Carolina",5,SAACEmpRatio,225,"...","  Other information services ","Ratio",(D),0.865,0.872,0.892,0.898,0.898,0.904,0.905,0.899,0.881,0.884,0.887,0.884,0.881,0.877,0.881,0.879,0.871,0.867,0.866,0.875
 "37000","North Carolina",5,SAACEmpRatio,231,"...","  Jewelry and silverware manufacturing ","Ratio",0.898,0.923,0.930,0.930,0.936,0.939,0.956,0.928,(D),0.720,0.684,0.927,0.928,0.927,0.932,0.933,0.942,0.928,0.912,0.900,0.903
 "37000","North Carolina",5,SAACEmpRatio,232,"...","  Printed goods manufacturing ","Ratio",(D),0.143,0.142,0.159,0.160,0.164,0.193,0.196,0.194,0.188,0.181,0.179,0.183,0.177,0.170,0.168,0.177,0.171,0.166,0.157,0.155
 "37000","North Carolina",5,SAACEmpRatio,233,"...","  Musical instruments manufacturing ","Ratio",0.959,(D),0.968,0.957,(D),(D),0.947,0.906,0.896,0.881,0.887,0.929,0.923,0.928,0.935,0.929,0.930,0.935,0.923,0.912,0.921
 "37000","North Carolina",5,SAACEmpRatio,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Ratio",0.072,0.103,0.100,0.095,0.093,0.094,0.129,0.135,0.125,0.125,0.131,0.135,0.140,0.135,0.142,0.150,0.150,0.148,0.143,0.128,0.118
 "37000","North Carolina",5,SAACEmpRatio,236,"...","  Other goods manufacturing ","Ratio",0.120,0.117,(D),(D),(D),0.095,0.115,0.115,0.104,0.104,(D),(D),(D),0.119,(D),(D),0.131,(D),(D),0.135,0.136
 "37000","North Carolina",5,SAACEmpRatio,240,"...","  Construction ","Ratio",0.153,0.147,0.216,0.237,0.233,0.202,0.141,0.176,0.196,0.140,0.083,0.119,0.167,0.346,0.343,0.222,0.207,0.186,0.139,0.123,0.124
 "37000","North Carolina",5,SAACEmpRatio,250,"...","  Wholesale and transportation industries ","Ratio",0.025,0.026,0.024,0.024,0.023,0.022,0.023,0.024,0.020,0.024,(D),0.023,(D),(D),(D),(D),0.023,0.023,0.023,0.023,0.023
 "37000","North Carolina",5,SAACEmpRatio,260,"...","  Retail industries ","Ratio",0.042,0.041,0.040,0.040,0.039,0.039,0.040,0.040,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.039,0.039,0.039,0.038,0.041
 "37000","North Carolina",5,SAACEmpRatio,300,"..."," All other industries 2/","Ratio",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
"Note: See the included footnote file."
"SAACEmpRatio: Arts employment ratio 1/"
"Last updated: March 15, 2023-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
