GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.042,0.043,0.040,0.039,0.038,0.037,0.035,0.035,0.034,0.034,0.033,0.034,0.034,0.033,0.033,0.033,0.033,0.032,0.033,0.031,0.032
 "33000","New Hampshire",1,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.173,0.175,0.167,0.169,0.171,0.173,0.170,0.164,0.160,0.163,0.163,0.166,0.166,0.160,0.162,0.165,0.165,0.154,0.163,0.140,0.146
 "33000","New Hampshire",1,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.911,0.905,(D),0.935,0.945,0.954,0.964,(D),(D),0.968,(D),(D),(D),(D),(D),(D),(D),0.969,0.972,0.978,(D)
 "33000","New Hampshire",1,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.829,0.846,0.841,0.824,0.827,0.831,0.835,0.830,0.826,0.808,0.794,0.781,0.780,0.778,0.779,0.778,0.781,0.781,0.786,0.779,0.775
 "33000","New Hampshire",1,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.512,0.526,0.474,0.474,0.479,0.532,0.533,0.528,0.531,0.533,0.563,0.523,0.575,0.528,0.550,0.536,0.553,0.533,0.530,0.553,0.532
 "33000","New Hampshire",1,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.907,0.911,0.901,0.924,0.906,0.933,0.926,0.933,0.947,0.964,0.970,0.990,0.993,0.991,0.981,0.988,0.993,0.993,0.991,0.981,0.984
 "33000","New Hampshire",1,SAACEmpRatio,120,"...","  Museums ","Ratio",0.867,0.872,0.883,(D),0.889,0.911,0.924,0.918,0.917,0.901,0.894,0.896,0.892,0.889,0.890,0.892,0.885,0.887,0.884,0.889,0.871
 "33000","New Hampshire",1,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,(D),(D),0.331,0.313,0.327,0.339,(D),0.370,0.395,0.395,0.396,0.398,0.397,0.396,0.396,0.396,0.396,0.397
 "33000","New Hampshire",1,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.712,0.718,0.726,0.731,0.731,0.735,0.740,0.741,0.740,0.739,0.743,0.741,0.741,0.739,0.741,0.742,0.742,0.742,0.742,0.742
 "33000","New Hampshire",1,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.947,0.943,0.947,0.956,0.955,0.947,0.941,0.954,0.954,0.960,0.955,0.965,0.965,0.960,0.962,0.961,0.962,0.966,0.969,0.953,0.960
