GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.044,0.046,0.040,0.038,0.035,0.034,0.036,0.037,0.036,0.036,0.032,0.032,0.032,0.031,0.030,0.031,0.030,0.036,0.036,0.028,0.028
 "32000","Nevada",8,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.518,0.505,0.510,0.495,0.490,0.483,0.478,0.465,0.444,0.427,0.444,0.451,0.436,0.446,0.439,0.437,0.434,0.437,0.441,0.347,0.357
 "32000","Nevada",8,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.904,0.916,0.936,0.946,0.955,0.964,0.962,0.965,0.968,0.971,0.969,0.970,0.970,0.968,0.968,0.969,0.969,0.972,0.976,0.971
 "32000","Nevada",8,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.825,0.847,0.838,0.823,0.827,0.832,0.835,0.829,0.828,0.812,0.794,0.781,0.779,0.779,0.778,0.778,0.781,0.780,0.785,0.781,0.773
 "32000","Nevada",8,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.511,0.511,0.511,0.510,0.510,0.507,0.510,0.513,0.516,0.525,0.536,0.542,0.551,0.545,0.541,0.535,0.544,0.540,0.544,0.539,0.543
 "32000","Nevada",8,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.903,0.905,0.909,0.915,0.916,0.921,0.925,0.936,0.950,0.963,0.977,0.989,0.989,0.989,0.989,0.988,0.989,0.989,0.989,0.989,0.988
 "32000","Nevada",8,SAACEmpRatio,120,"...","  Museums ","Ratio",0.869,0.872,0.884,0.891,0.887,0.909,0.923,0.918,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.871
 "32000","Nevada",8,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,0.383,0.354,0.331,0.313,0.327,0.339,0.355,0.370,0.394,0.395,0.396,0.397,0.397,0.396,0.396,0.396,0.396,0.397
 "32000","Nevada",8,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.713,0.718,0.725,0.730,0.730,0.735,0.741,0.741,0.740,0.740,0.742,0.741,0.742,0.740,0.741,0.742,0.741,0.742,0.742,0.742
 "32000","Nevada",8,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.948,0.951,0.946,0.952,0.951,0.945,0.940,0.953,0.950,0.941,0.962,0.974,0.971,0.975,0.976,0.978,0.964,0.963,0.966,0.962,0.967
 "32000","Nevada",8,SAACEmpRatio,134,"...","  Interior design services ","Ratio",0.826,0.790,0.821,0.849,0.869,0.884,0.898,0.909,0.920,0.937,0.947,0.954,0.952,0.950,0.951,0.952,0.952,0.952,0.952,0.955,0.952
 "32000","Nevada",8,SAACEmpRatio,135,"...","  Industrial design services ","Ratio",(D),(D),(D),0.990,0.974,1.004,0.994,0.980,0.979,0.989,0.982,0.979,0.982,0.980,1.000,0.999,0.977,0.998,1.003,1.003,0.972
