GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "47000","Tennessee",5,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.039,0.039,0.039,0.037,0.037,0.036,0.035,0.035,0.033,0.032,0.031,0.031,0.031,0.030,0.030,0.030,0.030,0.029,0.029,0.027,0.028
 "47000","Tennessee",5,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",0.318,0.314,0.308,0.299,0.326,0.321,0.313,0.305,(D),0.280,0.282,0.274,0.274,0.280,0.280,(D),(D),(D),(D),0.242,0.242
 "47000","Tennessee",5,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.910,0.904,0.917,0.935,0.946,0.955,0.965,0.961,0.965,0.968,0.971,0.969,0.970,0.970,0.968,0.968,0.969,0.969,0.972,(D),(D)
 "47000","Tennessee",5,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",0.824,0.846,0.839,0.822,0.827,0.831,0.836,0.829,0.828,0.810,0.794,0.781,0.780,0.779,0.778,0.779,0.781,0.781,0.785,0.780,0.773
 "47000","Tennessee",5,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.511,0.510,0.509,0.509,0.509,0.508,0.508,0.515,0.522,0.530,0.536,0.541,0.546,0.541,0.541,0.541,0.540,0.541,0.541,0.543,0.541
 "47000","Tennessee",5,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.905,0.907,0.910,0.913,0.916,0.920,0.924,0.937,0.951,0.963,0.977,0.990,0.989,0.989,0.988,0.988,0.989,0.988,0.988,0.988,0.988
 "47000","Tennessee",5,SAACEmpRatio,120,"...","  Museums ","Ratio",0.866,0.871,0.883,0.891,0.888,0.910,0.923,0.918,0.916,0.901,0.894,0.896,0.892,0.890,0.890,0.891,0.884,0.887,0.884,0.888,0.871
 "47000","Tennessee",5,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.418,0.422,0.403,0.383,0.354,0.331,0.313,0.327,0.339,0.355,0.370,0.395,0.395,0.396,0.397,0.396,0.396,0.397,0.396,0.396,0.397
 "47000","Tennessee",5,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.714,0.713,0.719,0.725,0.730,0.730,0.735,0.741,0.741,0.740,0.739,0.742,0.741,0.742,0.740,0.741,0.742,0.741,0.742,0.742,0.742
 "47000","Tennessee",5,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.948,0.947,0.949,0.952,0.953,0.946,0.942,0.954,0.955,0.956,0.955,0.965,0.964,0.965,0.962,0.963,0.965,0.965,0.964,0.967,0.966
