GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,SAACEmpRatio,10,"...","Total arts employment ratio ","Ratio",0.056,0.055,0.055,0.053,0.050,0.047,0.045,0.043,0.044,0.045,0.050,0.044,0.040,0.039,0.039,0.041,0.046,0.042,0.039,0.039,0.040
 "56000","Wyoming",7,SAACEmpRatio,100,"..."," Core arts and cultural production ","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),0.442,0.432,0.424,0.421,0.418,0.419,0.418,0.424,0.439,0.446,0.434,0.415,0.399
 "56000","Wyoming",7,SAACEmpRatio,111,"...","  Performing arts companies ","Ratio",0.915,(D),0.916,0.939,0.947,0.958,0.965,0.959,0.964,0.973,0.970,0.967,0.965,0.972,0.974,0.967,0.968,0.974,0.972,0.977,0.969
 "56000","Wyoming",7,SAACEmpRatio,112,"...","  Promoters of performing arts and similar events ","Ratio",(D),0.844,(D),(D),(D),(D),(D),(D),0.831,0.811,0.795,(D),0.786,0.782,0.775,0.778,0.782,0.780,0.783,0.785,0.772
 "56000","Wyoming",7,SAACEmpRatio,113,"...","  Agents/managers for artists ","Ratio",0.501,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.602,(D),(D),(D)
 "56000","Wyoming",7,SAACEmpRatio,114,"...","  Independent artists, writers, and performers ","Ratio",0.903,0.910,0.913,0.912,0.914,0.923,0.923,0.930,0.944,0.967,0.975,(D),0.988,0.987,0.989,0.987,0.990,0.990,0.988,0.980,0.988
 "56000","Wyoming",7,SAACEmpRatio,120,"...","  Museums ","Ratio",0.868,0.872,0.883,0.893,0.888,0.909,0.924,0.916,0.917,0.899,0.893,0.895,0.893,0.889,0.891,0.891,0.884,0.887,0.883,0.888,0.873
 "56000","Wyoming",7,SAACEmpRatio,131,"...","  Advertising ","Ratio",0.416,0.421,0.402,0.383,0.354,0.331,0.312,0.329,0.342,0.354,0.368,(D),(D),(D),0.396,0.396,(D),(D),0.394,0.398,0.396
 "56000","Wyoming",7,SAACEmpRatio,132,"...","  Architectural services ","Ratio",0.716,0.713,0.718,0.723,0.731,0.730,0.735,0.744,0.740,0.741,0.739,0.743,0.738,0.740,0.742,0.740,0.741,0.743,0.743,0.741,0.740
 "56000","Wyoming",7,SAACEmpRatio,133,"...","  Landscape architectural services ","Ratio",0.946,0.954,0.953,0.955,0.949,0.917,0.951,0.958,(D),0.950,(D),0.956,0.955,0.959,0.958,0.956,0.965,0.955,0.957,0.957,0.964
