GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "05000","Arkansas",5,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",1445536,1460374,1482449,1482587,1478920,1482026,1505086,1537671,1567665,1582826,1579250,1542904,1541250,1561929,1565109,1569358,1587408,1610799,1629734,1639903,1658212,1663920,1639829,1686444,1755536
 "05000","Arkansas",5,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",1175697,1194966,1210817,1207983,1203324,1202285,1215742,1232779,1257489,1259263,1259226,1221315,1219897,1223914,1229571,1231398,1243509,1265002,1280318,1285975,1297140,1308627,1260637,1286046,1331331
 "05000","Arkansas",5,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",269839,265408,271632,274604,275596,279741,289344,304892,310176,323563,320024,321589,321353,338015,335538,337960,343899,345797,349416,353928,361072,355293,379192,400398,424205
 "05000","Arkansas",5,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",50982,49793,49482,49368,45977,44406,43420,42861,41518,43650,43259,42629,42259,41670,40629,40779,40245,39934,39449,38561,38717,38005,37877,37702,37615
 "05000","Arkansas",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",218857,215615,222150,225236,229619,235335,245924,262031,268658,279913,276765,278960,279094,296345,294909,297181,303654,305863,309967,315367,322355,317288,341315,362696,386590
 "05000","Arkansas",5,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",65270,64189,63839,62818,58975,57569,55141,53809,53754,54209,55623,55016,55128,53691,49635,51946,51564,52512,54934,52866,52549,56158,54806,53486,52590
 "05000","Arkansas",5,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",1380266,1396185,1418610,1419769,1419945,1424457,1449945,1483862,1513911,1528617,1523627,1487888,1486122,1508238,1515474,1517412,1535844,1558287,1574800,1587037,1605663,1607762,1585023,1632958,1702946
 "05000","Arkansas",5,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",1179052,1192573,1212302,1210393,1208936,1209876,1232270,1260919,1285365,1298816,1290882,1251801,1249244,1273573,1279907,1283489,1303433,1326909,1345447,1360205,1379279,1382622,1362963,1413538,1482274
 "05000","Arkansas",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",17495,16910,15960,15147,15938,14380,14971,14899,14443,14424,14359,13704,13899,13877,14517,14435,14749,14380,14511,14488,14761,14404,14458,14171,14226
 "05000","Arkansas",5,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",7248,7266,6662,6087,(D),5716,(D),5949,(D),(D),5095,4408,4160,4231,(D),(D),(D),(D),4889,4405,4526,4378,4273,4006,3749
 "05000","Arkansas",5,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),765,(D),703,(D),890,(D),(D),856,836,827,790,(D),(D),(D),(D),856,790,858,924,878,865,850
 "05000","Arkansas",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",9201,8706,8405,8295,8929,7961,8325,8060,7941,8249,8408,8460,8912,8856,8994,8839,9294,8715,8766,9293,9377,9102,9307,9300,9627
