GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "13000","Georgia",5,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",4607959,4728750,4860810,4871814,4858410,4895367,5021804,5195948,5358151,5490802,5451004,5247101,5211443,5325710,5384734,5497190,5671135,5832928,5973764,6128089,6287460,6398989,6326647,6639656,6971461
 "13000","Georgia",5,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",3929292,4043055,4132965,4122141,4075568,4054518,4114277,4206882,4297719,4353313,4313245,4074967,4028123,4066373,4123207,4199951,4319507,4439059,4554072,4646146,4724963,4819837,4604905,4771619,4988559
 "13000","Georgia",5,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",678667,685695,727845,749673,782842,840849,907527,989066,1060432,1137489,1137759,1172134,1183320,1259337,1261527,1297239,1351628,1393869,1419692,1481943,1562497,1579152,1721742,1868037,1982902
 "13000","Georgia",5,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",51283,51110,51188,50229,44316,42935,41856,41943,41231,40101,38996,37859,37197,36666,35401,35828,35357,35566,36186,35768,35285,34693,34606,34523,34525
 "13000","Georgia",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",627384,634585,676657,699444,738526,797914,865671,947123,1019201,1097388,1098763,1134275,1146123,1222671,1226126,1261411,1316271,1358303,1383506,1446175,1527212,1544459,1687136,1833514,1948377
 "13000","Georgia",5,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",70537,67651,67343,65868,60749,59672,58608,61840,56907,55785,56328,54359,50833,51504,51607,51079,51971,51764,55351,60487,51760,53343,56115,56317,57015
 "13000","Georgia",5,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",4537422,4661099,4793467,4805946,4797661,4835695,4963196,5134108,5301244,5435017,5394676,5192742,5160610,5274206,5333127,5446111,5619164,5781164,5918413,6067602,6235700,6345646,6270532,6583339,6914446
 "13000","Georgia",5,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",3857999,3980984,4098580,4098709,4070661,4098995,4218073,4378102,4530199,4646939,4585715,4391426,4363566,4490758,4555770,4676005,4854701,5014587,5146376,5289006,5454307,5557624,5492889,5815940,6145949
 "13000","Georgia",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",24378,23552,22912,21928,22046,20685,21322,21900,22364,22293,22465,21812,22542,23176,24398,25098,25807,25679,25668,25351,25897,25224,25611,25751,26121
 "13000","Georgia",5,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",9371,9140,8687,8431,8344,8002,8405,8862,8853,8759,8453,7731,7586,7808,8371,8715,8510,8927,8889,8170,8211,7954,8022,7742,7471
 "13000","Georgia",5,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",2143,2117,2456,2135,1730,1504,1705,1712,1776,1809,1790,1689,1711,1662,1630,1720,1746,1700,1734,1708,1705,1797,1864,1890,1924
 "13000","Georgia",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",12864,12295,11769,11362,11972,11179,11212,11326,11735,11725,12222,12392,13245,13706,14397,14663,15551,15052,15045,15473,15981,15473,15725,16119,16726
 "13000","Georgia",5,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",9957,9744,9594,9720,8990,9314,8998,9004,9432,9826,9799,9044,9924,8962,10604,10831,10419,10513,10904,9811,8671,8246,8642,8925,9318
 "13000","Georgia",5,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),1566,(D),(D),(D),(D),(D),(D),(D),(D),(D),4518,4642,3237,2376,1992,2043,2264,2402
 "13000","Georgia",5,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",8453,8253,8187,7929,7471,7239,7084,(D),6988,7140,6135,5320,5344,5294,5779,5428,5458,5380,5530,5714,5515,5505,5696,5815,6085
 "13000","Georgia",5,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),615,732,860,780,749,903,846,831
 "13000","Georgia",5,SAEMP25N,300,"22","   Utilities ","Number of jobs",20029,20611,20376,21185,21006,21001,20904,20609,21011,21658,22308,21605,20878,20869,20695,20735,20746,21395,22212,20763,20296,20694,21093,21077,21583
 "13000","Georgia",5,SAEMP25N,400,"23","   Construction ","Number of jobs",280724,298813,306031,312870,301770,312664,327982,351289,368437,370663,342298,296002,268877,265088,262060,269789,284668,292251,312832,321307,343332,352311,370467,373434,388426
 "13000","Georgia",5,SAEMP25N,401,"236","    Construction of buildings ","Number of jobs",60311,66569,67536,71262,70347,66450,71054,76313,81105,79845,73437,62045,56442,53301,55393,57575,60564,66637,67924,69510,75184,77733,84498,85485,89608
 "13000","Georgia",5,SAEMP25N,402,"237","    Heavy and civil engineering construction ","Number of jobs",31224,35404,36573,36339,36601,37443,37540,39481,42571,43645,38489,32988,29256,27618,26532,26218,27464,27878,32593,34244,39587,40796,40866,39999,40682
 "13000","Georgia",5,SAEMP25N,403,"238","    Specialty trade contractors ","Number of jobs",189189,196840,201922,205269,194822,208771,219388,235495,244761,247173,230372,200969,183179,184169,180135,185996,196640,197736,212315,217553,228561,233782,245103,247950,258136
 "13000","Georgia",5,SAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",554195,548441,538010,519607,487828,463810,462222,462342,462597,448927,425991,376623,361943,369796,373673,378913,388706,400277,412409,421894,433162,435550,416523,425727,446773
 "13000","Georgia",5,SAEMP25N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",242147,244084,242993,237363,220293,208403,209878,215034,216836,210468,198249,170969,164719,171942,177052,182716,187815,194712,201552,207163,214214,215545,204764,211598,223129
 "13000","Georgia",5,SAEMP25N,511,"321","     Wood product manufacturing ","Number of jobs",32101,32808,31235,28154,27023,24724,25629,26942,26733,24850,21194,17167,15809,(D),16117,16886,17560,18381,19029,20493,21909,21961,21693,22455,23160
 "13000","Georgia",5,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",19266,19791,19840,20234,19807,19716,20482,20912,22121,22029,19583,15922,15513,15397,14921,14982,15291,16427,17249,16732,17493,17078,16278,16272,17256
 "13000","Georgia",5,SAEMP25N,513,"331","     Primary metal manufacturing ","Number of jobs",13100,12383,12690,11866,8456,7980,8173,7498,7028,6848,6381,5690,5947,6711,7352,7348,7386,7284,7426,7532,8091,8560,7586,7866,8479
 "13000","Georgia",5,SAEMP25N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",29747,30225,30177,29722,26998,26300,26655,28012,29191,29820,28558,24217,22896,24055,25378,26872,28239,29358,30492,31378,32987,34271,33561,34376,35677
 "13000","Georgia",5,SAEMP25N,515,"333","     Machinery manufacturing ","Number of jobs",28893,28760,28593,27359,25178,24549,23825,24988,25114,24996,24218,21627,20283,21009,21401,21808,21889,22654,22306,22878,23619,23734,23076,24445,26436
 "13000","Georgia",5,SAEMP25N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",22685,22938,22127,20342,17475,14360,13605,14216,14052,13902,13407,11601,11174,11394,11624,11859,11303,11267,10987,10749,11397,11317,10519,10126,10668
 "13000","Georgia",5,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",19470,19660,20070,19527,18775,16836,16577,16130,15346,14234,14077,12935,11464,11694,12001,12706,13061,13191,13658,14933,14589,14614,14117,15240,16097
 "13000","Georgia",5,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",23118,23721,23820,23591,22675,20992,21342,21341,21360,(D),15652,12553,14034,(D),(D),(D),21789,23026,25408,26889,27475,28245,24948,26146,28645
 "13000","Georgia",5,SAEMP25N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",18423,18783,19330,23414,22183,21962,23499,24280,24830,(D),25747,23783,23622,25219,(D),(D),25753,26756,26469,27056,27888,27465,25669,26095,27006
 "13000","Georgia",5,SAEMP25N,521,"337","     Furniture and related product manufacturing ","Number of jobs",17537,17512,17600,16467,15576,14901,14774,14981,15661,15287,14266,11255,10432,10308,10164,10944,11131,11586,12421,12430,12592,12525,11957,12394,12712
 "13000","Georgia",5,SAEMP25N,522,"339","     Miscellaneous manufacturing ","Number of jobs",17807,17503,17511,16687,16147,16083,15317,15734,15400,15800,15166,14219,13545,13836,14064,14090,14413,14782,16107,16093,16174,15775,15360,16183,16993
 "13000","Georgia",5,SAEMP25N,530,"311-316,322-326","    Nondurable goods manufacturing ","Number of jobs",312048,304357,295017,282244,267535,255407,252344,247308,245761,238459,227742,205654,197224,197854,196621,196197,200891,205565,210857,214731,218948,220005,211759,214129,223644
 "13000","Georgia",5,SAEMP25N,531,"311","     Food manufacturing ","Number of jobs",68958,70901,68416,68622,67955,66600,66197,67193,69239,69990,68342,64984,63205,64318,65449,64771,65927,67875,69401,71478,71683,74083,73585,73145,76053
 "13000","Georgia",5,SAEMP25N,532,"312","     Beverage and tobacco product manufacturing ","Number of jobs",6770,6311,6639,7025,6440,6138,5553,4760,3990,3836,3572,3597,3426,3807,4226,4322,4266,4195,6553,6344,6670,6830,7116,7846,8647
 "13000","Georgia",5,SAEMP25N,533,"313","     Textile mills ","Number of jobs",58542,55366,52620,45483,40603,37336,36263,33478,31539,26907,24117,19586,19295,19565,19118,19159,20185,20100,19878,20097,20380,19085,16460,16733,17264
 "13000","Georgia",5,SAEMP25N,534,"314","     Textile product mills ","Number of jobs",43945,43088,42743,42091,41419,39627,39951,39742,39578,39712,36941,32108,30094,28873,27491,26910,28064,28997,29052,29653,29595,28854,25921,26338,27040
 "13000","Georgia",5,SAEMP25N,535,"315","     Apparel manufacturing ","Number of jobs",24861,19814,16616,13904,11001,9648,8847,8047,7029,6070,5257,4813,4452,4180,4472,4350,3981,3857,3786,3645,3426,3738,4148,4562,4900
 "13000","Georgia",5,SAEMP25N,536,"316","     Leather and allied product manufacturing ","Number of jobs",679,542,636,598,495,203,186,185,203,155,212,247,228,290,297,231,309,467,463,511,593,658,539,440,507
