GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",732684,747188,776910,783399,791317,800916,825332,861531,899836,929492,921093,880489,868683,878537,883162,903016,925548,949392,976719,1007831,1041387,1063687,1077864,1137618,1190624
 "16000","Idaho",7,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",564673,580625,604213,610828,612915,617086,632993,654849,682740,699033,691220,649650,642642,646369,652210,667785,685333,703879,726723,749669,773803,799468,791826,832961,865816
 "16000","Idaho",7,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",168011,166563,172697,172571,178402,183830,192339,206682,217096,230459,229873,230839,226041,232168,230952,235231,240215,245513,249996,258162,267584,264219,286038,304657,324808
 "16000","Idaho",7,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",24536,24451,24595,24539,24868,23888,23223,23036,22450,22472,22578,22951,22805,22683,22299,22430,22569,22809,22884,22901,22807,22238,22317,22307,22127
 "16000","Idaho",7,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",143475,142112,148102,148032,153534,159942,169116,183646,194646,207987,207295,207888,203236,209485,208653,212801,217646,222704,227112,235261,244777,241981,263721,282350,302681
 "16000","Idaho",7,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",40474,39263,41934,40625,41226,39439,38975,38190,37728,36981,37865,37293,37294,39387,38804,38812,40192,39810,40099,43552,41457,41731,40600,38657,40378
 "16000","Idaho",7,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",692210,707925,734976,742774,750091,761477,786357,823341,862108,892511,883228,843196,831389,839150,844358,864204,885356,909582,936620,964279,999930,1021956,1037264,1098961,1150246
 "16000","Idaho",7,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",581064,593477,617149,623664,628584,638107,661614,698300,736496,765539,754473,714358,702794,712310,717825,737516,757831,780202,805102,830671,864468,884762,903460,964937,1015273
 "16000","Idaho",7,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",15862,14701,13600,12088,12690,11959,12283,12368,12079,12385,12456,11898,11958,11898,12281,12688,13128,13004,13042,13176,13462,13160,13289,13560,13753
 "16000","Idaho",7,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",4003,3937,3548,3377,3253,2922,3238,3263,3064,3020,2666,2132,2072,2146,2342,2514,2407,2581,2576,2330,2409,2212,2128,2141,1990
 "16000","Idaho",7,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),463,557,486,619,605,639,629,658,624,578,532,568,638,664,587,606,635,689,745,682,776,785
 "16000","Idaho",7,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",11236,10155,9469,8248,8880,8551,8426,8500,8376,8736,9132,9142,9308,9220,9371,9536,10057,9836,9860,10211,10364,10203,10479,10643,10978
 "16000","Idaho",7,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",3845,3456,3289,3022,2597,2882,2872,3035,3438,4198,4518,3810,4409,4548,6233,5381,5077,5333,5430,5105,4305,3989,4380,4652,4833
 "16000","Idaho",7,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),478,566,(D),827,1117,994,1385,1448,1331,1456,1517,1100,883,811,732,811,861
 "16000","Idaho",7,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",3364,2988,2831,2522,2122,2277,2329,2429,2679,3222,3203,2637,2799,2990,4075,3314,3089,3147,3277,3455,2922,2744,3184,3364,3464
 "16000","Idaho",7,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),281,410,(D),346,493,564,773,619,657,730,636,550,500,434,464,477,508
 "16000","Idaho",7,SAEMP25N,300,"22","   Utilities ","Number of jobs",1920,1888,1899,1944,2030,2011,2035,2137,2219,2319,2437,2316,2956,2960,3000,2998,3088,3260,3428,3210,3265,3226,3228,3305,3415
 "16000","Idaho",7,SAEMP25N,400,"23","   Construction ","Number of jobs",52174,54367,56130,58043,56843,58523,63690,72523,80945,81496,72294,59267,53502,50743,50719,53780,56037,58159,63339,67305,72876,77075,82330,86708,93405
 "16000","Idaho",7,SAEMP25N,401,"236","    Construction of buildings ","Number of jobs",11439,12190,12877,13828,13717,13122,14191,16700,19297,19099,16553,13048,11566,10873,11250,11976,12638,13786,14404,15498,17093,17991,19355,20348,22408
 "16000","Idaho",7,SAEMP25N,402,"237","    Heavy and civil engineering construction ","Number of jobs",6657,7079,7461,7553,7864,7061,7006,7515,7960,8609,7905,7193,6731,6181,6108,5691,5577,5345,5797,6248,6596,7394,7847,8382,8833
 "16000","Idaho",7,SAEMP25N,403,"238","    Specialty trade contractors ","Number of jobs",34078,35098,35792,36662,35262,38340,42493,48308,53688,53788,47836,39026,35205,33689,33361,36113,37822,39028,43138,45559,49187,51690,55128,57978,62164
 "16000","Idaho",7,SAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",72009,73140,74262,72476,68877,66122,66397,67326,70585,71533,67910,60588,58442,60205,62227,65413,65910,68051,70898,73230,74737,74942,74577,76591,79937
 "16000","Idaho",7,SAEMP25N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",45529,46571,47544,45728,43064,40997,41946,43714,46139,46029,41816,35051,33484,35129,36323,38129,38375,39961,41784,42721,43963,43561,42987,44311,46235
 "16000","Idaho",7,SAEMP25N,511,"321","     Wood product manufacturing ","Number of jobs",10094,10015,9325,8364,8069,7897,7905,8265,8807,8439,6975,5357,5065,5376,5723,6278,6187,6368,6898,7083,7338,7491,7266,7478,7551
 "16000","Idaho",7,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",1525,1579,1538,1542,1602,1596,1661,1728,1930,1970,1795,1528,1457,1419,1314,1387,1366,1416,1529,1615,1885,2058,1968,2141,2211
 "16000","Idaho",7,SAEMP25N,513,"331","     Primary metal manufacturing ","Number of jobs",300,(T),343,368,333,371,417,485,558,627,677,722,750,843,761,781,827,797,783,700,598,664,633,546,541
 "16000","Idaho",7,SAEMP25N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",4565,4553,4604,4435,4138,3969,4127,4479,5026,5252,5195,5003,4971,5222,5373,5988,6143,6499,6675,6699,6666,6448,6651,7319,7804
 "16000","Idaho",7,SAEMP25N,515,"333","     Machinery manufacturing ","Number of jobs",3218,3173,3458,3272,3079,2923,2813,2916,3243,3282,3450,3091,2834,2970,3003,3270,3271,3367,3493,3621,3748,3810,3965,4273,4991
 "16000","Idaho",7,SAEMP25N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",17742,18525,19690,19715,18024,16383,16839,16808,16759,16335,14430,11225,10703,11324,11728,11420,11696,12089,12347,12400,12899,12351,11543,11000,11313
 "16000","Idaho",7,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",516,550,645,572,428,425,484,577,607,618,625,710,689,765,894,1019,985,1076,1209,1415,1399,1451,1501,1623,1935
 "16000","Idaho",7,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",1808,1971,2000,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2914,(D)
 "16000","Idaho",7,SAEMP25N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",634,658,667,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1072,(D)
 "16000","Idaho",7,SAEMP25N,521,"337","     Furniture and related product manufacturing ","Number of jobs",2624,2736,2803,2851,2678,2626,2755,2888,3078,2817,2537,2018,1810,1814,1772,1980,2019,1983,2086,2062,2242,2226,2246,2380,2374
 "16000","Idaho",7,SAEMP25N,522,"339","     Miscellaneous manufacturing ","Number of jobs",2503,2514,2471,2339,2527,2577,2542,2713,2891,2994,2764,2756,2655,2762,2802,2887,2929,3173,3436,3510,3396,3346,3478,3565,3585
 "16000","Idaho",7,SAEMP25N,530,"311-316,322-326","    Nondurable goods manufacturing ","Number of jobs",26480,26569,26718,26748,25813,25125,24451,23612,24446,25504,26094,25537,24958,25076,25904,27284,27535,28090,29114,30509,30774,31381,31590,32280,33702
 "16000","Idaho",7,SAEMP25N,531,"311","     Food manufacturing ","Number of jobs",16614,16811,16715,17073,16707,16182,15371,14489,14907,15605,16211,16193,15855,15771,16157,16976,17078,17411,18031,19240,19435,19877,19819,20125,20742
 "16000","Idaho",7,SAEMP25N,532,"312","     Beverage and tobacco product manufacturing ","Number of jobs",473,499,500,515,527,505,515,499,489,545,608,623,649,689,742,769,876,965,1076,1148,1209,1253,1332,1548,1693
 "16000","Idaho",7,SAEMP25N,533,"313","     Textile mills ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),64,(D),(D),72,(D),90,(D),(D),(D),71,71,61,69,70,62,(D),69,70
 "16000","Idaho",7,SAEMP25N,534,"314","     Textile product mills ","Number of jobs",(T),(T),(T),253,271,263,255,269,240,280,248,229,242,248,280,265,303,320,316,334,356,327,344,368,394
 "16000","Idaho",7,SAEMP25N,535,"315","     Apparel manufacturing ","Number of jobs",(T),(T),(T),407,399,354,460,454,538,597,575,654,659,607,756,856,844,877,756,633,509,545,640,669,716
 "16000","Idaho",7,SAEMP25N,536,"316","     Leather and allied product manufacturing ","Number of jobs",(T),(T),(T),197,229,219,218,215,220,215,252,239,242,281,299,209,229,252,226,282,301,331,334,236,199
 "16000","Idaho",7,SAEMP25N,537,"322","     Paper manufacturing ","Number of jobs",1831,1845,1926,1702,1691,1640,1615,1597,1640,1712,1644,1552,1562,1577,1630,1872,1868,1949,1934,1878,1850,1860,1867,1849,2281
 "16000","Idaho",7,SAEMP25N,538,"323","     Printing and related support activities ","Number of jobs",2692,2549,2672,2460,2283,2263,2188,2162,2198,2209,2101,1814,1684,1627,1567,1560,1573,1491,1585,1609,1608,1609,1606,1640,1810
 "16000","Idaho",7,SAEMP25N,539,"324","     Petroleum and coal products manufacturing ","Number of jobs",55,54,62,(D),(D),(D),(D),32,(D),(D),33,(D),39,(D),(D),(D),52,70,77,70,77,90,(D),59,60
 "16000","Idaho",7,SAEMP25N,541,"325","     Chemical manufacturing ","Number of jobs",2410,2361,2214,2410,2025,1954,1996,2040,2250,2378,2578,2475,2376,2595,2699,2787,2741,2733,2951,3137,3250,3185,3283,3486,3460
 "16000","Idaho",7,SAEMP25N,542,"326","     Plastics and rubber products manufacturing ","Number of jobs",1501,1573,1705,1663,1610,1687,1762,1791,1863,1864,1772,1625,1560,1551,1642,1871,1900,1951,2101,2109,2109,2242,2242,2231,2277
 "16000","Idaho",7,SAEMP25N,600,"42","   Wholesale trade ","Number of jobs",25851,26797,27695,27950,27316,26835,27563,29493,29928,31009,30561,29112,28606,29355,30016,31401,33456,33856,31656,31837,32684,33748,34270,36634,38945
 "16000","Idaho",7,SAEMP25N,700,"44-45","   Retail trade ","Number of jobs",93538,92645,95582,93453,94055,95554,96787,101091,105101,109181,107120,101051,98085,99180,100160,101935,104248,108193,109055,111581,112125,111719,113136,118582,122917
 "16000","Idaho",7,SAEMP25N,701,"441","    Motor vehicle and parts dealers ","Number of jobs",11412,11511,11638,11532,11991,12073,12547,12975,13248,14008,13532,11809,11734,11754,11891,12214,12738,13504,14164,15000,15275,15095,14531,15135,15486
 "16000","Idaho",7,SAEMP25N,702,"442","    Furniture and home furnishings stores ","Number of jobs",2777,2863,3045,2875,2911,2831,2949,3191,3609,3594,3364,2723,2560,2483,2368,2410,2523,2496,2525,2554,2644,2756,2662,2887,(D)
 "16000","Idaho",7,SAEMP25N,703,"443","    Electronics and appliance stores ","Number of jobs",2700,3153,3417,2965,2843,2880,2982,3128,2988,3079,2894,2695,2739,3189,2944,2832,2848,2913,2706,2408,2464,2614,2353,2303,(D)
 "16000","Idaho",7,SAEMP25N,704,"444","    Building material and garden equipment and supplies dealers ","Number of jobs",7635,8129,8264,7904,8256,8155,8938,9582,10266,10147,9051,7588,7199,6822,6896,7242,7463,7909,8379,8664,9111,9251,9979,10560,10791
 "16000","Idaho",7,SAEMP25N,705,"445","    Food and beverage stores ","Number of jobs",13920,14288,14528,13948,13436,13251,12888,12942,13368,13437,14137,13482,12858,12670,13013,13346,13678,14146,14295,14997,15033,15777,16708,17067,17836
 "16000","Idaho",7,SAEMP25N,706,"446","    Health and personal care stores ","Number of jobs",3312,3203,3454,3652,3926,4130,4169,4186,4386,4518,4429,4165,4046,4357,4342,4392,4415,4673,4781,4898,4969,4908,4905,5518,(D)
 "16000","Idaho",7,SAEMP25N,707,"447","    Gasoline stations ","Number of jobs",5942,5888,5816,5664,5582,5490,5308,5445,5742,5839,5964,5866,6114,6021,6268,6378,6489,6636,6581,6876,7027,7117,7120,7455,(D)
 "16000","Idaho",7,SAEMP25N,708,"448","    Clothing and clothing accessories stores ","Number of jobs",4358,4314,4362,4507,4449,4461,4521,4722,5098,5664,5753,5352,5210,4852,5090,5107,4903,4887,4895,5469,5583,5449,4731,4594,(D)
 "16000","Idaho",7,SAEMP25N,709,"451","    Sporting goods, hobby, musical instrument, and book stores ","Number of jobs",5869,5577,5792,5563,5551,5711,5733,5656,5809,6155,6298,6033,5815,5503,5336,5623,5775,5980,6098,6016,6023,5771,5783,6299,(D)
 "16000","Idaho",7,SAEMP25N,711,"452","    General merchandise stores ","Number of jobs",12253,12303,13681,14664,15028,15374,15692,16309,16649,17581,17338,16995,16264,16888,17304,17225,17714,18097,18413,17244,17169,16889,17448,18367,(D)
 "16000","Idaho",7,SAEMP25N,712,"453","    Miscellaneous store retailers ","Number of jobs",8873,8693,8873,9168,8953,9163,9171,9211,9635,10413,10073,10183,9961,9936,9876,10194,10756,10870,11398,11084,10708,10543,10092,10760,(D)
 "16000","Idaho",7,SAEMP25N,713,"454","    Nonstore retailers ","Number of jobs",14487,12723,12712,11011,11129,12035,11889,13744,14303,14746,14287,14160,13585,14705,14832,14972,14946,16082,14820,16371,16119,15549,16824,17637,(D)
 "16000","Idaho",7,SAEMP25N,800,"48-49","   Transportation and warehousing ","Number of jobs",21911,22043,22892,22572,22542,22409,22958,23829,24937,26127,25912,25113,24954,25678,26350,26468,26817,28784,28810,30588,33217,35685,39462,48178,50967
 "16000","Idaho",7,SAEMP25N,801,"481","    Air transportation ","Number of jobs",1050,1050,1082,1162,1002,1042,1059,1093,1120,1075,1049,1034,1024,1008,1049,1125,1151,1204,1219,1392,1641,1706,1595,1785,1835
 "16000","Idaho",7,SAEMP25N,802,"482","    Rail transportation ","Number of jobs",1552,1482,1386,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1395,1412,1461,(D),1350,1351,1284,1167,1121,1151
 "16000","Idaho",7,SAEMP25N,803,"483","    Water transportation ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),44,(D),37,30,128,(D),(D),(D),(D),44,(D),(D),(D),(D),(D),(D)
 "16000","Idaho",7,SAEMP25N,804,"484","    Truck transportation ","Number of jobs",11392,11502,12245,11999,12061,11839,12289,12720,13222,13862,13267,12932,12949,13512,13802,13789,14103,14781,14238,14398,14722,15136,15378,15724,16016
 "16000","Idaho",7,SAEMP25N,805,"485","    Transit and ground passenger transportation ","Number of jobs",1708,1731,1752,1821,1947,1961,1953,2045,2174,2314,2467,2431,2359,2287,2321,2337,2615,3169,4096,5135,5750,6050,5072,5167,4869
 "16000","Idaho",7,SAEMP25N,806,"486","    Pipeline transportation ","Number of jobs",(T),(T),(T),74,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),77,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16000","Idaho",7,SAEMP25N,807,"487","    Scenic and sightseeing transportation ","Number of jobs",(T),(T),(T),316,321,344,365,361,363,441,487,427,365,347,363,339,291,277,(D),(D),134,166,149,191,191
 "16000","Idaho",7,SAEMP25N,808,"488","    Support activities for transportation ","Number of jobs",1689,1755,1788,1532,1574,1461,1510,1576,1656,1848,1902,1902,1874,2007,1997,1945,1961,2245,2092,2376,2504,2544,2624,2784,3198
 "16000","Idaho",7,SAEMP25N,809,"492","    Couriers and messengers ","Number of jobs",2637,2627,2799,2856,2820,2874,2902,2960,3248,3374,3269,2999,2856,2918,3030,3140,3087,3279,3340,3674,4702,6187,10778,18554,20900
 "16000","Idaho",7,SAEMP25N,811,"493","    Warehousing and storage ","Number of jobs",1398,1427,1338,1504,1546,1634,1554,1648,1706,1729,1953,1993,2155,2059,2279,2248,2090,2253,2139,2056,2318,2510,2612,2743,2693
 "16000","Idaho",7,SAEMP25N,900,"51","   Information ","Number of jobs",10803,11021,11519,11528,10889,11001,11879,12906,13863,14404,14542,13166,12640,12176,11971,12030,12078,11904,11949,12099,11948,11585,10442,11755,12888
 "16000","Idaho",7,SAEMP25N,901,"511","    Publishing industries (except Internet) ","Number of jobs",3879,3837,3965,3913,3618,3791,3829,4031,3995,4087,4121,3700,3629,3626,3562,3560,3462,3321,3263,3234,3134,2941,3115,3482,(D)
 "16000","Idaho",7,SAEMP25N,902,"512","    Motion picture and sound recording industries ","Number of jobs",1064,973,920,969,932,959,1035,1230,1239,1188,1260,1162,1144,1125,1106,1069,1038,1145,1167,1232,1297,1278,919,1091,1398
 "16000","Idaho",7,SAEMP25N,903,"515","    Broadcasting (except Internet) ","Number of jobs",1746,1712,1761,1753,1724,1671,1725,1791,1797,1900,1840,1748,1654,1606,1517,1499,1486,1444,1508,1553,1485,1436,1400,1400,(D)
 "16000","Idaho",7,SAEMP25N,904,"516","    Internet publishing and broadcasting 3/","Number of jobs",(T),(T),(T),83,77,120,133,158,173,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "16000","Idaho",7,SAEMP25N,905,"517","    Telecommunications ","Number of jobs",3104,3539,3905,3938,3727,3636,4251,4670,5388,5692,5689,4969,4526,4133,3906,3784,3860,3682,3920,3766,3701,3480,2773,3211,3331
 "16000","Idaho",7,SAEMP25N,906,"518","    Data processing, hosting, and related services ","Number of jobs",772,742,750,738,647,640,709,800,892,787,741,742,851,787,865,941,1033,1031,986,1046,1069,1115,1108,1316,1609
 "16000","Idaho",7,SAEMP25N,907,"519","    Other information services 3/","Number of jobs",(T),(T),(T),134,164,184,197,226,379,750,891,845,836,899,1015,1177,1199,1281,1105,1268,1262,1335,1127,1255,1250
 "16000","Idaho",7,SAEMP25N,1000,"52","   Finance and insurance ","Number of jobs",26816,26657,27134,26965,27759,28603,29010,30854,32527,35349,37454,38914,37363,39902,38454,38701,37826,38929,40870,41113,43511,42983,47748,52156,57109
 "16000","Idaho",7,SAEMP25N,1001,"521","    Monetary Authorities-central bank ","Number of jobs",0,0,0,0,0,0,0,(D),(D),(D),(D),(D),11,0,(D),6,7,0,(D),(D),(D),9,17,15,34
