GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "21000","Kentucky",5,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",2223896,2264164,2306481,2283616,2263400,2273294,2300562,2337786,2374793,2414775,2402305,2324874,2325641,2367868,2389067,2407581,2439916,2473925,2498703,2520120,2546178,2549943,2471693,2558304,2658979
 "21000","Kentucky",5,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",1836220,1876601,1909887,1884751,1864868,1865311,1881137,1904633,1930587,1951521,1943714,1862239,1864354,1884536,1908668,1923035,1948844,1978759,1996982,2011147,2025522,2039140,1931664,1995282,2062126
 "21000","Kentucky",5,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",387676,387563,396594,398865,398532,407983,419425,433153,444206,463254,458591,462635,461287,483332,480399,484546,491072,495166,501721,508973,520656,510803,540029,563022,596853
 "21000","Kentucky",5,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",95869,95994,95288,92441,83906,80692,76935,75720,74111,74625,73414,72174,71511,70786,69151,69439,69585,69557,69125,68578,68403,67326,66810,66480,65949
 "21000","Kentucky",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",291807,291569,301306,306424,314626,327291,342490,357433,370095,388629,385177,390461,389776,412546,411248,415107,421487,425609,432596,440395,452253,443477,473219,496542,530904
 "21000","Kentucky",5,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",111635,112620,111911,110018,100705,101509,96919,91250,89393,89299,87560,84820,84173,84789,83933,83082,84200,86189,82824,84279,83820,82337,81908,81866,82385
 "21000","Kentucky",5,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",2112261,2151544,2194570,2173598,2162695,2171785,2203643,2246536,2285400,2325476,2314745,2240054,2241468,2283079,2305134,2324499,2355716,2387736,2415879,2435841,2462358,2467606,2389785,2476438,2576594
 "21000","Kentucky",5,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",1783116,1816827,1848633,1825821,1817979,1826294,1857268,1895242,1927674,1962774,1948101,1869100,1861984,1905497,1933772,1957092,1993172,2030056,2062234,2082624,2107402,2114551,2047517,2137332,2234290
 "21000","Kentucky",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",15187,14874,14231,13387,13486,12335,12552,12730,12779,13095,13437,13151,12824,12857,12984,13133,13538,13160,13313,13152,13522,13407,13419,13379,13745
 "21000","Kentucky",5,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",3002,3063,2744,(D),(D),(D),(D),(D),2456,2338,(D),(D),(D),(D),(D),2242,(D),2358,(D),2002,2038,1919,1806,1695,1649
 "21000","Kentucky",5,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),616,608,(D),(D),(D),(D),(D),578,(D),533,(D),561,587,633,615,583,578
 "21000","Kentucky",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",11375,11079,10780,10183,10392,9658,9647,9627,9707,10149,10527,10663,10619,10517,10243,10313,10773,10269,10381,10589,10897,10855,10998,11101,11518
 "21000","Kentucky",5,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",25332,24043,21662,22973,22582,22515,22663,24622,26833,26726,30348,29660,29816,29329,30396,27188,25497,23668,20657,18279,15981,15017,12196,12595,13356
