GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",3896096,3962492,4070320,4075959,4021523,3991923,4028571,4071259,4110359,4202911,4215626,4115975,4115496,4175255,4253382,4353531,4447709,4631415,4709800,4778364,4855037,4872907,4600264,4777326,5002244
 "25000","Massachusetts",1,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",3306736,3366203,3451675,3455268,3386238,3327132,3316111,3328566,3358658,3401250,3406423,3292481,3300801,3338259,3420760,3474863,3540709,3610323,3674529,3724063,3777941,3830137,3514182,3631585,3779020
 "25000","Massachusetts",1,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",589360,596289,618645,620691,635285,664791,712460,742693,751701,801661,809203,823494,814695,836996,832622,878668,907000,1021092,1035271,1054301,1077096,1042770,1086082,1145741,1223224
 "25000","Massachusetts",1,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",5743,5799,5815,5784,5742,5539,5390,5359,5235,6547,6519,6487,6511,6519,6496,6559,6494,6467,6292,6228,6213,6105,6130,6127,6128
 "25000","Massachusetts",1,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",583617,590490,612830,614907,629543,659252,707070,737334,746466,795114,802684,817007,808184,830477,826126,872109,900506,1014625,1028979,1048073,1070883,1036665,1079952,1139614,1217096
 "25000","Massachusetts",1,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",10553,10531,10710,10704,10594,10512,9512,9356,8890,10087,10377,10213,10187,10538,10929,11625,11580,11534,11021,10539,10423,10317,10176,10274,10562
 "25000","Massachusetts",1,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",3885543,3951961,4059610,4065255,4010929,3981411,4019059,4061903,4101469,4192824,4205249,4105762,4105309,4164717,4242453,4341906,4436129,4619881,4698779,4767825,4844614,4862590,4590088,4767052,4991682
 "25000","Massachusetts",1,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",3445605,3504625,3604990,3607314,3553253,3535030,3582746,3624158,3658946,3744262,3751797,3653532,3650739,3713882,3789201,3886137,3974672,4159320,4234880,4304617,4378828,4395272,4136651,4314050,4529296
 "25000","Massachusetts",1,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",11518,11003,10424,10611,(D),(D),11382,11310,11079,10960,(D),(D),(D),(D),(D),9830,9885,9962,10329,10137,10187,9983,9850,9820,9947
 "25000","Massachusetts",1,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",1028,1053,895,884,(D),(D),904,1011,972,948,(D),(D),(D),(D),(D),1014,950,1069,1028,875,926,850,800,793,741
 "25000","Massachusetts",1,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",6808,6313,6054,6441,7516,6421,6913,6808,6692,6401,6329,6118,6355,5796,5916,5730,5595,5661,6015,5923,5783,5886,5729,5550,5541
 "25000","Massachusetts",1,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3682,3637,3475,3286,3715,3469,3565,3491,3415,3611,3782,3765,3825,3003,2980,3086,3340,3232,3286,3339,3478,3247,3321,3477,3665
 "25000","Massachusetts",1,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",2446,2349,2303,2490,(D),(D),2755,2839,2860,2830,(D),(D),(D),(D),(D),3594,3417,3814,3760,3281,2491,2270,2346,2326,2417
 "25000","Massachusetts",1,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",790,775,697,794,699,(D),748,852,(D),(D),(D),(D),(D),(D),(D),2109,1910,2191,2008,(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",1625,1543,1570,(D),(D),1824,1878,1886,(D),1731,1477,1403,1288,1208,1395,1289,1288,1398,1524,1706,1361,1233,1261,1250,1294
 "25000","Massachusetts",1,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",(T),(T),(T),(D),(D),117,129,101,(D),(D),(D),(D),(D),136,165,196,219,225,228,(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,SAEMP25N,300,"22","   Utilities ","Number of jobs",13254,12611,12428,12332,11290,10957,10489,10081,10204,10530,10872,10831,11072,10956,10903,10912,11692,12218,13424,12788,12455,13346,13844,14316,14683
 "25000","Massachusetts",1,SAEMP25N,400,"23","   Construction ","Number of jobs",186152,194779,205037,217577,215748,218923,228299,236312,238773,235328,225888,200882,192140,195903,201784,213264,220622,236422,248872,250243,258977,257107,251936,261951,271727
 "25000","Massachusetts",1,SAEMP25N,401,"236","    Construction of buildings ","Number of jobs",36176,38915,41162,43599,46640,44974,47346,50012,50282,47999,45498,39624,38081,37394,39432,41266,43037,49312,50762,50572,52811,52166,52194,54667,57296
 "25000","Massachusetts",1,SAEMP25N,402,"237","    Heavy and civil engineering construction ","Number of jobs",16324,18728,19835,20525,21428,17551,15994,15695,15670,15196,14417,13772,13577,13949,14486,14625,15329,16473,17792,17267,17237,16595,16602,16519,17101
 "25000","Massachusetts",1,SAEMP25N,403,"238","    Specialty trade contractors ","Number of jobs",133652,137136,144040,153453,147680,156398,164959,170605,172821,172133,165973,147486,140482,144560,147866,157373,162256,170637,180318,182404,188929,188346,183140,190765,197330
 "25000","Massachusetts",1,SAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",431716,418934,416792,399034,359945,333721,322384,315685,309688,306843,297597,271490,265157,265597,263687,263959,263403,263646,260858,259623,259993,257661,243355,245587,251159
 "25000","Massachusetts",1,SAEMP25N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",286089,276572,278191,268756,237741,216849,210728,206477,203242,202358,196759,177806,172655,174253,172290,171165,169727,169810,167835,166624,166554,165815,158330,158415,160104
 "25000","Massachusetts",1,SAEMP25N,511,"321","     Wood product manufacturing ","Number of jobs",3914,3925,3913,3945,3628,3648,4249,4233,4122,3794,3246,2922,2857,2894,2911,(D),(D),3079,3296,3286,3283,3254,3099,3189,3399
 "25000","Massachusetts",1,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",9124,9419,9616,8487,7687,6787,6897,6970,7096,7073,6594,5733,5753,6023,5930,6041,6081,6472,6650,6628,6729,6464,5915,5815,5795
 "25000","Massachusetts",1,SAEMP25N,513,"331","     Primary metal manufacturing ","Number of jobs",7576,7352,7462,7263,6098,5514,5763,5489,5152,4913,4640,3840,3726,3763,3556,3273,3282,2941,2816,2800,2778,2763,2590,2739,2890
 "25000","Massachusetts",1,SAEMP25N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",48539,46225,45299,43821,39324,36688,37151,36641,36243,35842,35328,31467,31202,32588,33254,33567,33735,33719,33214,32959,32854,32560,31167,31561,32052
 "25000","Massachusetts",1,SAEMP25N,515,"333","     Machinery manufacturing ","Number of jobs",35680,33508,33295,31238,26194,23588,23018,22386,21163,21463,20723,18054,17545,18896,18606,17967,17732,17654,17509,17585,17983,18211,17582,17920,18789
 "25000","Massachusetts",1,SAEMP25N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",102817,99835,102812,101953,86703,78869,74486,72793,71671,71596,69773,63904,61417,60150,57790,57865,57343,57167,56202,54792,54641,54304,52783,51780,51679
 "25000","Massachusetts",1,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",16659,16127,16809,16105,13774,12596,11654,11518,11626,12232,11712,10408,9962,10171,9851,9436,9193,9138,8762,9100,8711,8441,7574,7344,7513
 "25000","Massachusetts",1,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",2911,2656,2573,(D),2229,1810,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,SAEMP25N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",17751,16577,15511,(D),13784,12895,(D),(D),(D),(D),(D),(D),(D),(D),(D),12107,11269,(D),(D),(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,SAEMP25N,521,"337","     Furniture and related product manufacturing ","Number of jobs",7549,7805,7661,7412,7038,6640,6421,6368,6105,6115,6084,5076,4669,4713,4599,4778,4790,4741,4771,4656,4577,4612,4087,4269,4390
